|dates|Miami-Dade_Florida_UnitedStates.JHU_ConfirmedCases.data|Miami-Dade_Florida_UnitedStates.JHU_ConfirmedCases.missing|Miami-Dade_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Miami-Dade_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Miami-Dade_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Miami-Dade_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|8.0|0|0.0|0|0.0|0
0|2020-03-15|13.0|0|0.0|0|0.0|0
0|2020-03-16|13.0|0|0.0|0|0.0|0
0|2020-03-17|40.0|0|0.0|0|0.0|0
0|2020-03-18|76.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|169.0|0|0.0|0|0.0|0
0|2020-03-22|227.0|0|0.0|0|0.0|0
0|2020-03-23|278.0|0|0.0|0|0.0|0
0|2020-03-24|338.0|0|0.0|0|0.0|0
0|2020-03-25|400.0|0|0.0|0|0.0|0
0|2020-03-26|616.0|0|0.0|0|0.0|0
0|2020-03-27|763.0|0|1.0|0|0.0|0
0|2020-03-28|1003.0|0|2.0|0|0.0|0
0|2020-03-29|1192.0|0|3.0|0|0.0|0
0|2020-03-30|1632.0|0|3.0|0|0.0|0
0|2020-03-31|2123.0|0|7.0|0|0.0|0
0|2020-04-01|2202.0|0|7.0|0|0.0|0
0|2020-04-02|2886.0|0|20.0|0|0.0|0
0|2020-04-03|3364.0|0|25.0|0|0.0|0
0|2020-04-04|3890.0|0|31.0|0|0.0|0
0|2020-04-05|4146.0|0|31.0|0|0.0|0
0|2020-04-06|4481.0|0|37.0|0|0.0|0
0|2020-04-07|4997.0|0|41.0|0|0.0|0
0|2020-04-08|5354.0|0|49.0|0|0.0|0
0|2020-04-09|5745.0|0|62.0|0|0.0|0
0|2020-04-10|6119.0|0|74.0|0|0.0|0
0|2020-04-11|6487.0|0|91.0|0|0.0|0
0|2020-04-12|7058.0|0|97.0|0|0.0|0
0|2020-04-13|7459.0|0|109.0|0|0.0|0
0|2020-04-14|7712.0|0|125.0|0|0.0|0
0|2020-04-15|8066.0|0|146.0|0|0.0|0
0|2020-04-16|8326.0|0|183.0|0|0.0|0
0|2020-04-17|8824.0|0|195.0|0|0.0|0
0|2020-04-18|9045.0|0|198.0|0|0.0|0
0|2020-04-19|9354.0|0|207.0|0|0.0|0
0|2020-04-20|9657.0|0|223.0|0|0.0|0
0|2020-04-21|10056.0|0|233.0|0|0.0|0
0|2020-04-22|10153.0|0|240.0|0|0.0|0
0|2020-04-23|10588.0|0|270.0|0|0.0|0
0|2020-04-24|10926.0|0|287.0|0|0.0|0
0|2020-04-25|11005.0|0|295.0|0|0.0|0
0|2020-04-26|11351.0|0|301.0|0|0.0|0
0|2020-04-27|11570.0|0|302.0|0|0.0|0
0|2020-04-28|11831.0|0|324.0|0|0.0|0
0|2020-04-29|11927.0|0|338.0|0|0.0|0
0|2020-04-30|12063.0|0|352.0|0|0.0|0
0|2020-05-01|12389.0|0|358.0|0|0.0|0
0|2020-05-02|12632.0|0|367.0|0|0.0|0
0|2020-05-03|12775.0|0|369.0|0|0.0|0
0|2020-05-04|13092.0|0|378.0|0|0.0|0
0|2020-05-05|13224.0|0|407.0|0|0.0|0
0|2020-05-06|13371.0|0|432.0|0|0.0|0
0|2020-05-07|13585.0|0|454.0|0|0.0|0
0|2020-05-08|13664.0|0|468.0|0|0.0|0
0|2020-05-09|13841.0|0|482.0|0|0.0|0
0|2020-05-10|14007.0|0|487.0|0|0.0|0
0|2020-05-11|14007.0|0|487.0|0|0.0|0
0|2020-05-12|14385.0|0|505.0|0|0.0|0
0|2020-05-13|14468.0|0|518.0|0|0.0|0
