|dates|Ashtabula_Ohio_UnitedStates.JHU_ConfirmedCases.data|Ashtabula_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Ashtabula_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Ashtabula_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Ashtabula_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Ashtabula_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|3.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|5.0|0|0.0|0|0.0|0
0|2020-03-28|6.0|0|0.0|0|0.0|0
0|2020-03-29|6.0|0|0.0|0|0.0|0
0|2020-03-30|6.0|0|0.0|0|0.0|0
0|2020-03-31|6.0|0|0.0|0|0.0|0
0|2020-04-01|6.0|0|0.0|0|0.0|0
0|2020-04-02|8.0|0|0.0|0|0.0|0
0|2020-04-03|9.0|0|0.0|0|0.0|0
0|2020-04-04|11.0|0|0.0|0|0.0|0
0|2020-04-05|12.0|0|0.0|0|0.0|0
0|2020-04-06|15.0|0|0.0|0|0.0|0
0|2020-04-07|18.0|0|0.0|0|0.0|0
0|2020-04-08|20.0|0|0.0|0|0.0|0
0|2020-04-09|19.0|0|0.0|0|0.0|0
0|2020-04-10|19.0|0|0.0|0|0.0|0
0|2020-04-11|24.0|0|0.0|0|0.0|0
0|2020-04-12|26.0|0|2.0|0|0.0|0
0|2020-04-13|31.0|0|2.0|0|0.0|0
0|2020-04-14|32.0|0|2.0|0|0.0|0
0|2020-04-15|36.0|0|3.0|0|0.0|0
0|2020-04-16|45.0|0|3.0|0|0.0|0
0|2020-04-17|54.0|0|4.0|0|0.0|0
0|2020-04-18|64.0|0|4.0|0|0.0|0
0|2020-04-19|66.0|0|5.0|0|0.0|0
0|2020-04-20|68.0|0|6.0|0|0.0|0
0|2020-04-21|70.0|0|6.0|0|0.0|0
0|2020-04-22|80.0|0|6.0|0|0.0|0
0|2020-04-23|98.0|0|7.0|0|0.0|0
0|2020-04-24|103.0|0|8.0|0|0.0|0
0|2020-04-25|107.0|0|10.0|0|0.0|0
0|2020-04-26|110.0|0|10.0|0|0.0|0
0|2020-04-27|110.0|0|11.0|0|0.0|0
0|2020-04-28|113.0|0|11.0|0|0.0|0
0|2020-04-29|116.0|0|15.0|0|0.0|0
0|2020-04-30|126.0|0|15.0|0|0.0|0
0|2020-05-01|136.0|0|15.0|0|0.0|0
0|2020-05-02|142.0|0|15.0|0|0.0|0
0|2020-05-03|146.0|0|15.0|0|0.0|0
0|2020-05-04|149.0|0|16.0|0|0.0|0
0|2020-05-05|160.0|0|17.0|0|0.0|0
0|2020-05-06|165.0|0|17.0|0|0.0|0
0|2020-05-07|169.0|0|18.0|0|0.0|0
0|2020-05-08|172.0|0|18.0|0|0.0|0
0|2020-05-09|190.0|0|18.0|0|0.0|0
0|2020-05-10|192.0|0|18.0|0|0.0|0
0|2020-05-11|192.0|0|18.0|0|0.0|0
0|2020-05-12|199.0|0|24.0|0|0.0|0
0|2020-05-13|208.0|0|26.0|0|0.0|0
