|dates|Will_Illinois_UnitedStates.JHU_ConfirmedCases.data|Will_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Will_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Will_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Will_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Will_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|9.0|0|1.0|0|0.0|0
0|2020-03-20|9.0|0|1.0|0|0.0|0
0|2020-03-21|12.0|0|1.0|0|0.0|0
0|2020-03-22|21.0|0|1.0|0|0.0|0
0|2020-03-23|24.0|0|1.0|0|0.0|0
0|2020-03-24|28.0|0|1.0|0|0.0|0
0|2020-03-25|40.0|0|2.0|0|0.0|0
0|2020-03-26|40.0|0|3.0|0|0.0|0
0|2020-03-27|104.0|0|3.0|0|0.0|0
0|2020-03-28|127.0|0|4.0|0|0.0|0
0|2020-03-29|182.0|0|4.0|0|0.0|0
0|2020-03-30|223.0|0|5.0|0|0.0|0
0|2020-03-31|228.0|0|8.0|0|0.0|0
0|2020-04-01|322.0|0|9.0|0|0.0|0
0|2020-04-02|384.0|0|9.0|0|0.0|0
0|2020-04-03|455.0|0|10.0|0|0.0|0
0|2020-04-04|582.0|0|11.0|0|0.0|0
0|2020-04-05|648.0|0|13.0|0|0.0|0
0|2020-04-06|697.0|0|19.0|0|0.0|0
0|2020-04-07|697.0|0|19.0|0|0.0|0
0|2020-04-08|914.0|0|37.0|0|0.0|0
0|2020-04-09|914.0|0|37.0|0|0.0|0
0|2020-04-10|1077.0|0|52.0|0|0.0|0
0|2020-04-11|1126.0|0|57.0|0|0.0|0
0|2020-04-12|1228.0|0|60.0|0|0.0|0
0|2020-04-13|1283.0|0|63.0|0|0.0|0
0|2020-04-14|1350.0|0|77.0|0|0.0|0
0|2020-04-15|1433.0|0|81.0|0|0.0|0
0|2020-04-16|1494.0|0|88.0|0|0.0|0
0|2020-04-17|1566.0|0|90.0|0|0.0|0
0|2020-04-18|1603.0|0|94.0|0|0.0|0
0|2020-04-19|1643.0|0|101.0|0|0.0|0
0|2020-04-20|1692.0|0|102.0|0|0.0|0
0|2020-04-21|1736.0|0|105.0|0|0.0|0
0|2020-04-22|1820.0|0|110.0|0|0.0|0
0|2020-04-23|1885.0|0|119.0|0|0.0|0
0|2020-04-24|2009.0|0|125.0|0|0.0|0
0|2020-04-25|2060.0|0|131.0|0|0.0|0
0|2020-04-26|2126.0|0|133.0|0|0.0|0
0|2020-04-27|2173.0|0|136.0|0|0.0|0
0|2020-04-28|2254.0|0|145.0|0|0.0|0
0|2020-04-29|2369.0|0|148.0|0|0.0|0
0|2020-04-30|2492.0|0|151.0|0|0.0|0
0|2020-05-01|2617.0|0|158.0|0|0.0|0
0|2020-05-02|2796.0|0|164.0|0|0.0|0
0|2020-05-03|2868.0|0|162.0|0|0.0|0
0|2020-05-04|3066.0|0|169.0|0|0.0|0
0|2020-05-05|3150.0|0|178.0|0|0.0|0
0|2020-05-06|3332.0|0|189.0|0|0.0|0
0|2020-05-07|3434.0|0|194.0|0|0.0|0
0|2020-05-08|3561.0|0|199.0|0|0.0|0
0|2020-05-09|3636.0|0|202.0|0|0.0|0
0|2020-05-10|3684.0|0|202.0|0|0.0|0
0|2020-05-11|3684.0|0|202.0|0|0.0|0
0|2020-05-12|3896.0|0|210.0|0|0.0|0
0|2020-05-13|3973.0|0|214.0|0|0.0|0
