|dates|Plymouth_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|Plymouth_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|Plymouth_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|Plymouth_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|Plymouth_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|Plymouth_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|5.0|0|0.0|0|0.0|0
0|2020-03-18|5.0|0|0.0|0|0.0|0
0|2020-03-19|5.0|0|0.0|0|0.0|0
0|2020-03-20|11.0|0|0.0|0|0.0|0
0|2020-03-21|20.0|0|0.0|0|0.0|0
0|2020-03-22|25.0|0|0.0|0|0.0|0
0|2020-03-23|32.0|0|0.0|0|0.0|0
0|2020-03-24|64.0|0|0.0|0|0.0|0
0|2020-03-25|101.0|0|0.0|0|0.0|0
0|2020-03-26|138.0|0|0.0|0|0.0|0
0|2020-03-27|187.0|0|0.0|0|0.0|0
0|2020-03-28|272.0|0|0.0|0|0.0|0
0|2020-03-29|325.0|0|0.0|0|0.0|0
0|2020-03-30|380.0|0|0.0|0|0.0|0
0|2020-03-31|459.0|0|2.0|0|0.0|0
0|2020-04-01|561.0|0|5.0|0|0.0|0
0|2020-04-02|621.0|0|6.0|0|0.0|0
0|2020-04-03|745.0|0|7.0|0|0.0|0
0|2020-04-04|898.0|0|8.0|0|0.0|0
0|2020-04-05|963.0|0|10.0|0|0.0|0
0|2020-04-06|1067.0|0|15.0|0|0.0|0
0|2020-04-07|1194.0|0|26.0|0|0.0|0
0|2020-04-08|1327.0|0|33.0|0|0.0|0
0|2020-04-09|1507.0|0|33.0|0|0.0|0
0|2020-04-10|1677.0|0|33.0|0|0.0|0
0|2020-04-11|1809.0|0|51.0|0|0.0|0
0|2020-04-12|2024.0|0|55.0|0|0.0|0
0|2020-04-13|2141.0|0|55.0|0|0.0|0
0|2020-04-14|2207.0|0|55.0|0|0.0|0
0|2020-04-15|2308.0|0|89.0|0|0.0|0
0|2020-04-16|2466.0|0|89.0|0|0.0|0
0|2020-04-17|2577.0|0|93.0|0|0.0|0
0|2020-04-18|2688.0|0|105.0|0|0.0|0
0|2020-04-19|2832.0|0|131.0|0|0.0|0
0|2020-04-20|2832.0|0|131.0|0|0.0|0
0|2020-04-21|3043.0|0|141.0|0|0.0|0
0|2020-04-22|3253.0|0|141.0|0|0.0|0
0|2020-04-23|3529.0|0|141.0|0|0.0|0
0|2020-04-24|4160.0|0|141.0|0|0.0|0
0|2020-04-25|4380.0|0|212.0|0|0.0|0
0|2020-04-26|4495.0|0|212.0|0|0.0|0
0|2020-04-27|4607.0|0|240.0|0|0.0|0
0|2020-04-28|4744.0|0|256.0|0|0.0|0
0|2020-04-29|4871.0|0|273.0|0|0.0|0
0|2020-04-30|5083.0|0|285.0|0|0.0|0
0|2020-05-01|5259.0|0|301.0|0|0.0|0
0|2020-05-02|5409.0|0|312.0|0|0.0|0
0|2020-05-03|5507.0|0|323.0|0|0.0|0
0|2020-05-04|5602.0|0|333.0|0|0.0|0
0|2020-05-05|5736.0|0|341.0|0|0.0|0
0|2020-05-06|5899.0|0|357.0|0|0.0|0
0|2020-05-07|6081.0|0|364.0|0|0.0|0
0|2020-05-08|6194.0|0|375.0|0|0.0|0
0|2020-05-09|6311.0|0|384.0|0|0.0|0
0|2020-05-10|6382.0|0|393.0|0|0.0|0
0|2020-05-11|6382.0|0|393.0|0|0.0|0
0|2020-05-12|6507.0|0|409.0|0|0.0|0
0|2020-05-13|6592.0|0|424.0|0|0.0|0
