|dates|SanBernardino_California_UnitedStates.JHU_ConfirmedCases.data|SanBernardino_California_UnitedStates.JHU_ConfirmedCases.missing|SanBernardino_California_UnitedStates.JHU_ConfirmedDeaths.data|SanBernardino_California_UnitedStates.JHU_ConfirmedDeaths.missing|SanBernardino_California_UnitedStates.JHU_ConfirmedRecoveries.data|SanBernardino_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|5.0|0|0.0|0|0.0|0
0|2020-03-20|9.0|0|0.0|0|0.0|0
0|2020-03-21|10.0|0|0.0|0|0.0|0
0|2020-03-22|17.0|0|0.0|0|0.0|0
0|2020-03-23|17.0|0|0.0|0|0.0|0
0|2020-03-24|31.0|0|0.0|0|0.0|0
0|2020-03-25|38.0|0|1.0|0|0.0|0
0|2020-03-26|54.0|0|2.0|0|0.0|0
0|2020-03-27|54.0|0|3.0|0|0.0|0
0|2020-03-28|76.0|0|3.0|0|0.0|0
0|2020-03-29|76.0|0|3.0|0|0.0|0
0|2020-03-30|111.0|0|3.0|0|0.0|0
0|2020-03-31|125.0|0|4.0|0|0.0|0
0|2020-04-01|183.0|0|6.0|0|0.0|0
0|2020-04-02|254.0|0|6.0|0|0.0|0
0|2020-04-03|304.0|0|8.0|0|0.0|0
0|2020-04-04|353.0|0|13.0|0|0.0|0
0|2020-04-05|372.0|0|13.0|0|0.0|0
0|2020-04-06|373.0|0|13.0|0|0.0|0
0|2020-04-07|530.0|0|16.0|0|0.0|0
0|2020-04-08|547.0|0|17.0|0|0.0|0
0|2020-04-09|641.0|0|20.0|0|0.0|0
0|2020-04-10|729.0|0|24.0|0|0.0|0
0|2020-04-11|810.0|0|25.0|0|0.0|0
0|2020-04-12|810.0|0|25.0|0|0.0|0
0|2020-04-13|887.0|0|31.0|0|0.0|0
0|2020-04-14|977.0|0|31.0|0|0.0|0
0|2020-04-15|977.0|0|31.0|0|0.0|0
0|2020-04-16|996.0|0|39.0|0|0.0|0
0|2020-04-17|1032.0|0|47.0|0|0.0|0
0|2020-04-18|1219.0|0|57.0|0|0.0|0
0|2020-04-19|1286.0|0|57.0|0|0.0|0
0|2020-04-20|1406.0|0|60.0|0|0.0|0
0|2020-04-21|1489.0|0|67.0|0|0.0|0
0|2020-04-22|1489.0|0|67.0|0|0.0|0
0|2020-04-23|1608.0|0|77.0|0|0.0|0
0|2020-04-24|1666.0|0|80.0|0|0.0|0
0|2020-04-25|1666.0|0|80.0|0|0.0|0
0|2020-04-26|1732.0|0|82.0|0|0.0|0
0|2020-04-27|1772.0|0|82.0|0|0.0|0
0|2020-04-28|1827.0|0|85.0|0|0.0|0
0|2020-04-29|1928.0|0|89.0|0|0.0|0
0|2020-04-30|2058.0|0|93.0|0|0.0|0
0|2020-05-01|2113.0|0|94.0|0|0.0|0
0|2020-05-02|2182.0|0|97.0|0|0.0|0
0|2020-05-03|2182.0|0|97.0|0|0.0|0
0|2020-05-04|2182.0|0|97.0|0|0.0|0
0|2020-05-05|2329.0|0|101.0|0|0.0|0
0|2020-05-06|2432.0|0|104.0|0|0.0|0
0|2020-05-07|2562.0|0|108.0|0|0.0|0
0|2020-05-08|2629.0|0|111.0|0|0.0|0
0|2020-05-09|2902.0|0|114.0|0|0.0|0
0|2020-05-10|2902.0|0|114.0|0|0.0|0
0|2020-05-11|2902.0|0|114.0|0|0.0|0
0|2020-05-12|3078.0|0|120.0|0|0.0|0
0|2020-05-13|3153.0|0|138.0|0|0.0|0
