|dates|Henry_Georgia_UnitedStates.JHU_ConfirmedCases.data|Henry_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Henry_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Henry_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Henry_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Henry_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|6.0|0|0.0|0|0.0|0
0|2020-03-21|7.0|0|0.0|0|0.0|0
0|2020-03-22|7.0|0|0.0|0|0.0|0
0|2020-03-23|9.0|0|0.0|0|0.0|0
0|2020-03-24|13.0|0|0.0|0|0.0|0
0|2020-03-25|13.0|0|0.0|0|0.0|0
0|2020-03-26|25.0|0|0.0|0|0.0|0
0|2020-03-27|40.0|0|0.0|0|0.0|0
0|2020-03-28|50.0|0|1.0|0|0.0|0
0|2020-03-29|55.0|0|1.0|0|0.0|0
0|2020-03-30|58.0|0|2.0|0|0.0|0
0|2020-03-31|78.0|0|2.0|0|0.0|0
0|2020-04-01|90.0|0|2.0|0|0.0|0
0|2020-04-02|108.0|0|2.0|0|0.0|0
0|2020-04-03|125.0|0|3.0|0|0.0|0
0|2020-04-04|150.0|0|3.0|0|0.0|0
0|2020-04-05|167.0|0|3.0|0|0.0|0
0|2020-04-06|178.0|0|3.0|0|0.0|0
0|2020-04-07|194.0|0|3.0|0|0.0|0
0|2020-04-08|215.0|0|3.0|0|0.0|0
0|2020-04-09|225.0|0|3.0|0|0.0|0
0|2020-04-10|242.0|0|3.0|0|0.0|0
0|2020-04-11|249.0|0|3.0|0|0.0|0
0|2020-04-12|260.0|0|3.0|0|0.0|0
0|2020-04-13|280.0|0|4.0|0|0.0|0
0|2020-04-14|306.0|0|4.0|0|0.0|0
0|2020-04-15|321.0|0|5.0|0|0.0|0
0|2020-04-16|330.0|0|5.0|0|0.0|0
0|2020-04-17|344.0|0|5.0|0|0.0|0
0|2020-04-18|353.0|0|7.0|0|0.0|0
0|2020-04-19|367.0|0|7.0|0|0.0|0
0|2020-04-20|382.0|0|11.0|0|0.0|0
0|2020-04-21|384.0|0|11.0|0|0.0|0
0|2020-04-22|388.0|0|10.0|0|0.0|0
0|2020-04-23|413.0|0|10.0|0|0.0|0
0|2020-04-24|419.0|0|10.0|0|0.0|0
0|2020-04-25|436.0|0|10.0|0|0.0|0
0|2020-04-26|451.0|0|10.0|0|0.0|0
0|2020-04-27|464.0|0|11.0|0|0.0|0
0|2020-04-28|487.0|0|11.0|0|0.0|0
0|2020-04-29|492.0|0|12.0|0|0.0|0
0|2020-04-30|492.0|0|12.0|0|0.0|0
0|2020-05-01|492.0|0|13.0|0|0.0|0
0|2020-05-02|512.0|0|13.0|0|0.0|0
0|2020-05-03|520.0|0|13.0|0|0.0|0
0|2020-05-04|520.0|0|13.0|0|0.0|0
0|2020-05-05|528.0|0|14.0|0|0.0|0
0|2020-05-06|546.0|0|14.0|0|0.0|0
0|2020-05-07|559.0|0|14.0|0|0.0|0
0|2020-05-08|566.0|0|14.0|0|0.0|0
0|2020-05-09|593.0|0|14.0|0|0.0|0
0|2020-05-10|604.0|0|14.0|0|0.0|0
0|2020-05-11|604.0|0|14.0|0|0.0|0
0|2020-05-12|614.0|0|15.0|0|0.0|0
0|2020-05-13|615.0|0|16.0|0|0.0|0
