|dates|Jefferson_Missouri_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|4.0|0|0.0|0|0.0|0
0|2020-03-25|5.0|0|0.0|0|0.0|0
0|2020-03-26|10.0|0|0.0|0|0.0|0
0|2020-03-27|15.0|0|0.0|0|0.0|0
0|2020-03-28|17.0|0|0.0|0|0.0|0
0|2020-03-29|17.0|0|0.0|0|0.0|0
0|2020-03-30|18.0|0|0.0|0|0.0|0
0|2020-03-31|30.0|0|0.0|0|0.0|0
0|2020-04-01|38.0|0|0.0|0|0.0|0
0|2020-04-02|47.0|0|0.0|0|0.0|0
0|2020-04-03|47.0|0|0.0|0|0.0|0
0|2020-04-04|69.0|0|0.0|0|0.0|0
0|2020-04-05|69.0|0|0.0|0|0.0|0
0|2020-04-06|81.0|0|2.0|0|0.0|0
0|2020-04-07|92.0|0|2.0|0|0.0|0
0|2020-04-08|93.0|0|2.0|0|0.0|0
0|2020-04-09|95.0|0|2.0|0|0.0|0
0|2020-04-10|107.0|0|2.0|0|0.0|0
0|2020-04-11|117.0|0|3.0|0|0.0|0
0|2020-04-12|124.0|0|3.0|0|0.0|0
0|2020-04-13|129.0|0|3.0|0|0.0|0
0|2020-04-14|139.0|0|3.0|0|0.0|0
0|2020-04-15|139.0|0|3.0|0|0.0|0
0|2020-04-16|155.0|0|3.0|0|0.0|0
0|2020-04-17|179.0|0|4.0|0|0.0|0
0|2020-04-18|183.0|0|4.0|0|0.0|0
0|2020-04-19|214.0|0|4.0|0|0.0|0
0|2020-04-20|222.0|0|4.0|0|0.0|0
0|2020-04-21|231.0|0|4.0|0|0.0|0
0|2020-04-22|238.0|0|3.0|0|0.0|0
0|2020-04-23|244.0|0|3.0|0|0.0|0
0|2020-04-24|251.0|0|3.0|0|0.0|0
0|2020-04-25|253.0|0|3.0|0|0.0|0
0|2020-04-26|258.0|0|3.0|0|0.0|0
0|2020-04-27|266.0|0|3.0|0|0.0|0
0|2020-04-28|267.0|0|4.0|0|0.0|0
0|2020-04-29|273.0|0|4.0|0|0.0|0
0|2020-04-30|274.0|0|8.0|0|0.0|0
0|2020-05-01|277.0|0|8.0|0|0.0|0
0|2020-05-02|279.0|0|10.0|0|0.0|0
0|2020-05-03|285.0|0|10.0|0|0.0|0
0|2020-05-04|290.0|0|10.0|0|0.0|0
0|2020-05-05|293.0|0|10.0|0|0.0|0
0|2020-05-06|301.0|0|10.0|0|0.0|0
0|2020-05-07|304.0|0|10.0|0|0.0|0
0|2020-05-08|307.0|0|12.0|0|0.0|0
0|2020-05-09|309.0|0|12.0|0|0.0|0
0|2020-05-10|309.0|0|12.0|0|0.0|0
0|2020-05-11|309.0|0|12.0|0|0.0|0
0|2020-05-12|310.0|0|12.0|0|0.0|0
0|2020-05-13|314.0|0|13.0|0|0.0|0
