|dates|Middlesex_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|Middlesex_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|Middlesex_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|Middlesex_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|Middlesex_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|Middlesex_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|1.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|7.0|0|0.0|0|0.0|0
0|2020-03-09|7.0|0|0.0|0|0.0|0
0|2020-03-10|15.0|0|0.0|0|0.0|0
0|2020-03-11|41.0|0|0.0|0|0.0|0
0|2020-03-12|49.0|0|0.0|0|0.0|0
0|2020-03-13|60.0|0|0.0|0|0.0|0
0|2020-03-14|65.0|0|0.0|0|0.0|0
0|2020-03-15|65.0|0|0.0|0|0.0|0
0|2020-03-16|83.0|0|0.0|0|0.0|0
0|2020-03-17|89.0|0|0.0|0|0.0|0
0|2020-03-18|100.0|0|0.0|0|0.0|0
0|2020-03-19|119.0|0|0.0|0|0.0|0
0|2020-03-20|144.0|0|0.0|0|0.0|0
0|2020-03-21|177.0|0|0.0|0|0.0|0
0|2020-03-22|199.0|0|1.0|0|0.0|0
0|2020-03-23|232.0|0|1.0|0|0.0|0
0|2020-03-24|304.0|0|1.0|0|0.0|0
0|2020-03-25|446.0|0|1.0|0|0.0|0
0|2020-03-26|538.0|0|4.0|0|0.0|0
0|2020-03-27|685.0|0|5.0|0|0.0|0
0|2020-03-28|842.0|0|5.0|0|0.0|0
0|2020-03-29|981.0|0|6.0|0|0.0|0
0|2020-03-30|1141.0|0|8.0|0|0.0|0
0|2020-03-31|1340.0|0|17.0|0|0.0|0
0|2020-04-01|1582.0|0|20.0|0|0.0|0
0|2020-04-02|1870.0|0|28.0|0|0.0|0
0|2020-04-03|2202.0|0|38.0|0|0.0|0
0|2020-04-04|2468.0|0|38.0|0|0.0|0
0|2020-04-05|2632.0|0|41.0|0|0.0|0
0|2020-04-06|2950.0|0|47.0|0|0.0|0
0|2020-04-07|3187.0|0|68.0|0|0.0|0
0|2020-04-08|3545.0|0|80.0|0|0.0|0
0|2020-04-09|4045.0|0|80.0|0|0.0|0
0|2020-04-10|4447.0|0|80.0|0|0.0|0
0|2020-04-11|4872.0|0|137.0|0|0.0|0
0|2020-04-12|5660.0|0|149.0|0|0.0|0
0|2020-04-13|5983.0|0|149.0|0|0.0|0
0|2020-04-14|6254.0|0|149.0|0|0.0|0
0|2020-04-15|6681.0|0|221.0|0|0.0|0
0|2020-04-16|7206.0|0|221.0|0|0.0|0
0|2020-04-17|7744.0|0|258.0|0|0.0|0
0|2020-04-18|8297.0|0|294.0|0|0.0|0
0|2020-04-19|8737.0|0|372.0|0|0.0|0
0|2020-04-20|8737.0|0|372.0|0|0.0|0
0|2020-04-21|9621.0|0|428.0|0|0.0|0
0|2020-04-22|10094.0|0|428.0|0|0.0|0
0|2020-04-23|10724.0|0|428.0|0|0.0|0
0|2020-04-24|11681.0|0|428.0|0|0.0|0
0|2020-04-25|12253.0|0|629.0|0|0.0|0
0|2020-04-26|12648.0|0|670.0|0|0.0|0
0|2020-04-27|12953.0|0|700.0|0|0.0|0
0|2020-04-28|13417.0|0|731.0|0|0.0|0
0|2020-04-29|13799.0|0|802.0|0|0.0|0
0|2020-04-30|14208.0|0|845.0|0|0.0|0
0|2020-05-01|14607.0|0|885.0|0|0.0|0
0|2020-05-02|15048.0|0|923.0|0|0.0|0
0|2020-05-03|15370.0|0|972.0|0|0.0|0
0|2020-05-04|15757.0|0|997.0|0|0.0|0
0|2020-05-05|15980.0|0|1028.0|0|0.0|0
0|2020-05-06|16327.0|0|1070.0|0|0.0|0
0|2020-05-07|16676.0|0|1103.0|0|0.0|0
0|2020-05-08|17014.0|0|1132.0|0|0.0|0
0|2020-05-09|17307.0|0|1169.0|0|0.0|0
0|2020-05-10|17589.0|0|1207.0|0|0.0|0
0|2020-05-11|17589.0|0|1207.0|0|0.0|0
0|2020-05-12|17953.0|0|1244.0|0|0.0|0
0|2020-05-13|18201.0|0|1282.0|0|0.0|0
