|dates|Washington_Ohio_UnitedStates.JHU_ConfirmedCases.data|Washington_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Washington_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|1.0|0|0.0|0|0.0|0
0|2020-03-27|2.0|0|0.0|0|0.0|0
0|2020-03-28|2.0|0|0.0|0|0.0|0
0|2020-03-29|3.0|0|0.0|0|0.0|0
0|2020-03-30|3.0|0|0.0|0|0.0|0
0|2020-03-31|3.0|0|0.0|0|0.0|0
0|2020-04-01|3.0|0|0.0|0|0.0|0
0|2020-04-02|4.0|0|0.0|0|0.0|0
0|2020-04-03|4.0|0|0.0|0|0.0|0
0|2020-04-04|6.0|0|0.0|0|0.0|0
0|2020-04-05|8.0|0|0.0|0|0.0|0
0|2020-04-06|15.0|0|0.0|0|0.0|0
0|2020-04-07|27.0|0|0.0|0|0.0|0
0|2020-04-08|30.0|0|0.0|0|0.0|0
0|2020-04-09|34.0|0|0.0|0|0.0|0
0|2020-04-10|35.0|0|0.0|0|0.0|0
0|2020-04-11|36.0|0|0.0|0|0.0|0
0|2020-04-12|39.0|0|1.0|0|0.0|0
0|2020-04-13|41.0|0|1.0|0|0.0|0
0|2020-04-14|44.0|0|2.0|0|0.0|0
0|2020-04-15|47.0|0|4.0|0|0.0|0
0|2020-04-16|53.0|0|5.0|0|0.0|0
0|2020-04-17|55.0|0|5.0|0|0.0|0
0|2020-04-18|57.0|0|6.0|0|0.0|0
0|2020-04-19|65.0|0|6.0|0|0.0|0
0|2020-04-20|65.0|0|6.0|0|0.0|0
0|2020-04-21|69.0|0|6.0|0|0.0|0
0|2020-04-22|73.0|0|6.0|0|0.0|0
0|2020-04-23|75.0|0|8.0|0|0.0|0
0|2020-04-24|80.0|0|8.0|0|0.0|0
0|2020-04-25|93.0|0|8.0|0|0.0|0
0|2020-04-26|94.0|0|10.0|0|0.0|0
0|2020-04-27|94.0|0|10.0|0|0.0|0
0|2020-04-28|95.0|0|10.0|0|0.0|0
0|2020-04-29|95.0|0|12.0|0|0.0|0
0|2020-04-30|98.0|0|12.0|0|0.0|0
0|2020-05-01|99.0|0|12.0|0|0.0|0
0|2020-05-02|100.0|0|12.0|0|0.0|0
0|2020-05-03|102.0|0|14.0|0|0.0|0
0|2020-05-04|103.0|0|14.0|0|0.0|0
0|2020-05-05|105.0|0|15.0|0|0.0|0
0|2020-05-06|106.0|0|16.0|0|0.0|0
0|2020-05-07|111.0|0|17.0|0|0.0|0
0|2020-05-08|111.0|0|17.0|0|0.0|0
0|2020-05-09|113.0|0|17.0|0|0.0|0
0|2020-05-10|114.0|0|17.0|0|0.0|0
0|2020-05-11|114.0|0|17.0|0|0.0|0
0|2020-05-12|114.0|0|17.0|0|0.0|0
0|2020-05-13|115.0|0|17.0|0|0.0|0
