|dates|Adams_Iowa_UnitedStates.JHU_ConfirmedCases.data|Adams_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Adams_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Adams_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Adams_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Adams_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|3.0|0|0.0|0|0.0|0
0|2020-03-10|8.0|0|0.0|0|0.0|0
0|2020-03-11|13.0|0|0.0|0|0.0|0
0|2020-03-12|14.0|0|0.0|0|0.0|0
0|2020-03-13|17.0|0|0.0|0|0.0|0
0|2020-03-14|17.0|0|0.0|0|0.0|0
0|2020-03-15|18.0|0|0.0|0|0.0|0
0|2020-03-16|23.0|0|0.0|0|0.0|0
0|2020-03-17|23.0|0|0.0|0|0.0|0
0|2020-03-18|38.0|0|0.0|0|0.0|0
0|2020-03-19|44.0|0|0.0|0|0.0|0
0|2020-03-20|45.0|0|0.0|0|0.0|0
0|2020-03-21|69.0|0|0.0|0|0.0|0
0|2020-03-22|90.0|0|0.0|0|0.0|0
0|2020-03-23|105.0|0|0.0|0|0.0|0
0|2020-03-24|124.0|0|0.0|0|0.0|0
0|2020-03-25|148.0|0|1.0|0|0.0|0
0|2020-03-26|181.0|0|1.0|0|0.0|0
0|2020-03-27|237.0|0|3.0|0|0.0|0
0|2020-03-28|300.0|0|3.0|0|0.0|0
0|2020-03-29|338.0|0|4.0|0|0.0|0
0|2020-03-30|426.0|0|6.0|0|0.0|0
0|2020-03-31|497.0|0|7.0|0|0.0|0
0|2020-04-01|547.0|0|9.0|0|0.0|0
0|2020-04-02|614.0|0|11.0|0|0.0|0
0|2020-04-03|700.0|0|11.0|0|0.0|0
0|2020-04-04|788.0|0|14.0|0|0.0|0
0|2020-04-05|869.0|0|18.0|0|0.0|0
0|2020-04-06|946.0|0|25.0|0|0.0|0
0|2020-04-07|1046.0|0|25.0|0|0.0|0
0|2020-04-08|1145.0|0|27.0|0|0.0|0
0|2020-04-09|1270.0|0|29.0|0|0.0|0
0|2020-04-10|1388.0|0|31.0|0|0.0|0
0|2020-04-11|1510.0|0|34.0|0|0.0|0
0|2020-04-12|1587.0|0|41.0|0|0.0|0
0|2020-04-13|1710.0|0|41.0|0|0.0|0
0|2020-04-14|1899.0|0|49.0|0|0.0|0
0|2020-04-15|1995.0|0|53.0|0|0.0|0
0|2020-04-16|2141.0|0|60.0|0|0.0|0
0|2020-04-17|2332.0|0|64.0|0|0.0|0
0|2020-04-18|2513.0|0|74.0|0|0.0|0
0|2020-04-19|2902.0|0|75.0|0|0.0|0
0|2020-04-20|3159.0|0|79.0|0|0.0|0
0|2020-04-21|3641.0|0|83.0|0|0.0|0
0|2020-04-22|3748.0|0|90.0|0|0.0|0
0|2020-04-23|3924.0|0|96.0|0|0.0|0
0|2020-04-24|4445.0|0|107.0|0|0.0|0
0|2020-04-25|5092.0|0|112.0|0|0.0|0
0|2020-04-26|5476.0|0|118.0|0|0.0|0
0|2020-04-27|5868.0|0|127.0|0|0.0|0
0|2020-04-28|6376.0|0|136.0|0|0.0|0
0|2020-04-29|6843.0|0|148.0|0|0.0|0
0|2020-04-30|7145.0|0|162.0|0|0.0|0
0|2020-05-01|7884.0|0|170.0|0|0.0|0
0|2020-05-02|8643.0|0|175.0|0|0.0|0
0|2020-05-03|9175.0|0|184.0|0|0.0|0
0|2020-05-04|9703.0|0|188.0|0|0.0|0
0|2020-05-05|10111.0|0|207.0|0|0.0|0
0|2020-05-06|10111.0|0|207.0|0|0.0|0
0|2020-05-07|10111.0|0|207.0|0|0.0|0
0|2020-05-08|10111.0|0|207.0|0|0.0|0
0|2020-05-09|10111.0|0|207.0|0|0.0|0
0|2020-05-10|10111.0|0|207.0|0|0.0|0
0|2020-05-11|10111.0|0|207.0|0|0.0|0
0|2020-05-12|10111.0|0|207.0|0|0.0|0
0|2020-05-13|10111.0|0|207.0|0|0.0|0
