|dates|Hardin_Texas_UnitedStates.JHU_ConfirmedCases.data|Hardin_Texas_UnitedStates.JHU_ConfirmedCases.missing|Hardin_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Hardin_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Hardin_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Hardin_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|2.0|0|0.0|0|0.0|0
0|2020-03-27|4.0|0|0.0|0|0.0|0
0|2020-03-28|6.0|0|0.0|0|0.0|0
0|2020-03-29|9.0|0|0.0|0|0.0|0
0|2020-03-30|9.0|0|0.0|0|0.0|0
0|2020-03-31|12.0|0|0.0|0|0.0|0
0|2020-04-01|13.0|0|0.0|0|0.0|0
0|2020-04-02|14.0|0|0.0|0|0.0|0
0|2020-04-03|15.0|0|1.0|0|0.0|0
0|2020-04-04|15.0|0|1.0|0|0.0|0
0|2020-04-05|26.0|0|1.0|0|0.0|0
0|2020-04-06|26.0|0|1.0|0|0.0|0
0|2020-04-07|28.0|0|1.0|0|0.0|0
0|2020-04-08|41.0|0|1.0|0|0.0|0
0|2020-04-09|41.0|0|1.0|0|0.0|0
0|2020-04-10|41.0|0|1.0|0|0.0|0
0|2020-04-11|47.0|0|2.0|0|0.0|0
0|2020-04-12|61.0|0|2.0|0|0.0|0
0|2020-04-13|61.0|0|2.0|0|0.0|0
0|2020-04-14|61.0|0|2.0|0|0.0|0
0|2020-04-15|65.0|0|2.0|0|0.0|0
0|2020-04-16|66.0|0|2.0|0|0.0|0
0|2020-04-17|69.0|0|2.0|0|0.0|0
0|2020-04-18|75.0|0|2.0|0|0.0|0
0|2020-04-19|75.0|0|2.0|0|0.0|0
0|2020-04-20|75.0|0|2.0|0|0.0|0
0|2020-04-21|88.0|0|2.0|0|0.0|0
0|2020-04-22|89.0|0|2.0|0|0.0|0
0|2020-04-23|92.0|0|3.0|0|0.0|0
0|2020-04-24|92.0|0|3.0|0|0.0|0
0|2020-04-25|92.0|0|3.0|0|0.0|0
0|2020-04-26|92.0|0|3.0|0|0.0|0
0|2020-04-27|92.0|0|3.0|0|0.0|0
0|2020-04-28|96.0|0|3.0|0|0.0|0
0|2020-04-29|99.0|0|3.0|0|0.0|0
0|2020-04-30|99.0|0|3.0|0|0.0|0
0|2020-05-01|100.0|0|3.0|0|0.0|0
0|2020-05-02|103.0|0|3.0|0|0.0|0
0|2020-05-03|103.0|0|3.0|0|0.0|0
0|2020-05-04|103.0|0|3.0|0|0.0|0
0|2020-05-05|112.0|0|3.0|0|0.0|0
0|2020-05-06|112.0|0|3.0|0|0.0|0
0|2020-05-07|113.0|0|3.0|0|0.0|0
0|2020-05-08|113.0|0|3.0|0|0.0|0
0|2020-05-09|113.0|0|3.0|0|0.0|0
0|2020-05-10|115.0|0|3.0|0|0.0|0
0|2020-05-11|115.0|0|3.0|0|0.0|0
0|2020-05-12|115.0|0|3.0|0|0.0|0
0|2020-05-13|115.0|0|3.0|0|0.0|0
