|dates|Cobb_Georgia_UnitedStates.JHU_ConfirmedCases.data|Cobb_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Cobb_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Cobb_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Cobb_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Cobb_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|3.0|0|0.0|0|0.0|0
0|2020-03-10|4.0|0|0.0|0|0.0|0
0|2020-03-11|7.0|0|0.0|0|0.0|0
0|2020-03-12|8.0|0|1.0|0|0.0|0
0|2020-03-13|8.0|0|1.0|0|0.0|0
0|2020-03-14|15.0|0|1.0|0|0.0|0
0|2020-03-15|19.0|0|1.0|0|0.0|0
0|2020-03-16|22.0|0|1.0|0|0.0|0
0|2020-03-17|25.0|0|1.0|0|0.0|0
0|2020-03-18|28.0|0|1.0|0|0.0|0
0|2020-03-19|37.0|0|1.0|0|0.0|0
0|2020-03-20|47.0|0|1.0|0|0.0|0
0|2020-03-21|50.0|0|2.0|0|0.0|0
0|2020-03-22|67.0|0|2.0|0|0.0|0
0|2020-03-23|79.0|0|2.0|0|0.0|0
0|2020-03-24|86.0|0|2.0|0|0.0|0
0|2020-03-25|101.0|0|2.0|0|0.0|0
0|2020-03-26|115.0|0|2.0|0|0.0|0
0|2020-03-27|144.0|0|2.0|0|0.0|0
0|2020-03-28|181.0|0|8.0|0|0.0|0
0|2020-03-29|222.0|0|9.0|0|0.0|0
0|2020-03-30|245.0|0|9.0|0|0.0|0
0|2020-03-31|279.0|0|12.0|0|0.0|0
0|2020-04-01|293.0|0|15.0|0|0.0|0
0|2020-04-02|329.0|0|17.0|0|0.0|0
0|2020-04-03|381.0|0|18.0|0|0.0|0
0|2020-04-04|428.0|0|20.0|0|0.0|0
0|2020-04-05|456.0|0|23.0|0|0.0|0
0|2020-04-06|515.0|0|25.0|0|0.0|0
0|2020-04-07|550.0|0|29.0|0|0.0|0
0|2020-04-08|588.0|0|29.0|0|0.0|0
0|2020-04-09|629.0|0|29.0|0|0.0|0
0|2020-04-10|662.0|0|33.0|0|0.0|0
0|2020-04-11|696.0|0|33.0|0|0.0|0
0|2020-04-12|714.0|0|33.0|0|0.0|0
0|2020-04-13|782.0|0|35.0|0|0.0|0
0|2020-04-14|895.0|0|41.0|0|0.0|0
0|2020-04-15|924.0|0|43.0|0|0.0|0
0|2020-04-16|990.0|0|47.0|0|0.0|0
0|2020-04-17|1072.0|0|51.0|0|0.0|0
0|2020-04-18|1100.0|0|51.0|0|0.0|0
0|2020-04-19|1125.0|0|51.0|0|0.0|0
0|2020-04-20|1196.0|0|56.0|0|0.0|0
0|2020-04-21|1215.0|0|59.0|0|0.0|0
0|2020-04-22|1272.0|0|63.0|0|0.0|0
0|2020-04-23|1326.0|0|66.0|0|0.0|0
0|2020-04-24|1368.0|0|72.0|0|0.0|0
0|2020-04-25|1395.0|0|74.0|0|0.0|0
0|2020-04-26|1428.0|0|75.0|0|0.0|0
0|2020-04-27|1483.0|0|81.0|0|0.0|0
0|2020-04-28|1515.0|0|81.0|0|0.0|0
0|2020-04-29|1571.0|0|88.0|0|0.0|0
0|2020-04-30|1614.0|0|94.0|0|0.0|0
0|2020-05-01|1677.0|0|96.0|0|0.0|0
0|2020-05-02|1749.0|0|96.0|0|0.0|0
0|2020-05-03|1768.0|0|97.0|0|0.0|0
0|2020-05-04|1840.0|0|101.0|0|0.0|0
0|2020-05-05|1886.0|0|102.0|0|0.0|0
0|2020-05-06|1999.0|0|107.0|0|0.0|0
0|2020-05-07|2024.0|0|108.0|0|0.0|0
0|2020-05-08|2072.0|0|113.0|0|0.0|0
0|2020-05-09|2128.0|0|116.0|0|0.0|0
0|2020-05-10|2175.0|0|117.0|0|0.0|0
0|2020-05-11|2175.0|0|117.0|0|0.0|0
0|2020-05-12|2253.0|0|124.0|0|0.0|0
0|2020-05-13|2280.0|0|127.0|0|0.0|0
