|dates|Sedgwick_Colorado_UnitedStates.JHU_ConfirmedCases.data|Sedgwick_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Sedgwick_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Sedgwick_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Sedgwick_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Sedgwick_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|3.0|0|0.0|0|0.0|0
0|2020-03-07|7.0|0|0.0|0|0.0|0
0|2020-03-08|7.0|0|0.0|0|0.0|0
0|2020-03-09|7.0|0|0.0|0|0.0|0
0|2020-03-10|14.0|0|0.0|0|0.0|0
0|2020-03-11|30.0|0|0.0|0|0.0|0
0|2020-03-12|45.0|0|0.0|0|0.0|0
0|2020-03-13|76.0|0|1.0|0|0.0|0
0|2020-03-14|101.0|0|0.0|0|0.0|0
0|2020-03-15|99.0|0|1.0|0|0.0|0
0|2020-03-16|132.0|0|1.0|0|0.0|0
0|2020-03-17|167.0|0|2.0|0|0.0|0
0|2020-03-18|218.0|0|2.0|0|0.0|0
0|2020-03-19|277.0|0|4.0|0|0.0|0
0|2020-03-20|363.0|0|4.0|0|0.0|0
0|2020-03-21|475.0|0|6.0|0|0.0|0
0|2020-03-22|591.0|0|6.0|0|0.0|0
0|2020-03-23|704.0|0|7.0|0|0.0|0
0|2020-03-24|723.0|0|8.0|0|0.0|0
0|2020-03-25|1021.0|0|16.0|0|0.0|0
0|2020-03-26|1430.0|0|19.0|0|0.0|0
0|2020-03-27|1433.0|0|27.0|0|0.0|0
0|2020-03-28|1740.0|0|31.0|0|0.0|0
0|2020-03-29|2307.0|0|47.0|0|0.0|0
0|2020-03-30|2311.0|0|47.0|0|0.0|0
0|2020-03-31|2966.0|0|69.0|0|0.0|0
0|2020-04-01|2982.0|0|69.0|0|0.0|0
0|2020-04-02|3342.0|0|80.0|0|0.0|0
0|2020-04-03|3742.0|0|97.0|0|0.0|0
0|2020-04-04|4188.0|0|111.0|0|0.0|0
0|2020-04-05|4950.0|0|140.0|0|0.0|0
0|2020-04-06|5183.0|0|150.0|0|0.0|0
0|2020-04-07|5429.0|0|179.0|0|0.0|0
0|2020-04-08|5655.0|0|193.0|0|0.0|0
0|2020-04-09|5655.0|0|193.0|0|0.0|0
0|2020-04-10|6202.0|0|226.0|0|0.0|0
0|2020-04-11|6513.0|0|250.0|0|0.0|0
0|2020-04-12|7307.0|0|289.0|0|0.0|0
0|2020-04-13|7691.0|0|306.0|0|0.0|0
0|2020-04-14|7950.0|0|327.0|0|0.0|0
0|2020-04-15|7956.0|0|328.0|0|0.0|0
0|2020-04-16|8286.0|0|355.0|0|0.0|0
0|2020-04-17|8691.0|0|372.0|0|0.0|0
0|2020-04-18|9047.0|0|389.0|0|0.0|0
0|2020-04-19|9730.0|0|420.0|0|0.0|0
0|2020-04-20|9730.0|0|420.0|0|0.0|0
0|2020-04-21|10473.0|0|483.0|0|0.0|0
0|2020-04-22|10891.0|0|506.0|0|0.0|0
0|2020-04-23|11278.0|0|552.0|0|0.0|0
0|2020-04-24|12256.0|0|674.0|0|0.0|0
0|2020-04-25|12968.0|0|684.0|0|0.0|0
0|2020-04-26|13441.0|0|688.0|0|0.0|0
0|2020-04-27|13879.0|0|706.0|0|0.0|0
0|2020-04-28|14316.0|0|736.0|0|0.0|0
0|2020-04-29|14758.0|0|766.0|0|0.0|0
0|2020-04-30|15284.0|0|777.0|0|0.0|0
0|2020-05-01|15793.0|0|821.0|0|0.0|0
0|2020-05-02|16225.0|0|832.0|0|0.0|0
0|2020-05-03|16635.0|0|842.0|0|0.0|0
0|2020-05-04|16918.0|0|851.0|0|0.0|0
0|2020-05-05|17367.0|0|903.0|0|0.0|0
0|2020-05-06|17367.0|0|903.0|0|0.0|0
0|2020-05-07|17367.0|0|903.0|0|0.0|0
0|2020-05-08|17367.0|0|903.0|0|0.0|0
0|2020-05-09|17367.0|0|903.0|0|0.0|0
0|2020-05-10|17367.0|0|903.0|0|0.0|0
0|2020-05-11|17367.0|0|903.0|0|0.0|0
0|2020-05-12|17367.0|0|903.0|0|0.0|0
0|2020-05-13|17367.0|0|903.0|0|0.0|0
