|dates|Bay_Florida_UnitedStates.JHU_ConfirmedCases.data|Bay_Florida_UnitedStates.JHU_ConfirmedCases.missing|Bay_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Bay_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Bay_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Bay_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|3.0|0|0.0|0|0.0|0
0|2020-03-28|5.0|0|0.0|0|0.0|0
0|2020-03-29|6.0|0|0.0|0|0.0|0
0|2020-03-30|6.0|0|0.0|0|0.0|0
0|2020-03-31|8.0|0|0.0|0|0.0|0
0|2020-04-01|10.0|0|0.0|0|0.0|0
0|2020-04-02|15.0|0|0.0|0|0.0|0
0|2020-04-03|18.0|0|0.0|0|0.0|0
0|2020-04-04|23.0|0|1.0|0|0.0|0
0|2020-04-05|24.0|0|1.0|0|0.0|0
0|2020-04-06|24.0|0|1.0|0|0.0|0
0|2020-04-07|25.0|0|1.0|0|0.0|0
0|2020-04-08|28.0|0|1.0|0|0.0|0
0|2020-04-09|30.0|0|1.0|0|0.0|0
0|2020-04-10|36.0|0|1.0|0|0.0|0
0|2020-04-11|36.0|0|1.0|0|0.0|0
0|2020-04-12|37.0|0|1.0|0|0.0|0
0|2020-04-13|38.0|0|1.0|0|0.0|0
0|2020-04-14|38.0|0|1.0|0|0.0|0
0|2020-04-15|39.0|0|2.0|0|0.0|0
0|2020-04-16|42.0|0|2.0|0|0.0|0
0|2020-04-17|44.0|0|2.0|0|0.0|0
0|2020-04-18|48.0|0|2.0|0|0.0|0
0|2020-04-19|55.0|0|2.0|0|0.0|0
0|2020-04-20|57.0|0|2.0|0|0.0|0
0|2020-04-21|58.0|0|2.0|0|0.0|0
0|2020-04-22|59.0|0|2.0|0|0.0|0
0|2020-04-23|60.0|0|2.0|0|0.0|0
0|2020-04-24|63.0|0|2.0|0|0.0|0
0|2020-04-25|63.0|0|2.0|0|0.0|0
0|2020-04-26|65.0|0|2.0|0|0.0|0
0|2020-04-27|68.0|0|2.0|0|0.0|0
0|2020-04-28|70.0|0|2.0|0|0.0|0
0|2020-04-29|70.0|0|3.0|0|0.0|0
0|2020-04-30|72.0|0|3.0|0|0.0|0
0|2020-05-01|72.0|0|3.0|0|0.0|0
0|2020-05-02|75.0|0|3.0|0|0.0|0
0|2020-05-03|76.0|0|3.0|0|0.0|0
0|2020-05-04|76.0|0|3.0|0|0.0|0
0|2020-05-05|76.0|0|3.0|0|0.0|0
0|2020-05-06|76.0|0|3.0|0|0.0|0
0|2020-05-07|76.0|0|3.0|0|0.0|0
0|2020-05-08|76.0|0|3.0|0|0.0|0
0|2020-05-09|76.0|0|3.0|0|0.0|0
0|2020-05-10|76.0|0|3.0|0|0.0|0
0|2020-05-11|76.0|0|3.0|0|0.0|0
0|2020-05-12|77.0|0|3.0|0|0.0|0
0|2020-05-13|77.0|0|3.0|0|0.0|0
