|dates|ElPaso_Texas_UnitedStates.JHU_ConfirmedCases.data|ElPaso_Texas_UnitedStates.JHU_ConfirmedCases.missing|ElPaso_Texas_UnitedStates.JHU_ConfirmedDeaths.data|ElPaso_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|ElPaso_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|ElPaso_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|6.0|0|0.0|0|0.0|0
0|2020-03-20|6.0|0|0.0|0|0.0|0
0|2020-03-21|7.0|0|0.0|0|0.0|0
0|2020-03-22|7.0|0|0.0|0|0.0|0
0|2020-03-23|9.0|0|0.0|0|0.0|0
0|2020-03-24|10.0|0|0.0|0|0.0|0
0|2020-03-25|16.0|0|0.0|0|0.0|0
0|2020-03-26|28.0|0|0.0|0|0.0|0
0|2020-03-27|28.0|0|0.0|0|0.0|0
0|2020-03-28|38.0|0|0.0|0|0.0|0
0|2020-03-29|42.0|0|0.0|0|0.0|0
0|2020-03-30|40.0|0|0.0|0|0.0|0
0|2020-03-31|53.0|0|0.0|0|0.0|0
0|2020-04-01|57.0|0|0.0|0|0.0|0
0|2020-04-02|75.0|0|0.0|0|0.0|0
0|2020-04-03|85.0|0|0.0|0|0.0|0
0|2020-04-04|103.0|0|0.0|0|0.0|0
0|2020-04-05|113.0|0|0.0|0|0.0|0
0|2020-04-06|132.0|0|0.0|0|0.0|0
0|2020-04-07|132.0|0|0.0|0|0.0|0
0|2020-04-08|153.0|0|0.0|0|0.0|0
0|2020-04-09|192.0|0|0.0|0|0.0|0
0|2020-04-10|225.0|0|1.0|0|0.0|0
0|2020-04-11|252.0|0|2.0|0|0.0|0
0|2020-04-12|269.0|0|2.0|0|0.0|0
0|2020-04-13|292.0|0|2.0|0|0.0|0
0|2020-04-14|300.0|0|2.0|0|0.0|0
0|2020-04-15|346.0|0|4.0|0|0.0|0
0|2020-04-16|393.0|0|6.0|0|0.0|0
0|2020-04-17|451.0|0|7.0|0|0.0|0
0|2020-04-18|482.0|0|7.0|0|0.0|0
0|2020-04-19|505.0|0|8.0|0|0.0|0
0|2020-04-20|531.0|0|8.0|0|0.0|0
0|2020-04-21|540.0|0|9.0|0|0.0|0
0|2020-04-22|587.0|0|9.0|0|0.0|0
0|2020-04-23|674.0|0|10.0|0|0.0|0
0|2020-04-24|706.0|0|10.0|0|0.0|0
0|2020-04-25|706.0|0|10.0|0|0.0|0
0|2020-04-26|780.0|0|12.0|0|0.0|0
0|2020-04-27|802.0|0|12.0|0|0.0|0
0|2020-04-28|829.0|0|12.0|0|0.0|0
0|2020-04-29|857.0|0|14.0|0|0.0|0
0|2020-04-30|887.0|0|18.0|0|0.0|0
0|2020-05-01|924.0|0|21.0|0|0.0|0
0|2020-05-02|961.0|0|22.0|0|0.0|0
0|2020-05-03|986.0|0|22.0|0|0.0|0
0|2020-05-04|998.0|0|22.0|0|0.0|0
0|2020-05-05|1029.0|0|22.0|0|0.0|0
0|2020-05-06|1080.0|0|22.0|0|0.0|0
0|2020-05-07|1119.0|0|23.0|0|0.0|0
0|2020-05-08|1190.0|0|30.0|0|0.0|0
0|2020-05-09|1276.0|0|32.0|0|0.0|0
0|2020-05-10|1322.0|0|32.0|0|0.0|0
0|2020-05-11|1322.0|0|32.0|0|0.0|0
0|2020-05-12|1348.0|0|33.0|0|0.0|0
0|2020-05-13|1413.0|0|33.0|0|0.0|0
