|dates|Bristol_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|Bristol_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|Bristol_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|Bristol_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|Bristol_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|Bristol_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|5.0|0|0.0|0|0.0|0
0|2020-03-18|5.0|0|0.0|0|0.0|0
0|2020-03-19|6.0|0|0.0|0|0.0|0
0|2020-03-20|6.0|0|0.0|0|0.0|0
0|2020-03-21|14.0|0|0.0|0|0.0|0
0|2020-03-22|24.0|0|0.0|0|0.0|0
0|2020-03-23|25.0|0|0.0|0|0.0|0
0|2020-03-24|31.0|0|0.0|0|0.0|0
0|2020-03-25|67.0|0|0.0|0|0.0|0
0|2020-03-26|90.0|0|0.0|0|0.0|0
0|2020-03-27|129.0|0|1.0|0|0.0|0
0|2020-03-28|179.0|0|1.0|0|0.0|0
0|2020-03-29|208.0|0|1.0|0|0.0|0
0|2020-03-30|263.0|0|2.0|0|0.0|0
0|2020-03-31|306.0|0|2.0|0|0.0|0
0|2020-04-01|366.0|0|3.0|0|0.0|0
0|2020-04-02|424.0|0|3.0|0|0.0|0
0|2020-04-03|517.0|0|4.0|0|0.0|0
0|2020-04-04|601.0|0|5.0|0|0.0|0
0|2020-04-05|659.0|0|8.0|0|0.0|0
0|2020-04-06|722.0|0|8.0|0|0.0|0
0|2020-04-07|768.0|0|16.0|0|0.0|0
0|2020-04-08|835.0|0|23.0|0|0.0|0
0|2020-04-09|994.0|0|23.0|0|0.0|0
0|2020-04-10|1086.0|0|23.0|0|0.0|0
0|2020-04-11|1191.0|0|39.0|0|0.0|0
0|2020-04-12|1327.0|0|43.0|0|0.0|0
0|2020-04-13|1394.0|0|43.0|0|0.0|0
0|2020-04-14|1435.0|0|43.0|0|0.0|0
0|2020-04-15|1508.0|0|56.0|0|0.0|0
0|2020-04-16|1605.0|0|56.0|0|0.0|0
0|2020-04-17|1659.0|0|63.0|0|0.0|0
0|2020-04-18|1698.0|0|75.0|0|0.0|0
0|2020-04-19|1731.0|0|87.0|0|0.0|0
0|2020-04-20|1731.0|0|87.0|0|0.0|0
0|2020-04-21|1852.0|0|96.0|0|0.0|0
0|2020-04-22|1908.0|0|96.0|0|0.0|0
0|2020-04-23|2181.0|0|96.0|0|0.0|0
0|2020-04-24|2697.0|0|96.0|0|0.0|0
0|2020-04-25|2829.0|0|130.0|0|0.0|0
0|2020-04-26|2923.0|0|130.0|0|0.0|0
0|2020-04-27|3068.0|0|137.0|0|0.0|0
0|2020-04-28|3270.0|0|155.0|0|0.0|0
0|2020-04-29|3429.0|0|165.0|0|0.0|0
0|2020-04-30|3580.0|0|172.0|0|0.0|0
0|2020-05-01|3792.0|0|182.0|0|0.0|0
0|2020-05-02|3916.0|0|187.0|0|0.0|0
0|2020-05-03|4019.0|0|198.0|0|0.0|0
0|2020-05-04|4103.0|0|205.0|0|0.0|0
0|2020-05-05|4235.0|0|210.0|0|0.0|0
0|2020-05-06|4380.0|0|223.0|0|0.0|0
0|2020-05-07|4529.0|0|232.0|0|0.0|0
0|2020-05-08|4670.0|0|252.0|0|0.0|0
0|2020-05-09|4847.0|0|260.0|0|0.0|0
0|2020-05-10|4931.0|0|266.0|0|0.0|0
0|2020-05-11|4931.0|0|266.0|0|0.0|0
0|2020-05-12|5125.0|0|278.0|0|0.0|0
0|2020-05-13|5249.0|0|288.0|0|0.0|0
