|dates|Smith_Texas_UnitedStates.JHU_ConfirmedCases.data|Smith_Texas_UnitedStates.JHU_ConfirmedCases.missing|Smith_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Smith_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Smith_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Smith_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|3.0|0|0.0|0|0.0|0
0|2020-03-15|4.0|0|0.0|0|0.0|0
0|2020-03-16|4.0|0|0.0|0|0.0|0
0|2020-03-17|4.0|0|0.0|0|0.0|0
0|2020-03-18|5.0|0|0.0|0|0.0|0
0|2020-03-19|5.0|0|0.0|0|0.0|0
0|2020-03-20|5.0|0|0.0|0|0.0|0
0|2020-03-21|6.0|0|0.0|0|0.0|0
0|2020-03-22|10.0|0|0.0|0|0.0|0
0|2020-03-23|10.0|0|0.0|0|0.0|0
0|2020-03-24|14.0|0|0.0|0|0.0|0
0|2020-03-25|16.0|0|1.0|0|0.0|0
0|2020-03-26|21.0|0|1.0|0|0.0|0
0|2020-03-27|27.0|0|1.0|0|0.0|0
0|2020-03-28|27.0|0|1.0|0|0.0|0
0|2020-03-29|31.0|0|1.0|0|0.0|0
0|2020-03-30|32.0|0|1.0|0|0.0|0
0|2020-03-31|36.0|0|1.0|0|0.0|0
0|2020-04-01|37.0|0|1.0|0|0.0|0
0|2020-04-02|42.0|0|1.0|0|0.0|0
0|2020-04-03|53.0|0|1.0|0|0.0|0
0|2020-04-04|57.0|0|1.0|0|0.0|0
0|2020-04-05|57.0|0|1.0|0|0.0|0
0|2020-04-06|62.0|0|2.0|0|0.0|0
0|2020-04-07|75.0|0|2.0|0|0.0|0
0|2020-04-08|79.0|0|2.0|0|0.0|0
0|2020-04-09|82.0|0|2.0|0|0.0|0
0|2020-04-10|88.0|0|2.0|0|0.0|0
0|2020-04-11|93.0|0|2.0|0|0.0|0
0|2020-04-12|96.0|0|2.0|0|0.0|0
0|2020-04-13|96.0|0|2.0|0|0.0|0
0|2020-04-14|101.0|0|2.0|0|0.0|0
0|2020-04-15|103.0|0|1.0|0|0.0|0
0|2020-04-16|108.0|0|2.0|0|0.0|0
0|2020-04-17|112.0|0|2.0|0|0.0|0
0|2020-04-18|116.0|0|2.0|0|0.0|0
0|2020-04-19|121.0|0|2.0|0|0.0|0
0|2020-04-20|121.0|0|2.0|0|0.0|0
0|2020-04-21|124.0|0|3.0|0|0.0|0
0|2020-04-22|124.0|0|3.0|0|0.0|0
0|2020-04-23|131.0|0|3.0|0|0.0|0
0|2020-04-24|131.0|0|3.0|0|0.0|0
0|2020-04-25|131.0|0|3.0|0|0.0|0
0|2020-04-26|132.0|0|3.0|0|0.0|0
0|2020-04-27|134.0|0|3.0|0|0.0|0
0|2020-04-28|139.0|0|3.0|0|0.0|0
0|2020-04-29|139.0|0|3.0|0|0.0|0
0|2020-04-30|142.0|0|3.0|0|0.0|0
0|2020-05-01|144.0|0|3.0|0|0.0|0
0|2020-05-02|146.0|0|3.0|0|0.0|0
0|2020-05-03|146.0|0|3.0|0|0.0|0
0|2020-05-04|146.0|0|3.0|0|0.0|0
0|2020-05-05|155.0|0|3.0|0|0.0|0
0|2020-05-06|156.0|0|3.0|0|0.0|0
0|2020-05-07|165.0|0|3.0|0|0.0|0
0|2020-05-08|170.0|0|3.0|0|0.0|0
0|2020-05-09|170.0|0|3.0|0|0.0|0
0|2020-05-10|174.0|0|3.0|0|0.0|0
0|2020-05-11|174.0|0|3.0|0|0.0|0
0|2020-05-12|177.0|0|3.0|0|0.0|0
0|2020-05-13|185.0|0|3.0|0|0.0|0
