|dates|LittleRiver_Arkansas_UnitedStates.JHU_ConfirmedCases.data|LittleRiver_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|LittleRiver_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|LittleRiver_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|LittleRiver_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|LittleRiver_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|9.0|0|0.0|0|0.0|0
0|2020-03-14|12.0|0|0.0|0|0.0|0
0|2020-03-15|3.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|4.0|0|0.0|0|0.0|0
0|2020-03-19|62.0|0|0.0|0|0.0|0
0|2020-03-20|100.0|0|0.0|0|0.0|0
0|2020-03-21|122.0|0|0.0|0|0.0|0
0|2020-03-22|165.0|0|0.0|0|0.0|0
0|2020-03-23|192.0|0|0.0|0|0.0|0
0|2020-03-24|219.0|0|2.0|0|0.0|0
0|2020-03-25|280.0|0|2.0|0|0.0|0
0|2020-03-26|335.0|0|2.0|0|0.0|0
0|2020-03-27|381.0|0|3.0|0|0.0|0
0|2020-03-28|409.0|0|5.0|0|0.0|0
0|2020-03-29|426.0|0|6.0|0|0.0|0
0|2020-03-30|473.0|0|7.0|0|0.0|0
0|2020-03-31|523.0|0|8.0|0|0.0|0
0|2020-04-01|584.0|0|10.0|0|0.0|0
0|2020-04-02|643.0|0|12.0|0|0.0|0
0|2020-04-03|704.0|0|12.0|0|0.0|0
0|2020-04-04|743.0|0|14.0|0|0.0|0
0|2020-04-05|837.0|0|16.0|0|0.0|0
0|2020-04-06|875.0|0|16.0|0|0.0|0
0|2020-04-07|946.0|0|18.0|0|0.0|0
0|2020-04-08|1000.0|0|18.0|0|0.0|0
0|2020-04-09|1119.0|0|21.0|0|0.0|0
0|2020-04-10|1171.0|0|21.0|0|0.0|0
0|2020-04-11|1228.0|0|25.0|0|0.0|0
0|2020-04-12|1280.0|0|27.0|0|0.0|0
0|2020-04-13|1410.0|0|29.0|0|0.0|0
0|2020-04-14|1498.0|0|32.0|0|0.0|0
0|2020-04-15|1569.0|0|33.0|0|0.0|0
0|2020-04-16|1620.0|0|37.0|0|0.0|0
0|2020-04-17|1695.0|0|37.0|0|0.0|0
0|2020-04-18|1744.0|0|38.0|0|0.0|0
0|2020-04-19|1781.0|0|39.0|0|0.0|0
0|2020-04-20|1973.0|0|41.0|0|0.0|0
0|2020-04-21|1990.0|0|42.0|0|0.0|0
0|2020-04-22|2276.0|0|42.0|0|0.0|0
0|2020-04-23|2599.0|0|45.0|0|0.0|0
0|2020-04-24|2810.0|0|47.0|0|0.0|0
0|2020-04-25|2911.0|0|48.0|0|0.0|0
0|2020-04-26|3001.0|0|51.0|0|0.0|0
0|2020-04-27|3069.0|0|51.0|0|0.0|0
0|2020-04-28|3127.0|0|57.0|0|0.0|0
0|2020-04-29|3193.0|0|57.0|0|0.0|0
0|2020-04-30|3281.0|0|61.0|0|0.0|0
0|2020-05-01|3337.0|0|64.0|0|0.0|0
0|2020-05-02|3372.0|0|72.0|0|0.0|0
0|2020-05-03|3437.0|0|76.0|0|0.0|0
0|2020-05-04|3491.0|0|80.0|0|0.0|0
0|2020-05-05|3525.0|0|83.0|0|0.0|0
0|2020-05-06|3525.0|0|83.0|0|0.0|0
0|2020-05-07|3525.0|0|83.0|0|0.0|0
0|2020-05-08|3525.0|0|83.0|0|0.0|0
0|2020-05-09|3525.0|0|83.0|0|0.0|0
0|2020-05-10|3525.0|0|83.0|0|0.0|0
0|2020-05-11|3525.0|0|83.0|0|0.0|0
0|2020-05-12|3525.0|0|83.0|0|0.0|0
0|2020-05-13|3525.0|0|83.0|0|0.0|0
