|dates|Hinds_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Hinds_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Hinds_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Hinds_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Hinds_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Hinds_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|6.0|0|0.0|0|0.0|0
0|2020-03-18|6.0|0|0.0|0|0.0|0
0|2020-03-19|6.0|0|0.0|0|0.0|0
0|2020-03-20|7.0|0|0.0|0|0.0|0
0|2020-03-21|7.0|0|0.0|0|0.0|0
0|2020-03-22|20.0|0|0.0|0|0.0|0
0|2020-03-23|24.0|0|0.0|0|0.0|0
0|2020-03-24|31.0|0|0.0|0|0.0|0
0|2020-03-25|38.0|0|0.0|0|0.0|0
0|2020-03-26|43.0|0|0.0|0|0.0|0
0|2020-03-27|50.0|0|0.0|0|0.0|0
0|2020-03-28|58.0|0|0.0|0|0.0|0
0|2020-03-29|66.0|0|0.0|0|0.0|0
0|2020-03-30|66.0|0|0.0|0|0.0|0
0|2020-03-31|90.0|0|0.0|0|0.0|0
0|2020-04-01|109.0|0|0.0|0|0.0|0
0|2020-04-02|118.0|0|0.0|0|0.0|0
0|2020-04-03|139.0|0|0.0|0|0.0|0
0|2020-04-04|140.0|0|0.0|0|0.0|0
0|2020-04-05|154.0|0|0.0|0|0.0|0
0|2020-04-06|158.0|0|0.0|0|0.0|0
0|2020-04-07|169.0|0|0.0|0|0.0|0
0|2020-04-08|178.0|0|1.0|0|0.0|0
0|2020-04-09|203.0|0|2.0|0|0.0|0
0|2020-04-10|219.0|0|2.0|0|0.0|0
0|2020-04-11|234.0|0|2.0|0|0.0|0
0|2020-04-12|247.0|0|2.0|0|0.0|0
0|2020-04-13|259.0|0|2.0|0|0.0|0
0|2020-04-14|263.0|0|2.0|0|0.0|0
0|2020-04-15|280.0|0|4.0|0|0.0|0
0|2020-04-16|301.0|0|4.0|0|0.0|0
0|2020-04-17|314.0|0|5.0|0|0.0|0
0|2020-04-18|325.0|0|5.0|0|0.0|0
0|2020-04-19|337.0|0|5.0|0|0.0|0
0|2020-04-20|347.0|0|5.0|0|0.0|0
0|2020-04-21|357.0|0|6.0|0|0.0|0
0|2020-04-22|377.0|0|6.0|0|0.0|0
0|2020-04-23|383.0|0|6.0|0|0.0|0
0|2020-04-24|401.0|0|6.0|0|0.0|0
0|2020-04-25|412.0|0|7.0|0|0.0|0
0|2020-04-26|415.0|0|7.0|0|0.0|0
0|2020-04-27|421.0|0|7.0|0|0.0|0
0|2020-04-28|435.0|0|7.0|0|0.0|0
0|2020-04-29|450.0|0|7.0|0|0.0|0
0|2020-04-30|470.0|0|8.0|0|0.0|0
0|2020-05-01|496.0|0|8.0|0|0.0|0
0|2020-05-02|505.0|0|8.0|0|0.0|0
0|2020-05-03|507.0|0|8.0|0|0.0|0
0|2020-05-04|542.0|0|9.0|0|0.0|0
0|2020-05-05|565.0|0|9.0|0|0.0|0
0|2020-05-06|588.0|0|11.0|0|0.0|0
0|2020-05-07|600.0|0|11.0|0|0.0|0
0|2020-05-08|657.0|0|11.0|0|0.0|0
0|2020-05-09|663.0|0|15.0|0|0.0|0
0|2020-05-10|670.0|0|15.0|0|0.0|0
0|2020-05-11|670.0|0|15.0|0|0.0|0
0|2020-05-12|681.0|0|17.0|0|0.0|0
0|2020-05-13|698.0|0|17.0|0|0.0|0
