|dates|Sullivan_NewYork_UnitedStates.JHU_ConfirmedCases.data|Sullivan_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Sullivan_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Sullivan_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Sullivan_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Sullivan_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|12.0|0|0.0|0|0.0|0
0|2020-03-22|12.0|0|0.0|0|0.0|0
0|2020-03-23|12.0|0|0.0|0|0.0|0
0|2020-03-24|23.0|0|0.0|0|0.0|0
0|2020-03-25|39.0|0|0.0|0|0.0|0
0|2020-03-26|53.0|0|0.0|0|0.0|0
0|2020-03-27|64.0|0|0.0|0|0.0|0
0|2020-03-28|72.0|0|0.0|0|0.0|0
0|2020-03-29|88.0|0|0.0|0|0.0|0
0|2020-03-30|101.0|0|0.0|0|0.0|0
0|2020-03-31|106.0|0|1.0|0|0.0|0
0|2020-04-01|121.0|0|1.0|0|0.0|0
0|2020-04-02|143.0|0|4.0|0|0.0|0
0|2020-04-03|168.0|0|5.0|0|0.0|0
0|2020-04-04|193.0|0|5.0|0|0.0|0
0|2020-04-05|193.0|0|5.0|0|0.0|0
0|2020-04-06|253.0|0|6.0|0|0.0|0
0|2020-04-07|270.0|0|7.0|0|0.0|0
0|2020-04-08|296.0|0|7.0|0|0.0|0
0|2020-04-09|296.0|0|7.0|0|0.0|0
0|2020-04-10|318.0|0|7.0|0|0.0|0
0|2020-04-11|340.0|0|7.0|0|0.0|0
0|2020-04-12|358.0|0|7.0|0|0.0|0
0|2020-04-13|380.0|0|8.0|0|0.0|0
0|2020-04-14|415.0|0|9.0|0|0.0|0
0|2020-04-15|424.0|0|10.0|0|0.0|0
0|2020-04-16|437.0|0|11.0|0|0.0|0
0|2020-04-17|505.0|0|11.0|0|0.0|0
0|2020-04-18|524.0|0|11.0|0|0.0|0
0|2020-04-19|537.0|0|11.0|0|0.0|0
0|2020-04-20|560.0|0|13.0|0|0.0|0
0|2020-04-21|592.0|0|14.0|0|0.0|0
0|2020-04-22|592.0|0|14.0|0|0.0|0
0|2020-04-23|580.0|0|17.0|0|0.0|0
0|2020-04-24|628.0|0|17.0|0|0.0|0
0|2020-04-25|689.0|0|17.0|0|0.0|0
0|2020-04-26|724.0|0|17.0|0|0.0|0
0|2020-04-27|748.0|0|21.0|0|0.0|0
0|2020-04-28|769.0|0|21.0|0|0.0|0
0|2020-04-29|811.0|0|22.0|0|0.0|0
0|2020-04-30|838.0|0|22.0|0|0.0|0
0|2020-05-01|880.0|0|22.0|0|0.0|0
0|2020-05-02|931.0|0|22.0|0|0.0|0
0|2020-05-03|951.0|0|22.0|0|0.0|0
0|2020-05-04|976.0|0|23.0|0|0.0|0
0|2020-05-05|984.0|0|23.0|0|0.0|0
0|2020-05-06|996.0|0|23.0|0|0.0|0
0|2020-05-07|1021.0|0|23.0|0|0.0|0
0|2020-05-08|1039.0|0|23.0|0|0.0|0
0|2020-05-09|1071.0|0|25.0|0|0.0|0
0|2020-05-10|1093.0|0|25.0|0|0.0|0
0|2020-05-11|1093.0|0|25.0|0|0.0|0
0|2020-05-12|1119.0|0|25.0|0|0.0|0
0|2020-05-13|1135.0|0|25.0|0|0.0|0
