|dates|Jackson_Oregon_UnitedStates.JHU_ConfirmedCases.data|Jackson_Oregon_UnitedStates.JHU_ConfirmedCases.missing|Jackson_Oregon_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_Oregon_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_Oregon_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_Oregon_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|2.0|0|0.0|0|0.0|0
0|2020-03-09|2.0|0|0.0|0|0.0|0
0|2020-03-10|2.0|0|0.0|0|0.0|0
0|2020-03-11|2.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|2.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|4.0|0|0.0|0|0.0|0
0|2020-03-26|4.0|0|0.0|0|0.0|0
0|2020-03-27|6.0|0|0.0|0|0.0|0
0|2020-03-28|8.0|0|0.0|0|0.0|0
0|2020-03-29|19.0|0|0.0|0|0.0|0
0|2020-03-30|20.0|0|0.0|0|0.0|0
0|2020-03-31|21.0|0|0.0|0|0.0|0
0|2020-04-01|22.0|0|0.0|0|0.0|0
0|2020-04-02|27.0|0|0.0|0|0.0|0
0|2020-04-03|27.0|0|0.0|0|0.0|0
0|2020-04-04|27.0|0|0.0|0|0.0|0
0|2020-04-05|33.0|0|0.0|0|0.0|0
0|2020-04-06|33.0|0|0.0|0|0.0|0
0|2020-04-07|39.0|0|0.0|0|0.0|0
0|2020-04-08|39.0|0|0.0|0|0.0|0
0|2020-04-09|44.0|0|0.0|0|0.0|0
0|2020-04-10|44.0|0|0.0|0|0.0|0
0|2020-04-11|44.0|0|0.0|0|0.0|0
0|2020-04-12|46.0|0|0.0|0|0.0|0
0|2020-04-13|47.0|0|0.0|0|0.0|0
0|2020-04-14|47.0|0|0.0|0|0.0|0
0|2020-04-15|47.0|0|0.0|0|0.0|0
0|2020-04-16|47.0|0|0.0|0|0.0|0
0|2020-04-17|48.0|0|0.0|0|0.0|0
0|2020-04-18|49.0|0|0.0|0|0.0|0
0|2020-04-19|49.0|0|0.0|0|0.0|0
0|2020-04-20|49.0|0|0.0|0|0.0|0
0|2020-04-21|48.0|0|0.0|0|0.0|0
0|2020-04-22|48.0|0|0.0|0|0.0|0
0|2020-04-23|48.0|0|0.0|0|0.0|0
0|2020-04-24|48.0|0|0.0|0|0.0|0
0|2020-04-25|49.0|0|0.0|0|0.0|0
0|2020-04-26|49.0|0|0.0|0|0.0|0
0|2020-04-27|49.0|0|0.0|0|0.0|0
0|2020-04-28|49.0|0|0.0|0|0.0|0
0|2020-04-29|49.0|0|0.0|0|0.0|0
0|2020-04-30|49.0|0|0.0|0|0.0|0
0|2020-05-01|49.0|0|0.0|0|0.0|0
0|2020-05-02|49.0|0|0.0|0|0.0|0
0|2020-05-03|49.0|0|0.0|0|0.0|0
0|2020-05-04|49.0|0|0.0|0|0.0|0
0|2020-05-05|49.0|0|0.0|0|0.0|0
0|2020-05-06|49.0|0|0.0|0|0.0|0
0|2020-05-07|49.0|0|0.0|0|0.0|0
0|2020-05-08|49.0|0|0.0|0|0.0|0
0|2020-05-09|49.0|0|0.0|0|0.0|0
0|2020-05-10|49.0|0|0.0|0|0.0|0
0|2020-05-11|49.0|0|0.0|0|0.0|0
0|2020-05-12|50.0|0|0.0|0|0.0|0
0|2020-05-13|50.0|0|0.0|0|0.0|0
