|dates|Gregg_Texas_UnitedStates.JHU_ConfirmedCases.data|Gregg_Texas_UnitedStates.JHU_ConfirmedCases.missing|Gregg_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Gregg_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Gregg_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Gregg_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|4.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|4.0|0|0.0|0|0.0|0
0|2020-03-27|4.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|4.0|0|0.0|0|0.0|0
0|2020-03-30|5.0|0|0.0|0|0.0|0
0|2020-03-31|5.0|0|0.0|0|0.0|0
0|2020-04-01|8.0|0|0.0|0|0.0|0
0|2020-04-02|8.0|0|0.0|0|0.0|0
0|2020-04-03|13.0|0|0.0|0|0.0|0
0|2020-04-04|16.0|0|0.0|0|0.0|0
0|2020-04-05|16.0|0|0.0|0|0.0|0
0|2020-04-06|16.0|0|0.0|0|0.0|0
0|2020-04-07|23.0|0|0.0|0|0.0|0
0|2020-04-08|32.0|0|0.0|0|0.0|0
0|2020-04-09|35.0|0|0.0|0|0.0|0
0|2020-04-10|37.0|0|0.0|0|0.0|0
0|2020-04-11|40.0|0|0.0|0|0.0|0
0|2020-04-12|40.0|0|0.0|0|0.0|0
0|2020-04-13|40.0|0|0.0|0|0.0|0
0|2020-04-14|45.0|0|0.0|0|0.0|0
0|2020-04-15|47.0|0|0.0|0|0.0|0
0|2020-04-16|49.0|0|0.0|0|0.0|0
0|2020-04-17|50.0|0|0.0|0|0.0|0
0|2020-04-18|51.0|0|0.0|0|0.0|0
0|2020-04-19|52.0|0|0.0|0|0.0|0
0|2020-04-20|52.0|0|0.0|0|0.0|0
0|2020-04-21|52.0|0|0.0|0|0.0|0
0|2020-04-22|53.0|0|0.0|0|0.0|0
0|2020-04-23|59.0|0|0.0|0|0.0|0
0|2020-04-24|59.0|0|0.0|0|0.0|0
0|2020-04-25|59.0|0|0.0|0|0.0|0
0|2020-04-26|62.0|0|0.0|0|0.0|0
0|2020-04-27|66.0|0|0.0|0|0.0|0
0|2020-04-28|69.0|0|0.0|0|0.0|0
0|2020-04-29|69.0|0|0.0|0|0.0|0
0|2020-04-30|73.0|0|0.0|0|0.0|0
0|2020-05-01|80.0|0|0.0|0|0.0|0
0|2020-05-02|87.0|0|0.0|0|0.0|0
0|2020-05-03|87.0|0|0.0|0|0.0|0
0|2020-05-04|87.0|0|0.0|0|0.0|0
0|2020-05-05|97.0|0|0.0|0|0.0|0
0|2020-05-06|107.0|0|0.0|0|0.0|0
0|2020-05-07|109.0|0|0.0|0|0.0|0
0|2020-05-08|117.0|0|0.0|0|0.0|0
0|2020-05-09|117.0|0|0.0|0|0.0|0
0|2020-05-10|118.0|0|0.0|0|0.0|0
0|2020-05-11|118.0|0|0.0|0|0.0|0
0|2020-05-12|132.0|0|0.0|0|0.0|0
0|2020-05-13|136.0|0|0.0|0|0.0|0
