|dates|Alameda_California_UnitedStates.JHU_ConfirmedCases.data|Alameda_California_UnitedStates.JHU_ConfirmedCases.missing|Alameda_California_UnitedStates.JHU_ConfirmedDeaths.data|Alameda_California_UnitedStates.JHU_ConfirmedDeaths.missing|Alameda_California_UnitedStates.JHU_ConfirmedRecoveries.data|Alameda_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|1.0|0|0.0|0|0.0|0
0|2020-03-04|1.0|0|0.0|0|0.0|0
0|2020-03-05|1.0|0|0.0|0|0.0|0
0|2020-03-06|1.0|0|0.0|0|0.0|0
0|2020-03-07|2.0|0|0.0|0|0.0|0
0|2020-03-08|2.0|0|0.0|0|0.0|0
0|2020-03-09|2.0|0|0.0|0|0.0|0
0|2020-03-10|3.0|0|0.0|0|0.0|0
0|2020-03-11|5.0|0|0.0|0|0.0|0
0|2020-03-12|5.0|0|0.0|0|0.0|0
0|2020-03-13|7.0|0|0.0|0|0.0|0
0|2020-03-14|11.0|0|0.0|0|0.0|0
0|2020-03-15|11.0|0|0.0|0|0.0|0
0|2020-03-16|18.0|0|0.0|0|0.0|0
0|2020-03-17|27.0|0|0.0|0|0.0|0
0|2020-03-18|30.0|0|0.0|0|0.0|0
0|2020-03-19|38.0|0|0.0|0|0.0|0
0|2020-03-20|48.0|0|0.0|0|0.0|0
0|2020-03-21|68.0|0|0.0|0|0.0|0
0|2020-03-22|71.0|0|0.0|0|0.0|0
0|2020-03-23|118.0|0|1.0|0|0.0|0
0|2020-03-24|135.0|0|2.0|0|0.0|0
0|2020-03-25|135.0|0|2.0|0|0.0|0
0|2020-03-26|178.0|0|4.0|0|0.0|0
0|2020-03-27|220.0|0|4.0|0|0.0|0
0|2020-03-28|220.0|0|4.0|0|0.0|0
0|2020-03-29|270.0|0|6.0|0|0.0|0
0|2020-03-30|283.0|0|7.0|0|0.0|0
0|2020-03-31|313.0|0|7.0|0|0.0|0
0|2020-04-01|313.0|0|7.0|0|0.0|0
0|2020-04-02|359.0|0|8.0|0|0.0|0
0|2020-04-03|443.0|0|12.0|0|0.0|0
0|2020-04-04|443.0|0|12.0|0|0.0|0
0|2020-04-05|566.0|0|12.0|0|0.0|0
0|2020-04-06|588.0|0|13.0|0|0.0|0
0|2020-04-07|634.0|0|15.0|0|0.0|0
0|2020-04-08|674.0|0|16.0|0|0.0|0
0|2020-04-09|674.0|0|16.0|0|0.0|0
0|2020-04-10|766.0|0|20.0|0|0.0|0
0|2020-04-11|806.0|0|21.0|0|0.0|0
0|2020-04-12|845.0|0|23.0|0|0.0|0
0|2020-04-13|888.0|0|23.0|0|0.0|0
0|2020-04-14|888.0|0|23.0|0|0.0|0
0|2020-04-15|964.0|0|36.0|0|0.0|0
0|2020-04-16|1007.0|0|39.0|0|0.0|0
0|2020-04-17|1063.0|0|40.0|0|0.0|0
0|2020-04-18|1114.0|0|41.0|0|0.0|0
0|2020-04-19|1164.0|0|42.0|0|0.0|0
0|2020-04-20|1193.0|0|42.0|0|0.0|0
0|2020-04-21|1241.0|0|43.0|0|0.0|0
0|2020-04-22|1242.0|0|43.0|0|0.0|0
0|2020-04-23|1352.0|0|46.0|0|0.0|0
0|2020-04-24|1403.0|0|48.0|0|0.0|0
0|2020-04-25|1439.0|0|52.0|0|0.0|0
0|2020-04-26|1470.0|0|52.0|0|0.0|0
0|2020-04-27|1500.0|0|52.0|0|0.0|0
0|2020-04-28|1533.0|0|55.0|0|0.0|0
0|2020-04-29|1568.0|0|57.0|0|0.0|0
0|2020-04-30|1603.0|0|60.0|0|0.0|0
0|2020-05-01|1636.0|0|62.0|0|0.0|0
0|2020-05-02|1706.0|0|63.0|0|0.0|0
0|2020-05-03|1749.0|0|63.0|0|0.0|0
0|2020-05-04|1776.0|0|63.0|0|0.0|0
0|2020-05-05|1809.0|0|66.0|0|0.0|0
0|2020-05-06|1863.0|0|66.0|0|0.0|0
0|2020-05-07|1917.0|0|67.0|0|0.0|0
0|2020-05-08|1961.0|0|70.0|0|0.0|0
0|2020-05-09|2023.0|0|71.0|0|0.0|0
0|2020-05-10|2064.0|0|71.0|0|0.0|0
0|2020-05-11|2064.0|0|71.0|0|0.0|0
0|2020-05-12|2133.0|0|74.0|0|0.0|0
0|2020-05-13|2178.0|0|76.0|0|0.0|0
