|dates|Elmore_Alabama_UnitedStates.JHU_ConfirmedCases.data|Elmore_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Elmore_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Elmore_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Elmore_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Elmore_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|4.0|0|0.0|0|0.0|0
0|2020-03-19|5.0|0|0.0|0|0.0|0
0|2020-03-20|5.0|0|0.0|0|0.0|0
0|2020-03-21|6.0|0|0.0|0|0.0|0
0|2020-03-22|6.0|0|0.0|0|0.0|0
0|2020-03-23|6.0|0|0.0|0|0.0|0
0|2020-03-24|8.0|0|0.0|0|0.0|0
0|2020-03-25|9.0|0|0.0|0|0.0|0
0|2020-03-26|10.0|0|0.0|0|0.0|0
0|2020-03-27|12.0|0|0.0|0|0.0|0
0|2020-03-28|12.0|0|0.0|0|0.0|0
0|2020-03-29|13.0|0|0.0|0|0.0|0
0|2020-03-30|13.0|0|0.0|0|0.0|0
0|2020-03-31|13.0|0|0.0|0|0.0|0
0|2020-04-01|14.0|0|0.0|0|0.0|0
0|2020-04-02|17.0|0|0.0|0|0.0|0
0|2020-04-03|19.0|0|0.0|0|0.0|0
0|2020-04-04|19.0|0|0.0|0|0.0|0
0|2020-04-05|19.0|0|0.0|0|0.0|0
0|2020-04-06|19.0|0|0.0|0|0.0|0
0|2020-04-07|22.0|0|0.0|0|0.0|0
0|2020-04-08|22.0|0|0.0|0|0.0|0
0|2020-04-09|27.0|0|0.0|0|0.0|0
0|2020-04-10|29.0|0|0.0|0|0.0|0
0|2020-04-11|30.0|0|0.0|0|0.0|0
0|2020-04-12|33.0|0|0.0|0|0.0|0
0|2020-04-13|35.0|0|0.0|0|0.0|0
0|2020-04-14|43.0|0|0.0|0|0.0|0
0|2020-04-15|47.0|0|0.0|0|0.0|0
0|2020-04-16|54.0|0|0.0|0|0.0|0
0|2020-04-17|54.0|0|1.0|0|0.0|0
0|2020-04-18|58.0|0|1.0|0|0.0|0
0|2020-04-19|63.0|0|1.0|0|0.0|0
0|2020-04-20|69.0|0|1.0|0|0.0|0
0|2020-04-21|73.0|0|1.0|0|0.0|0
0|2020-04-22|74.0|0|1.0|0|0.0|0
0|2020-04-23|74.0|0|1.0|0|0.0|0
0|2020-04-24|74.0|0|1.0|0|0.0|0
0|2020-04-25|74.0|0|1.0|0|0.0|0
0|2020-04-26|79.0|0|1.0|0|0.0|0
0|2020-04-27|79.0|0|1.0|0|0.0|0
0|2020-04-28|82.0|0|1.0|0|0.0|0
0|2020-04-29|84.0|0|1.0|0|0.0|0
0|2020-04-30|86.0|0|2.0|0|0.0|0
0|2020-05-01|88.0|0|2.0|0|0.0|0
0|2020-05-02|93.0|0|2.0|0|0.0|0
0|2020-05-03|103.0|0|2.0|0|0.0|0
0|2020-05-04|111.0|0|3.0|0|0.0|0
0|2020-05-05|121.0|0|3.0|0|0.0|0
0|2020-05-06|121.0|0|3.0|0|0.0|0
0|2020-05-07|127.0|0|4.0|0|0.0|0
0|2020-05-08|130.0|0|4.0|0|0.0|0
0|2020-05-09|135.0|0|4.0|0|0.0|0
0|2020-05-10|150.0|0|4.0|0|0.0|0
0|2020-05-11|150.0|0|4.0|0|0.0|0
0|2020-05-12|156.0|0|4.0|0|0.0|0
0|2020-05-13|157.0|0|5.0|0|0.0|0
