|dates|Middlesex_NewJersey_UnitedStates.JHU_ConfirmedCases.data|Middlesex_NewJersey_UnitedStates.JHU_ConfirmedCases.missing|Middlesex_NewJersey_UnitedStates.JHU_ConfirmedDeaths.data|Middlesex_NewJersey_UnitedStates.JHU_ConfirmedDeaths.missing|Middlesex_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.data|Middlesex_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|2.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|6.0|0|0.0|0|0.0|0
0|2020-03-14|10.0|0|0.0|0|0.0|0
0|2020-03-15|10.0|0|0.0|0|0.0|0
0|2020-03-16|17.0|0|0.0|0|0.0|0
0|2020-03-17|22.0|0|0.0|0|0.0|0
0|2020-03-18|40.0|0|0.0|0|0.0|0
0|2020-03-19|64.0|0|0.0|0|0.0|0
0|2020-03-20|76.0|0|0.0|0|0.0|0
0|2020-03-21|116.0|0|0.0|0|0.0|0
0|2020-03-22|147.0|0|0.0|0|0.0|0
0|2020-03-23|210.0|0|0.0|0|0.0|0
0|2020-03-24|277.0|0|0.0|0|0.0|0
0|2020-03-25|316.0|0|0.0|0|0.0|0
0|2020-03-26|505.0|0|0.0|0|0.0|0
0|2020-03-27|640.0|0|0.0|0|0.0|0
0|2020-03-28|808.0|0|4.0|0|0.0|0
0|2020-03-29|938.0|0|12.0|0|0.0|0
0|2020-03-30|1123.0|0|12.0|0|0.0|0
0|2020-03-31|1277.0|0|0.0|0|0.0|0
0|2020-04-01|1493.0|0|27.0|0|0.0|0
0|2020-04-02|1766.0|0|48.0|0|0.0|0
0|2020-04-03|2125.0|0|56.0|0|0.0|0
0|2020-04-04|2578.0|0|76.0|0|0.0|0
0|2020-04-05|2950.0|0|80.0|0|0.0|0
0|2020-04-06|3263.0|0|87.0|0|0.0|0
0|2020-04-07|3717.0|0|100.0|0|0.0|0
0|2020-04-08|4156.0|0|139.0|0|0.0|0
0|2020-04-09|4628.0|0|152.0|0|0.0|0
0|2020-04-10|5060.0|0|168.0|0|0.0|0
0|2020-04-11|5406.0|0|177.0|0|0.0|0
0|2020-04-12|5693.0|0|193.0|0|0.0|0
0|2020-04-13|5987.0|0|204.0|0|0.0|0
0|2020-04-14|6313.0|0|216.0|0|0.0|0
0|2020-04-15|6576.0|0|248.0|0|0.0|0
0|2020-04-16|6994.0|0|278.0|0|0.0|0
0|2020-04-17|7308.0|0|309.0|0|0.0|0
0|2020-04-18|7624.0|0|313.0|0|0.0|0
0|2020-04-19|8017.0|0|329.0|0|0.0|0
0|2020-04-20|8346.0|0|345.0|0|0.0|0
0|2020-04-21|8346.0|0|345.0|0|0.0|0
0|2020-04-22|9047.0|0|369.0|0|0.0|0
0|2020-04-23|9530.0|0|396.0|0|0.0|0
0|2020-04-24|9789.0|0|413.0|0|0.0|0
0|2020-04-25|10075.0|0|431.0|0|0.0|0
0|2020-04-26|10642.0|0|442.0|0|0.0|0
0|2020-04-27|10767.0|0|455.0|0|0.0|0
0|2020-04-28|11102.0|0|515.0|0|0.0|0
0|2020-04-29|11436.0|0|531.0|0|0.0|0
0|2020-04-30|11715.0|0|571.0|0|0.0|0
0|2020-05-01|11947.0|0|591.0|0|0.0|0
0|2020-05-02|12213.0|0|618.0|0|0.0|0
0|2020-05-03|12597.0|0|639.0|0|0.0|0
0|2020-05-04|12768.0|0|642.0|0|0.0|0
0|2020-05-05|13142.0|0|667.0|0|0.0|0
0|2020-05-06|13254.0|0|706.0|0|0.0|0
0|2020-05-07|13411.0|0|737.0|0|0.0|0
0|2020-05-08|13617.0|0|748.0|0|0.0|0
0|2020-05-09|13759.0|0|759.0|0|0.0|0
0|2020-05-10|13937.0|0|793.0|0|0.0|0
0|2020-05-11|13937.0|0|793.0|0|0.0|0
0|2020-05-12|14121.0|0|801.0|0|0.0|0
0|2020-05-13|14241.0|0|819.0|0|0.0|0
