|dates|Armstrong_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Armstrong_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Armstrong_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Armstrong_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Armstrong_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Armstrong_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|1.0|0|0.0|0|0.0|0
0|2020-03-27|1.0|0|0.0|0|0.0|0
0|2020-03-28|2.0|0|0.0|0|0.0|0
0|2020-03-29|3.0|0|0.0|0|0.0|0
0|2020-03-30|3.0|0|0.0|0|0.0|0
0|2020-03-31|5.0|0|0.0|0|0.0|0
0|2020-04-01|5.0|0|0.0|0|0.0|0
0|2020-04-02|7.0|0|0.0|0|0.0|0
0|2020-04-03|11.0|0|0.0|0|0.0|0
0|2020-04-04|12.0|0|0.0|0|0.0|0
0|2020-04-05|12.0|0|0.0|0|0.0|0
0|2020-04-06|13.0|0|0.0|0|0.0|0
0|2020-04-07|18.0|0|0.0|0|0.0|0
0|2020-04-08|19.0|0|0.0|0|0.0|0
0|2020-04-09|20.0|0|0.0|0|0.0|0
0|2020-04-10|22.0|0|0.0|0|0.0|0
0|2020-04-11|26.0|0|1.0|0|0.0|0
0|2020-04-12|27.0|0|1.0|0|0.0|0
0|2020-04-13|28.0|0|1.0|0|0.0|0
0|2020-04-14|28.0|0|1.0|0|0.0|0
0|2020-04-15|29.0|0|1.0|0|0.0|0
0|2020-04-16|32.0|0|1.0|0|0.0|0
0|2020-04-17|32.0|0|2.0|0|0.0|0
0|2020-04-18|36.0|0|2.0|0|0.0|0
0|2020-04-19|38.0|0|2.0|0|0.0|0
0|2020-04-20|38.0|0|2.0|0|0.0|0
0|2020-04-21|38.0|0|2.0|0|0.0|0
0|2020-04-22|39.0|0|2.0|0|0.0|0
0|2020-04-23|43.0|0|2.0|0|0.0|0
0|2020-04-24|43.0|0|2.0|0|0.0|0
0|2020-04-25|46.0|0|2.0|0|0.0|0
0|2020-04-26|46.0|0|2.0|0|0.0|0
0|2020-04-27|47.0|0|2.0|0|0.0|0
0|2020-04-28|50.0|0|2.0|0|0.0|0
0|2020-04-29|50.0|0|2.0|0|0.0|0
0|2020-04-30|51.0|0|2.0|0|0.0|0
0|2020-05-01|52.0|0|2.0|0|0.0|0
0|2020-05-02|52.0|0|2.0|0|0.0|0
0|2020-05-03|52.0|0|2.0|0|0.0|0
0|2020-05-04|52.0|0|2.0|0|0.0|0
0|2020-05-05|53.0|0|3.0|0|0.0|0
0|2020-05-06|55.0|0|3.0|0|0.0|0
0|2020-05-07|55.0|0|3.0|0|0.0|0
0|2020-05-08|55.0|0|3.0|0|0.0|0
0|2020-05-09|55.0|0|3.0|0|0.0|0
0|2020-05-10|55.0|0|4.0|0|0.0|0
0|2020-05-11|55.0|0|4.0|0|0.0|0
0|2020-05-12|55.0|0|5.0|0|0.0|0
0|2020-05-13|56.0|0|5.0|0|0.0|0
