|dates|Ripley_Indiana_UnitedStates.JHU_ConfirmedCases.data|Ripley_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Ripley_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Ripley_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Ripley_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Ripley_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|6.0|0|0.0|0|0.0|0
0|2020-03-25|7.0|0|0.0|0|0.0|0
0|2020-03-26|11.0|0|0.0|0|0.0|0
0|2020-03-27|14.0|0|0.0|0|0.0|0
0|2020-03-28|15.0|0|0.0|0|0.0|0
0|2020-03-29|19.0|0|0.0|0|0.0|0
0|2020-03-30|25.0|0|0.0|0|0.0|0
0|2020-03-31|31.0|0|1.0|0|0.0|0
0|2020-04-01|33.0|0|1.0|0|0.0|0
0|2020-04-02|39.0|0|1.0|0|0.0|0
0|2020-04-03|47.0|0|1.0|0|0.0|0
0|2020-04-04|51.0|0|2.0|0|0.0|0
0|2020-04-05|60.0|0|2.0|0|0.0|0
0|2020-04-06|70.0|0|2.0|0|0.0|0
0|2020-04-07|76.0|0|2.0|0|0.0|0
0|2020-04-08|76.0|0|3.0|0|0.0|0
0|2020-04-09|77.0|0|3.0|0|0.0|0
0|2020-04-10|79.0|0|3.0|0|0.0|0
0|2020-04-11|81.0|0|3.0|0|0.0|0
0|2020-04-12|84.0|0|3.0|0|0.0|0
0|2020-04-13|86.0|0|3.0|0|0.0|0
0|2020-04-14|89.0|0|3.0|0|0.0|0
0|2020-04-15|88.0|0|3.0|0|0.0|0
0|2020-04-16|89.0|0|3.0|0|0.0|0
0|2020-04-17|77.0|0|3.0|0|0.0|0
0|2020-04-18|80.0|0|3.0|0|0.0|0
0|2020-04-19|82.0|0|3.0|0|0.0|0
0|2020-04-20|82.0|0|3.0|0|0.0|0
0|2020-04-21|83.0|0|3.0|0|0.0|0
0|2020-04-22|86.0|0|3.0|0|0.0|0
0|2020-04-23|87.0|0|5.0|0|0.0|0
0|2020-04-24|87.0|0|5.0|0|0.0|0
0|2020-04-25|89.0|0|5.0|0|0.0|0
0|2020-04-26|89.0|0|5.0|0|0.0|0
0|2020-04-27|90.0|0|5.0|0|0.0|0
0|2020-04-28|91.0|0|5.0|0|0.0|0
0|2020-04-29|92.0|0|5.0|0|0.0|0
0|2020-04-30|92.0|0|5.0|0|0.0|0
0|2020-05-01|93.0|0|5.0|0|0.0|0
0|2020-05-02|94.0|0|6.0|0|0.0|0
0|2020-05-03|94.0|0|6.0|0|0.0|0
0|2020-05-04|97.0|0|6.0|0|0.0|0
0|2020-05-05|98.0|0|6.0|0|0.0|0
0|2020-05-06|99.0|0|6.0|0|0.0|0
0|2020-05-07|98.0|0|6.0|0|0.0|0
0|2020-05-08|98.0|0|6.0|0|0.0|0
0|2020-05-09|98.0|0|6.0|0|0.0|0
0|2020-05-10|101.0|0|6.0|0|0.0|0
0|2020-05-11|101.0|0|6.0|0|0.0|0
0|2020-05-12|104.0|0|6.0|0|0.0|0
0|2020-05-13|105.0|0|6.0|0|0.0|0
