|dates|Broome_NewYork_UnitedStates.JHU_ConfirmedCases.data|Broome_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Broome_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Broome_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Broome_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Broome_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|1.0|0|0.0|0
0|2020-03-23|3.0|0|1.0|0|0.0|0
0|2020-03-24|9.0|0|1.0|0|0.0|0
0|2020-03-25|11.0|0|2.0|0|0.0|0
0|2020-03-26|16.0|0|2.0|0|0.0|0
0|2020-03-27|18.0|0|2.0|0|0.0|0
0|2020-03-28|23.0|0|3.0|0|0.0|0
0|2020-03-29|29.0|0|3.0|0|0.0|0
0|2020-03-30|35.0|0|3.0|0|0.0|0
0|2020-03-31|38.0|0|3.0|0|0.0|0
0|2020-04-01|42.0|0|3.0|0|0.0|0
0|2020-04-02|46.0|0|4.0|0|0.0|0
0|2020-04-03|56.0|0|4.0|0|0.0|0
0|2020-04-04|65.0|0|4.0|0|0.0|0
0|2020-04-05|71.0|0|5.0|0|0.0|0
0|2020-04-06|76.0|0|5.0|0|0.0|0
0|2020-04-07|86.0|0|6.0|0|0.0|0
0|2020-04-08|93.0|0|6.0|0|0.0|0
0|2020-04-09|105.0|0|6.0|0|0.0|0
0|2020-04-10|112.0|0|6.0|0|0.0|0
0|2020-04-11|117.0|0|6.0|0|0.0|0
0|2020-04-12|126.0|0|6.0|0|0.0|0
0|2020-04-13|133.0|0|8.0|0|0.0|0
0|2020-04-14|146.0|0|8.0|0|0.0|0
0|2020-04-15|153.0|0|8.0|0|0.0|0
0|2020-04-16|167.0|0|8.0|0|0.0|0
0|2020-04-17|178.0|0|8.0|0|0.0|0
0|2020-04-18|186.0|0|9.0|0|0.0|0
0|2020-04-19|192.0|0|10.0|0|0.0|0
0|2020-04-20|199.0|0|10.0|0|0.0|0
0|2020-04-21|205.0|0|11.0|0|0.0|0
0|2020-04-22|219.0|0|11.0|0|0.0|0
0|2020-04-23|224.0|0|15.0|0|0.0|0
0|2020-04-24|232.0|0|17.0|0|0.0|0
0|2020-04-25|251.0|0|17.0|0|0.0|0
0|2020-04-26|257.0|0|17.0|0|0.0|0
0|2020-04-27|261.0|0|19.0|0|0.0|0
0|2020-04-28|266.0|0|19.0|0|0.0|0
0|2020-04-29|273.0|0|21.0|0|0.0|0
0|2020-04-30|284.0|0|22.0|0|0.0|0
0|2020-05-01|299.0|0|22.0|0|0.0|0
0|2020-05-02|305.0|0|22.0|0|0.0|0
0|2020-05-03|327.0|0|22.0|0|0.0|0
0|2020-05-04|334.0|0|22.0|0|0.0|0
0|2020-05-05|338.0|0|22.0|0|0.0|0
0|2020-05-06|345.0|0|23.0|0|0.0|0
0|2020-05-07|360.0|0|23.0|0|0.0|0
0|2020-05-08|364.0|0|23.0|0|0.0|0
0|2020-05-09|372.0|0|23.0|0|0.0|0
0|2020-05-10|373.0|0|23.0|0|0.0|0
0|2020-05-11|373.0|0|23.0|0|0.0|0
0|2020-05-12|379.0|0|23.0|0|0.0|0
0|2020-05-13|382.0|0|28.0|0|0.0|0
