|dates|Iberville_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Iberville_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Iberville_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Iberville_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Iberville_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Iberville_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|10.0|0|0.0|0|0.0|0
0|2020-03-24|14.0|0|1.0|0|0.0|0
0|2020-03-25|14.0|0|1.0|0|0.0|0
0|2020-03-26|17.0|0|1.0|0|0.0|0
0|2020-03-27|20.0|0|1.0|0|0.0|0
0|2020-03-28|21.0|0|1.0|0|0.0|0
0|2020-03-29|22.0|0|1.0|0|0.0|0
0|2020-03-30|28.0|0|2.0|0|0.0|0
0|2020-03-31|35.0|0|3.0|0|0.0|0
0|2020-04-01|36.0|0|3.0|0|0.0|0
0|2020-04-02|69.0|0|4.0|0|0.0|0
0|2020-04-03|81.0|0|5.0|0|0.0|0
0|2020-04-04|119.0|0|5.0|0|0.0|0
0|2020-04-05|122.0|0|5.0|0|0.0|0
0|2020-04-06|136.0|0|6.0|0|0.0|0
0|2020-04-07|160.0|0|8.0|0|0.0|0
0|2020-04-08|171.0|0|9.0|0|0.0|0
0|2020-04-09|187.0|0|9.0|0|0.0|0
0|2020-04-10|198.0|0|10.0|0|0.0|0
0|2020-04-11|214.0|0|12.0|0|0.0|0
0|2020-04-12|232.0|0|14.0|0|0.0|0
0|2020-04-13|241.0|0|16.0|0|0.0|0
0|2020-04-14|253.0|0|17.0|0|0.0|0
0|2020-04-15|256.0|0|17.0|0|0.0|0
0|2020-04-16|258.0|0|18.0|0|0.0|0
0|2020-04-17|267.0|0|19.0|0|0.0|0
0|2020-04-18|270.0|0|21.0|0|0.0|0
0|2020-04-19|274.0|0|21.0|0|0.0|0
0|2020-04-20|282.0|0|21.0|0|0.0|0
0|2020-04-21|281.0|0|21.0|0|0.0|0
0|2020-04-22|297.0|0|22.0|0|0.0|0
0|2020-04-23|299.0|0|23.0|0|0.0|0
0|2020-04-24|339.0|0|25.0|0|0.0|0
0|2020-04-25|433.0|0|26.0|0|0.0|0
0|2020-04-26|433.0|0|26.0|0|0.0|0
0|2020-04-27|442.0|0|26.0|0|0.0|0
0|2020-04-28|443.0|0|27.0|0|0.0|0
0|2020-04-29|448.0|0|29.0|0|0.0|0
0|2020-04-30|450.0|0|30.0|0|0.0|0
0|2020-05-01|459.0|0|30.0|0|0.0|0
0|2020-05-02|472.0|0|32.0|0|0.0|0
0|2020-05-03|476.0|0|32.0|0|0.0|0
0|2020-05-04|482.0|0|32.0|0|0.0|0
0|2020-05-05|484.0|0|32.0|0|0.0|0
0|2020-05-06|489.0|0|32.0|0|0.0|0
0|2020-05-07|492.0|0|33.0|0|0.0|0
0|2020-05-08|493.0|0|35.0|0|0.0|0
0|2020-05-09|495.0|0|36.0|0|0.0|0
0|2020-05-10|499.0|0|36.0|0|0.0|0
0|2020-05-11|499.0|0|36.0|0|0.0|0
0|2020-05-12|504.0|0|37.0|0|0.0|0
0|2020-05-13|507.0|0|38.0|0|0.0|0
