|dates|Leavenworth_Kansas_UnitedStates.JHU_ConfirmedCases.data|Leavenworth_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Leavenworth_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Leavenworth_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Leavenworth_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Leavenworth_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|4.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|0.0|0|0.0|0
0|2020-03-24|7.0|0|0.0|0|0.0|0
0|2020-03-25|11.0|0|0.0|0|0.0|0
0|2020-03-26|12.0|0|0.0|0|0.0|0
0|2020-03-27|12.0|0|0.0|0|0.0|0
0|2020-03-28|15.0|0|0.0|0|0.0|0
0|2020-03-29|17.0|0|0.0|0|0.0|0
0|2020-03-30|20.0|0|0.0|0|0.0|0
0|2020-03-31|24.0|0|0.0|0|0.0|0
0|2020-04-01|25.0|0|0.0|0|0.0|0
0|2020-04-02|27.0|0|0.0|0|0.0|0
0|2020-04-03|31.0|0|0.0|0|0.0|0
0|2020-04-04|33.0|0|0.0|0|0.0|0
0|2020-04-05|36.0|0|0.0|0|0.0|0
0|2020-04-06|40.0|0|0.0|0|0.0|0
0|2020-04-07|43.0|0|1.0|0|0.0|0
0|2020-04-08|59.0|0|1.0|0|0.0|0
0|2020-04-09|61.0|0|1.0|0|0.0|0
0|2020-04-10|61.0|0|1.0|0|0.0|0
0|2020-04-11|75.0|0|1.0|0|0.0|0
0|2020-04-12|85.0|0|1.0|0|0.0|0
0|2020-04-13|90.0|0|1.0|0|0.0|0
0|2020-04-14|95.0|0|1.0|0|0.0|0
0|2020-04-15|95.0|0|1.0|0|0.0|0
0|2020-04-16|115.0|0|1.0|0|0.0|0
0|2020-04-17|115.0|0|1.0|0|0.0|0
0|2020-04-18|123.0|0|2.0|0|0.0|0
0|2020-04-19|128.0|0|2.0|0|0.0|0
0|2020-04-20|135.0|0|3.0|0|0.0|0
0|2020-04-21|136.0|0|3.0|0|0.0|0
0|2020-04-22|150.0|0|3.0|0|0.0|0
0|2020-04-23|154.0|0|3.0|0|0.0|0
0|2020-04-24|154.0|0|3.0|0|0.0|0
0|2020-04-25|169.0|0|3.0|0|0.0|0
0|2020-04-26|177.0|0|3.0|0|0.0|0
0|2020-04-27|184.0|0|4.0|0|0.0|0
0|2020-04-28|187.0|0|4.0|0|0.0|0
0|2020-04-29|197.0|0|4.0|0|0.0|0
0|2020-04-30|356.0|0|4.0|0|0.0|0
0|2020-05-01|372.0|0|5.0|0|0.0|0
0|2020-05-02|386.0|0|5.0|0|0.0|0
0|2020-05-03|498.0|0|5.0|0|0.0|0
0|2020-05-04|529.0|0|6.0|0|0.0|0
0|2020-05-05|602.0|0|6.0|0|0.0|0
0|2020-05-06|783.0|0|6.0|0|0.0|0
0|2020-05-07|885.0|0|6.0|0|0.0|0
0|2020-05-08|906.0|0|6.0|0|0.0|0
0|2020-05-09|908.0|0|6.0|0|0.0|0
0|2020-05-10|918.0|0|6.0|0|0.0|0
0|2020-05-11|918.0|0|6.0|0|0.0|0
0|2020-05-12|938.0|0|6.0|0|0.0|0
0|2020-05-13|950.0|0|6.0|0|0.0|0
