|dates|Isabella_Michigan_UnitedStates.JHU_ConfirmedCases.data|Isabella_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Isabella_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Isabella_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Isabella_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Isabella_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|4.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|4.0|0|1.0|0|0.0|0
0|2020-03-30|5.0|0|1.0|0|0.0|0
0|2020-03-31|6.0|0|1.0|0|0.0|0
0|2020-04-01|7.0|0|1.0|0|0.0|0
0|2020-04-02|8.0|0|1.0|0|0.0|0
0|2020-04-03|9.0|0|2.0|0|0.0|0
0|2020-04-04|10.0|0|2.0|0|0.0|0
0|2020-04-05|12.0|0|2.0|0|0.0|0
0|2020-04-06|16.0|0|2.0|0|0.0|0
0|2020-04-07|22.0|0|2.0|0|0.0|0
0|2020-04-08|22.0|0|2.0|0|0.0|0
0|2020-04-09|28.0|0|2.0|0|0.0|0
0|2020-04-10|37.0|0|2.0|0|0.0|0
0|2020-04-11|38.0|0|3.0|0|0.0|0
0|2020-04-12|39.0|0|3.0|0|0.0|0
0|2020-04-13|41.0|0|4.0|0|0.0|0
0|2020-04-14|42.0|0|4.0|0|0.0|0
0|2020-04-15|43.0|0|4.0|0|0.0|0
0|2020-04-16|45.0|0|5.0|0|0.0|0
0|2020-04-17|46.0|0|6.0|0|0.0|0
0|2020-04-18|51.0|0|7.0|0|0.0|0
0|2020-04-19|52.0|0|7.0|0|0.0|0
0|2020-04-20|52.0|0|7.0|0|0.0|0
0|2020-04-21|53.0|0|7.0|0|0.0|0
0|2020-04-22|54.0|0|7.0|0|0.0|0
0|2020-04-23|54.0|0|7.0|0|0.0|0
0|2020-04-24|55.0|0|7.0|0|0.0|0
0|2020-04-25|55.0|0|7.0|0|0.0|0
0|2020-04-26|55.0|0|7.0|0|0.0|0
0|2020-04-27|57.0|0|7.0|0|0.0|0
0|2020-04-28|59.0|0|7.0|0|0.0|0
0|2020-04-29|60.0|0|7.0|0|0.0|0
0|2020-04-30|61.0|0|7.0|0|0.0|0
0|2020-05-01|60.0|0|7.0|0|0.0|0
0|2020-05-02|61.0|0|7.0|0|0.0|0
0|2020-05-03|61.0|0|7.0|0|0.0|0
0|2020-05-04|61.0|0|7.0|0|0.0|0
0|2020-05-05|61.0|0|7.0|0|0.0|0
0|2020-05-06|61.0|0|7.0|0|0.0|0
0|2020-05-07|61.0|0|7.0|0|0.0|0
0|2020-05-08|61.0|0|7.0|0|0.0|0
0|2020-05-09|61.0|0|7.0|0|0.0|0
0|2020-05-10|62.0|0|7.0|0|0.0|0
0|2020-05-11|62.0|0|7.0|0|0.0|0
0|2020-05-12|61.0|0|7.0|0|0.0|0
0|2020-05-13|61.0|0|7.0|0|0.0|0
