|dates|Mohave_Arizona_UnitedStates.JHU_ConfirmedCases.data|Mohave_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Mohave_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Mohave_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Mohave_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Mohave_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|2.0|0|0.0|0|0.0|0
0|2020-03-27|4.0|0|0.0|0|0.0|0
0|2020-03-28|5.0|0|0.0|0|0.0|0
0|2020-03-29|6.0|0|0.0|0|0.0|0
0|2020-03-30|7.0|0|0.0|0|0.0|0
0|2020-03-31|7.0|0|0.0|0|0.0|0
0|2020-04-01|7.0|0|0.0|0|0.0|0
0|2020-04-02|8.0|0|0.0|0|0.0|0
0|2020-04-03|9.0|0|0.0|0|0.0|0
0|2020-04-04|12.0|0|0.0|0|0.0|0
0|2020-04-05|16.0|0|0.0|0|0.0|0
0|2020-04-06|20.0|0|0.0|0|0.0|0
0|2020-04-07|23.0|0|0.0|0|0.0|0
0|2020-04-08|23.0|0|0.0|0|0.0|0
0|2020-04-09|27.0|0|0.0|0|0.0|0
0|2020-04-10|28.0|0|0.0|0|0.0|0
0|2020-04-11|30.0|0|0.0|0|0.0|0
0|2020-04-12|30.0|0|0.0|0|0.0|0
0|2020-04-13|40.0|0|0.0|0|0.0|0
0|2020-04-14|45.0|0|0.0|0|0.0|0
0|2020-04-15|45.0|0|0.0|0|0.0|0
0|2020-04-16|51.0|0|0.0|0|0.0|0
0|2020-04-17|51.0|0|0.0|0|0.0|0
0|2020-04-18|52.0|0|1.0|0|0.0|0
0|2020-04-19|54.0|0|1.0|0|0.0|0
0|2020-04-20|56.0|0|1.0|0|0.0|0
0|2020-04-21|59.0|0|3.0|0|0.0|0
0|2020-04-22|62.0|0|3.0|0|0.0|0
0|2020-04-23|69.0|0|3.0|0|0.0|0
0|2020-04-24|73.0|0|3.0|0|0.0|0
0|2020-04-25|81.0|0|3.0|0|0.0|0
0|2020-04-26|88.0|0|4.0|0|0.0|0
0|2020-04-27|96.0|0|4.0|0|0.0|0
0|2020-04-28|99.0|0|4.0|0|0.0|0
0|2020-04-29|105.0|0|7.0|0|0.0|0
0|2020-04-30|117.0|0|10.0|0|0.0|0
0|2020-05-01|122.0|0|13.0|0|0.0|0
0|2020-05-02|127.0|0|13.0|0|0.0|0
0|2020-05-03|135.0|0|13.0|0|0.0|0
0|2020-05-04|141.0|0|13.0|0|0.0|0
0|2020-05-05|147.0|0|16.0|0|0.0|0
0|2020-05-06|150.0|0|17.0|0|0.0|0
0|2020-05-07|158.0|0|19.0|0|0.0|0
0|2020-05-08|171.0|0|20.0|0|0.0|0
0|2020-05-09|178.0|0|23.0|0|0.0|0
0|2020-05-10|193.0|0|24.0|0|0.0|0
0|2020-05-11|193.0|0|24.0|0|0.0|0
0|2020-05-12|207.0|0|26.0|0|0.0|0
0|2020-05-13|213.0|0|26.0|0|0.0|0
