|dates|KansasCity_Missouri_UnitedStates.JHU_ConfirmedCases.data|KansasCity_Missouri_UnitedStates.JHU_ConfirmedCases.missing|KansasCity_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|KansasCity_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|KansasCity_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|KansasCity_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|6.0|0|0.0|0|0.0|0
0|2020-03-20|12.0|0|0.0|0|0.0|0
0|2020-03-21|12.0|0|0.0|0|0.0|0
0|2020-03-22|12.0|0|0.0|0|0.0|0
0|2020-03-23|17.0|0|0.0|0|0.0|0
0|2020-03-24|21.0|0|0.0|0|0.0|0
0|2020-03-25|43.0|0|0.0|0|0.0|0
0|2020-03-26|64.0|0|0.0|0|0.0|0
0|2020-03-27|78.0|0|0.0|0|0.0|0
0|2020-03-28|94.0|0|0.0|0|0.0|0
0|2020-03-29|102.0|0|0.0|0|0.0|0
0|2020-03-30|100.0|0|0.0|0|0.0|0
0|2020-03-31|119.0|0|0.0|0|0.0|0
0|2020-04-01|128.0|0|0.0|0|0.0|0
0|2020-04-02|139.0|0|0.0|0|0.0|0
0|2020-04-03|139.0|0|2.0|0|0.0|0
0|2020-04-04|172.0|0|2.0|0|0.0|0
0|2020-04-05|172.0|0|2.0|0|0.0|0
0|2020-04-06|212.0|0|0.0|0|0.0|0
0|2020-04-07|234.0|0|5.0|0|0.0|0
0|2020-04-08|234.0|0|7.0|0|0.0|0
0|2020-04-09|249.0|0|7.0|0|0.0|0
0|2020-04-10|300.0|0|8.0|0|0.0|0
0|2020-04-11|300.0|0|8.0|0|0.0|0
0|2020-04-12|308.0|0|8.0|0|0.0|0
0|2020-04-13|329.0|0|8.0|0|0.0|0
0|2020-04-14|346.0|0|12.0|0|0.0|0
0|2020-04-15|351.0|0|12.0|0|0.0|0
0|2020-04-16|386.0|0|12.0|0|0.0|0
0|2020-04-17|401.0|0|13.0|0|0.0|0
0|2020-04-18|412.0|0|13.0|0|0.0|0
0|2020-04-19|418.0|0|13.0|0|0.0|0
0|2020-04-20|420.0|0|13.0|0|0.0|0
0|2020-04-21|438.0|0|13.0|0|0.0|0
0|2020-04-22|448.0|0|13.0|0|0.0|0
0|2020-04-23|461.0|0|14.0|0|0.0|0
0|2020-04-24|475.0|0|15.0|0|0.0|0
0|2020-04-25|486.0|0|15.0|0|0.0|0
0|2020-04-26|493.0|0|15.0|0|0.0|0
0|2020-04-27|500.0|0|15.0|0|0.0|0
0|2020-04-28|511.0|0|16.0|0|0.0|0
0|2020-04-29|520.0|0|16.0|0|0.0|0
0|2020-04-30|545.0|0|16.0|0|0.0|0
0|2020-05-01|578.0|0|16.0|0|0.0|0
0|2020-05-02|597.0|0|16.0|0|0.0|0
0|2020-05-03|609.0|0|16.0|0|0.0|0
0|2020-05-04|659.0|0|16.0|0|0.0|0
0|2020-05-05|683.0|0|16.0|0|0.0|0
0|2020-05-06|706.0|0|16.0|0|0.0|0
0|2020-05-07|723.0|0|16.0|0|0.0|0
0|2020-05-08|739.0|0|16.0|0|0.0|0
0|2020-05-09|752.0|0|16.0|0|0.0|0
0|2020-05-10|767.0|0|16.0|0|0.0|0
0|2020-05-11|767.0|0|16.0|0|0.0|0
0|2020-05-12|791.0|0|16.0|0|0.0|0
0|2020-05-13|808.0|0|16.0|0|0.0|0
