|dates|Jefferson_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|4.0|0|0.0|0|0.0|0
0|2020-03-15|4.0|0|0.0|0|0.0|0
0|2020-03-16|6.0|0|0.0|0|0.0|0
0|2020-03-17|7.0|0|0.0|0|0.0|0
0|2020-03-18|8.0|0|0.0|0|0.0|0
0|2020-03-19|8.0|0|1.0|0|0.0|0
0|2020-03-20|25.0|0|1.0|0|0.0|0
0|2020-03-21|25.0|0|1.0|0|0.0|0
0|2020-03-22|25.0|0|1.0|0|0.0|0
0|2020-03-23|33.0|0|1.0|0|0.0|0
0|2020-03-24|33.0|0|1.0|0|0.0|0
0|2020-03-25|35.0|0|2.0|0|0.0|0
0|2020-03-26|35.0|0|2.0|0|0.0|0
0|2020-03-27|35.0|0|2.0|0|0.0|0
0|2020-03-28|103.0|0|3.0|0|0.0|0
0|2020-03-29|97.0|0|3.0|0|0.0|0
0|2020-03-30|116.0|0|3.0|0|0.0|0
0|2020-03-31|206.0|0|3.0|0|0.0|0
0|2020-04-01|206.0|0|7.0|0|0.0|0
0|2020-04-02|228.0|0|7.0|0|0.0|0
0|2020-04-03|228.0|0|11.0|0|0.0|0
0|2020-04-04|299.0|0|11.0|0|0.0|0
0|2020-04-05|304.0|0|17.0|0|0.0|0
0|2020-04-06|304.0|0|17.0|0|0.0|0
0|2020-04-07|319.0|0|22.0|0|0.0|0
0|2020-04-08|319.0|0|22.0|0|0.0|0
0|2020-04-09|380.0|0|26.0|0|0.0|0
0|2020-04-10|380.0|0|26.0|0|0.0|0
0|2020-04-11|380.0|0|26.0|0|0.0|0
0|2020-04-12|495.0|0|26.0|0|0.0|0
0|2020-04-13|550.0|0|42.0|0|0.0|0
0|2020-04-14|531.0|0|46.0|0|0.0|0
0|2020-04-15|573.0|0|46.0|0|0.0|0
0|2020-04-16|600.0|0|56.0|0|0.0|0
0|2020-04-17|599.0|0|60.0|0|0.0|0
0|2020-04-18|689.0|0|60.0|0|0.0|0
0|2020-04-19|814.0|0|60.0|0|0.0|0
0|2020-04-20|867.0|0|67.0|0|0.0|0
0|2020-04-21|925.0|0|70.0|0|0.0|0
0|2020-04-22|954.0|0|76.0|0|0.0|0
0|2020-04-23|1008.0|0|78.0|0|0.0|0
0|2020-04-24|1121.0|0|78.0|0|0.0|0
0|2020-04-25|1121.0|0|81.0|0|0.0|0
0|2020-04-26|1120.0|0|81.0|0|0.0|0
0|2020-04-27|1140.0|0|83.0|0|0.0|0
0|2020-04-28|1224.0|0|85.0|0|0.0|0
0|2020-04-29|1281.0|0|90.0|0|0.0|0
0|2020-04-30|1307.0|0|91.0|0|0.0|0
0|2020-05-01|1352.0|0|93.0|0|0.0|0
0|2020-05-02|1352.0|0|93.0|0|0.0|0
0|2020-05-03|1403.0|0|95.0|0|0.0|0
0|2020-05-04|1419.0|0|101.0|0|0.0|0
0|2020-05-05|1497.0|0|105.0|0|0.0|0
0|2020-05-06|1535.0|0|106.0|0|0.0|0
0|2020-05-07|1578.0|0|107.0|0|0.0|0
0|2020-05-08|1610.0|0|108.0|0|0.0|0
0|2020-05-09|1642.0|0|109.0|0|0.0|0
0|2020-05-10|1642.0|0|109.0|0|0.0|0
0|2020-05-11|1642.0|0|109.0|0|0.0|0
0|2020-05-12|1713.0|0|115.0|0|0.0|0
0|2020-05-13|1713.0|0|115.0|0|0.0|0
