|dates|Morgan_Colorado_UnitedStates.JHU_ConfirmedCases.data|Morgan_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Morgan_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Morgan_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Morgan_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Morgan_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|3.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|5.0|0|0.0|0|0.0|0
0|2020-03-30|5.0|0|0.0|0|0.0|0
0|2020-03-31|4.0|0|0.0|0|0.0|0
0|2020-04-01|4.0|0|0.0|0|0.0|0
0|2020-04-02|5.0|0|0.0|0|0.0|0
0|2020-04-03|7.0|0|0.0|0|0.0|0
0|2020-04-04|7.0|0|0.0|0|0.0|0
0|2020-04-05|17.0|0|0.0|0|0.0|0
0|2020-04-06|19.0|0|0.0|0|0.0|0
0|2020-04-07|23.0|0|0.0|0|0.0|0
0|2020-04-08|23.0|0|0.0|0|0.0|0
0|2020-04-09|23.0|0|0.0|0|0.0|0
0|2020-04-10|44.0|0|0.0|0|0.0|0
0|2020-04-11|51.0|0|0.0|0|0.0|0
0|2020-04-12|59.0|0|0.0|0|0.0|0
0|2020-04-13|75.0|0|0.0|0|0.0|0
0|2020-04-14|89.0|0|0.0|0|0.0|0
0|2020-04-15|89.0|0|0.0|0|0.0|0
0|2020-04-16|103.0|0|0.0|0|0.0|0
0|2020-04-17|122.0|0|0.0|0|0.0|0
0|2020-04-18|135.0|0|2.0|0|0.0|0
0|2020-04-19|157.0|0|2.0|0|0.0|0
0|2020-04-20|157.0|0|2.0|0|0.0|0
0|2020-04-21|180.0|0|4.0|0|0.0|0
0|2020-04-22|202.0|0|4.0|0|0.0|0
0|2020-04-23|214.0|0|8.0|0|0.0|0
0|2020-04-24|232.0|0|8.0|0|0.0|0
0|2020-04-25|249.0|0|11.0|0|0.0|0
0|2020-04-26|259.0|0|13.0|0|0.0|0
0|2020-04-27|298.0|0|15.0|0|0.0|0
0|2020-04-28|344.0|0|16.0|0|0.0|0
0|2020-04-29|358.0|0|16.0|0|0.0|0
0|2020-04-30|372.0|0|16.0|0|0.0|0
0|2020-05-01|384.0|0|17.0|0|0.0|0
0|2020-05-02|395.0|0|20.0|0|0.0|0
0|2020-05-03|399.0|0|20.0|0|0.0|0
0|2020-05-04|413.0|0|20.0|0|0.0|0
0|2020-05-05|422.0|0|21.0|0|0.0|0
0|2020-05-06|439.0|0|21.0|0|0.0|0
0|2020-05-07|448.0|0|22.0|0|0.0|0
0|2020-05-08|463.0|0|22.0|0|0.0|0
0|2020-05-09|485.0|0|22.0|0|0.0|0
0|2020-05-10|508.0|0|22.0|0|0.0|0
0|2020-05-11|508.0|0|22.0|0|0.0|0
0|2020-05-12|521.0|0|22.0|0|0.0|0
0|2020-05-13|527.0|0|24.0|0|0.0|0
