|dates|Yakima_Washington_UnitedStates.JHU_ConfirmedCases.data|Yakima_Washington_UnitedStates.JHU_ConfirmedCases.missing|Yakima_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Yakima_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Yakima_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Yakima_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|4.0|0|0.0|0|0.0|0
0|2020-03-15|4.0|0|0.0|0|0.0|0
0|2020-03-16|4.0|0|0.0|0|0.0|0
0|2020-03-17|5.0|0|0.0|0|0.0|0
0|2020-03-18|7.0|0|0.0|0|0.0|0
0|2020-03-19|7.0|0|0.0|0|0.0|0
0|2020-03-20|10.0|0|0.0|0|0.0|0
0|2020-03-21|13.0|0|0.0|0|0.0|0
0|2020-03-22|16.0|0|0.0|0|0.0|0
0|2020-03-23|16.0|0|0.0|0|0.0|0
0|2020-03-24|25.0|0|0.0|0|0.0|0
0|2020-03-25|47.0|0|1.0|0|0.0|0
0|2020-03-26|61.0|0|2.0|0|0.0|0
0|2020-03-27|66.0|0|2.0|0|0.0|0
0|2020-03-28|82.0|0|2.0|0|0.0|0
0|2020-03-29|140.0|0|2.0|0|0.0|0
0|2020-03-30|147.0|0|3.0|0|0.0|0
0|2020-03-31|161.0|0|3.0|0|0.0|0
0|2020-04-01|161.0|0|3.0|0|0.0|0
0|2020-04-02|224.0|0|6.0|0|0.0|0
0|2020-04-03|240.0|0|6.0|0|0.0|0
0|2020-04-04|289.0|0|7.0|0|0.0|0
0|2020-04-05|326.0|0|9.0|0|0.0|0
0|2020-04-06|363.0|0|12.0|0|0.0|0
0|2020-04-07|380.0|0|12.0|0|0.0|0
0|2020-04-08|400.0|0|17.0|0|0.0|0
0|2020-04-09|433.0|0|18.0|0|0.0|0
0|2020-04-10|447.0|0|19.0|0|0.0|0
0|2020-04-11|511.0|0|20.0|0|0.0|0
0|2020-04-12|535.0|0|21.0|0|0.0|0
0|2020-04-13|538.0|0|21.0|0|0.0|0
0|2020-04-14|614.0|0|25.0|0|0.0|0
0|2020-04-15|635.0|0|29.0|0|0.0|0
0|2020-04-16|674.0|0|29.0|0|0.0|0
0|2020-04-17|707.0|0|29.0|0|0.0|0
0|2020-04-18|759.0|0|34.0|0|0.0|0
0|2020-04-19|804.0|0|36.0|0|0.0|0
0|2020-04-20|835.0|0|36.0|0|0.0|0
0|2020-04-21|868.0|0|38.0|0|0.0|0
0|2020-04-22|886.0|0|38.0|0|0.0|0
0|2020-04-23|879.0|0|41.0|0|0.0|0
0|2020-04-24|923.0|0|43.0|0|0.0|0
0|2020-04-25|976.0|0|44.0|0|0.0|0
0|2020-04-26|1015.0|0|44.0|0|0.0|0
0|2020-04-27|1034.0|0|45.0|0|0.0|0
0|2020-04-28|1046.0|0|45.0|0|0.0|0
0|2020-04-29|1082.0|0|47.0|0|0.0|0
0|2020-04-30|1128.0|0|47.0|0|0.0|0
0|2020-05-01|1203.0|0|47.0|0|0.0|0
0|2020-05-02|1272.0|0|47.0|0|0.0|0
0|2020-05-03|1296.0|0|47.0|0|0.0|0
0|2020-05-04|1372.0|0|48.0|0|0.0|0
0|2020-05-05|1389.0|0|52.0|0|0.0|0
0|2020-05-06|1449.0|0|52.0|0|0.0|0
0|2020-05-07|1547.0|0|57.0|0|0.0|0
0|2020-05-08|1579.0|0|58.0|0|0.0|0
0|2020-05-09|1686.0|0|59.0|0|0.0|0
0|2020-05-10|1781.0|0|59.0|0|0.0|0
0|2020-05-11|1781.0|0|59.0|0|0.0|0
0|2020-05-12|1916.0|0|65.0|0|0.0|0
0|2020-05-13|1946.0|0|68.0|0|0.0|0
