|dates|RoanokeCity_Virginia_UnitedStates.JHU_ConfirmedCases.data|RoanokeCity_Virginia_UnitedStates.JHU_ConfirmedCases.missing|RoanokeCity_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|RoanokeCity_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|RoanokeCity_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|RoanokeCity_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|1.0|0|0.0|0|0.0|0
0|2020-03-28|0.0|0|0.0|0|0.0|0
0|2020-03-29|2.0|0|0.0|0|0.0|0
0|2020-03-30|6.0|0|0.0|0|0.0|0
0|2020-03-31|6.0|0|0.0|0|0.0|0
0|2020-04-01|6.0|0|0.0|0|0.0|0
0|2020-04-02|9.0|0|0.0|0|0.0|0
0|2020-04-03|4.0|0|0.0|0|0.0|0
0|2020-04-04|10.0|0|0.0|0|0.0|0
0|2020-04-05|10.0|0|0.0|0|0.0|0
0|2020-04-06|11.0|0|0.0|0|0.0|0
0|2020-04-07|12.0|0|0.0|0|0.0|0
0|2020-04-08|14.0|0|0.0|0|0.0|0
0|2020-04-09|15.0|0|0.0|0|0.0|0
0|2020-04-10|16.0|0|0.0|0|0.0|0
0|2020-04-11|17.0|0|0.0|0|0.0|0
0|2020-04-12|20.0|0|0.0|0|0.0|0
0|2020-04-13|21.0|0|0.0|0|0.0|0
0|2020-04-14|21.0|0|0.0|0|0.0|0
0|2020-04-15|22.0|0|0.0|0|0.0|0
0|2020-04-16|24.0|0|0.0|0|0.0|0
0|2020-04-17|24.0|0|0.0|0|0.0|0
0|2020-04-18|24.0|0|0.0|0|0.0|0
0|2020-04-19|24.0|0|0.0|0|0.0|0
0|2020-04-20|24.0|0|0.0|0|0.0|0
0|2020-04-21|25.0|0|0.0|0|0.0|0
0|2020-04-22|27.0|0|0.0|0|0.0|0
0|2020-04-23|28.0|0|0.0|0|0.0|0
0|2020-04-24|33.0|0|0.0|0|0.0|0
0|2020-04-25|33.0|0|0.0|0|0.0|0
0|2020-04-26|33.0|0|0.0|0|0.0|0
0|2020-04-27|33.0|0|0.0|0|0.0|0
0|2020-04-28|35.0|0|0.0|0|0.0|0
0|2020-04-29|57.0|0|0.0|0|0.0|0
0|2020-04-30|73.0|0|0.0|0|0.0|0
0|2020-05-01|80.0|0|0.0|0|0.0|0
0|2020-05-02|80.0|0|0.0|0|0.0|0
0|2020-05-03|81.0|0|0.0|0|0.0|0
0|2020-05-04|81.0|0|0.0|0|0.0|0
0|2020-05-05|82.0|0|0.0|0|0.0|0
0|2020-05-06|82.0|0|0.0|0|0.0|0
0|2020-05-07|88.0|0|1.0|0|0.0|0
0|2020-05-08|91.0|0|1.0|0|0.0|0
0|2020-05-09|93.0|0|1.0|0|0.0|0
0|2020-05-10|93.0|0|1.0|0|0.0|0
0|2020-05-11|93.0|0|1.0|0|0.0|0
0|2020-05-12|108.0|0|1.0|0|0.0|0
0|2020-05-13|116.0|0|1.0|0|0.0|0
