|dates|Calcasieu_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Calcasieu_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Calcasieu_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Calcasieu_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Calcasieu_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Calcasieu_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|4.0|0|0.0|0|0.0|0
0|2020-03-24|5.0|0|1.0|0|0.0|0
0|2020-03-25|11.0|0|1.0|0|0.0|0
0|2020-03-26|15.0|0|1.0|0|0.0|0
0|2020-03-27|22.0|0|1.0|0|0.0|0
0|2020-03-28|28.0|0|1.0|0|0.0|0
0|2020-03-29|35.0|0|1.0|0|0.0|0
0|2020-03-30|42.0|0|1.0|0|0.0|0
0|2020-03-31|65.0|0|1.0|0|0.0|0
0|2020-04-01|90.0|0|1.0|0|0.0|0
0|2020-04-02|108.0|0|1.0|0|0.0|0
0|2020-04-03|119.0|0|1.0|0|0.0|0
0|2020-04-04|135.0|0|3.0|0|0.0|0
0|2020-04-05|139.0|0|3.0|0|0.0|0
0|2020-04-06|159.0|0|3.0|0|0.0|0
0|2020-04-07|186.0|0|3.0|0|0.0|0
0|2020-04-08|191.0|0|4.0|0|0.0|0
0|2020-04-09|209.0|0|4.0|0|0.0|0
0|2020-04-10|228.0|0|5.0|0|0.0|0
0|2020-04-11|248.0|0|8.0|0|0.0|0
0|2020-04-12|259.0|0|12.0|0|0.0|0
0|2020-04-13|268.0|0|13.0|0|0.0|0
0|2020-04-14|273.0|0|14.0|0|0.0|0
0|2020-04-15|282.0|0|15.0|0|0.0|0
0|2020-04-16|300.0|0|15.0|0|0.0|0
0|2020-04-17|309.0|0|16.0|0|0.0|0
0|2020-04-18|309.0|0|18.0|0|0.0|0
0|2020-04-19|323.0|0|19.0|0|0.0|0
0|2020-04-20|324.0|0|19.0|0|0.0|0
0|2020-04-21|334.0|0|20.0|0|0.0|0
0|2020-04-22|341.0|0|23.0|0|0.0|0
0|2020-04-23|352.0|0|24.0|0|0.0|0
0|2020-04-24|356.0|0|26.0|0|0.0|0
0|2020-04-25|360.0|0|26.0|0|0.0|0
0|2020-04-26|363.0|0|27.0|0|0.0|0
0|2020-04-27|369.0|0|27.0|0|0.0|0
0|2020-04-28|377.0|0|28.0|0|0.0|0
0|2020-04-29|386.0|0|29.0|0|0.0|0
0|2020-04-30|389.0|0|29.0|0|0.0|0
0|2020-05-01|437.0|0|29.0|0|0.0|0
0|2020-05-02|449.0|0|31.0|0|0.0|0
0|2020-05-03|455.0|0|31.0|0|0.0|0
0|2020-05-04|464.0|0|31.0|0|0.0|0
0|2020-05-05|470.0|0|34.0|0|0.0|0
0|2020-05-06|475.0|0|35.0|0|0.0|0
0|2020-05-07|478.0|0|37.0|0|0.0|0
0|2020-05-08|481.0|0|38.0|0|0.0|0
0|2020-05-09|490.0|0|37.0|0|0.0|0
0|2020-05-10|493.0|0|37.0|0|0.0|0
0|2020-05-11|493.0|0|37.0|0|0.0|0
0|2020-05-12|496.0|0|40.0|0|0.0|0
0|2020-05-13|505.0|0|40.0|0|0.0|0
