|dates|Orange_NewYork_UnitedStates.JHU_ConfirmedCases.data|Orange_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Orange_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Orange_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Orange_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Orange_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|6.0|0|0.0|0|0.0|0
0|2020-03-15|6.0|0|0.0|0|0.0|0
0|2020-03-16|11.0|0|0.0|0|0.0|0
0|2020-03-17|15.0|0|0.0|0|0.0|0
0|2020-03-18|32.0|0|0.0|0|0.0|0
0|2020-03-19|51.0|0|0.0|0|0.0|0
0|2020-03-20|84.0|0|0.0|0|0.0|0
0|2020-03-21|163.0|0|0.0|0|0.0|0
0|2020-03-22|247.0|0|0.0|0|0.0|0
0|2020-03-23|389.0|0|0.0|0|0.0|0
0|2020-03-24|498.0|0|0.0|0|0.0|0
0|2020-03-25|638.0|0|1.0|0|0.0|0
0|2020-03-26|751.0|0|1.0|0|0.0|0
0|2020-03-27|910.0|0|1.0|0|0.0|0
0|2020-03-28|1101.0|0|4.0|0|0.0|0
0|2020-03-29|1247.0|0|5.0|0|0.0|0
0|2020-03-30|1435.0|0|5.0|0|0.0|0
0|2020-03-31|1556.0|0|5.0|0|0.0|0
0|2020-04-01|1756.0|0|19.0|0|0.0|0
0|2020-04-02|1993.0|0|19.0|0|0.0|0
0|2020-04-03|2397.0|0|30.0|0|0.0|0
0|2020-04-04|2741.0|0|40.0|0|0.0|0
0|2020-04-05|3187.0|0|53.0|0|0.0|0
0|2020-04-06|3533.0|0|76.0|0|0.0|0
0|2020-04-07|3829.0|0|93.0|0|0.0|0
0|2020-04-08|4075.0|0|107.0|0|0.0|0
0|2020-04-09|4309.0|0|115.0|0|0.0|0
0|2020-04-10|4532.0|0|115.0|0|0.0|0
0|2020-04-11|4847.0|0|132.0|0|0.0|0
0|2020-04-12|5027.0|0|145.0|0|0.0|0
0|2020-04-13|5598.0|0|171.0|0|0.0|0
0|2020-04-14|5830.0|0|178.0|0|0.0|0
0|2020-04-15|5830.0|0|178.0|0|0.0|0
0|2020-04-16|6266.0|0|204.0|0|0.0|0
0|2020-04-17|6514.0|0|204.0|0|0.0|0
0|2020-04-18|6514.0|0|211.0|0|0.0|0
0|2020-04-19|6514.0|0|211.0|0|0.0|0
0|2020-04-20|6514.0|0|211.0|0|0.0|0
0|2020-04-21|7029.0|0|231.0|0|0.0|0
0|2020-04-22|7152.0|0|244.0|0|0.0|0
0|2020-04-23|6816.0|0|268.0|0|0.0|0
0|2020-04-24|7155.0|0|274.0|0|0.0|0
0|2020-04-25|7973.0|0|274.0|0|0.0|0
0|2020-04-26|8106.0|0|274.0|0|0.0|0
0|2020-04-27|8238.0|0|299.0|0|0.0|0
0|2020-04-28|8374.0|0|299.0|0|0.0|0
0|2020-04-29|8488.0|0|311.0|0|0.0|0
0|2020-04-30|8650.0|0|320.0|0|0.0|0
0|2020-05-01|8751.0|0|329.0|0|0.0|0
0|2020-05-02|8910.0|0|329.0|0|0.0|0
0|2020-05-03|8967.0|0|329.0|0|0.0|0
0|2020-05-04|9015.0|0|343.0|0|0.0|0
0|2020-05-05|9144.0|0|354.0|0|0.0|0
0|2020-05-06|9215.0|0|358.0|0|0.0|0
0|2020-05-07|9328.0|0|364.0|0|0.0|0
0|2020-05-08|9402.0|0|367.0|0|0.0|0
0|2020-05-09|9486.0|0|367.0|0|0.0|0
0|2020-05-10|9543.0|0|367.0|0|0.0|0
0|2020-05-11|9543.0|0|367.0|0|0.0|0
0|2020-05-12|9632.0|0|395.0|0|0.0|0
0|2020-05-13|9693.0|0|398.0|0|0.0|0
