|dates|Denton_Texas_UnitedStates.JHU_ConfirmedCases.data|Denton_Texas_UnitedStates.JHU_ConfirmedCases.missing|Denton_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Denton_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Denton_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Denton_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|5.0|0|0.0|0|0.0|0
0|2020-03-19|9.0|0|0.0|0|0.0|0
0|2020-03-20|15.0|0|0.0|0|0.0|0
0|2020-03-21|24.0|0|0.0|0|0.0|0
0|2020-03-22|30.0|0|0.0|0|0.0|0
0|2020-03-23|30.0|0|0.0|0|0.0|0
0|2020-03-24|38.0|0|0.0|0|0.0|0
0|2020-03-25|51.0|0|0.0|0|0.0|0
0|2020-03-26|83.0|0|1.0|0|0.0|0
0|2020-03-27|137.0|0|1.0|0|0.0|0
0|2020-03-28|148.0|0|2.0|0|0.0|0
0|2020-03-29|165.0|0|2.0|0|0.0|0
0|2020-03-30|165.0|0|2.0|0|0.0|0
0|2020-03-31|206.0|0|4.0|0|0.0|0
0|2020-04-01|206.0|0|4.0|0|0.0|0
0|2020-04-02|254.0|0|5.0|0|0.0|0
0|2020-04-03|273.0|0|6.0|0|0.0|0
0|2020-04-04|273.0|0|6.0|0|0.0|0
0|2020-04-05|304.0|0|7.0|0|0.0|0
0|2020-04-06|337.0|0|7.0|0|0.0|0
0|2020-04-07|366.0|0|7.0|0|0.0|0
0|2020-04-08|366.0|0|7.0|0|0.0|0
0|2020-04-09|426.0|0|7.0|0|0.0|0
0|2020-04-10|426.0|0|9.0|0|0.0|0
0|2020-04-11|454.0|0|10.0|0|0.0|0
0|2020-04-12|474.0|0|13.0|0|0.0|0
0|2020-04-13|507.0|0|13.0|0|0.0|0
0|2020-04-14|507.0|0|13.0|0|0.0|0
0|2020-04-15|521.0|0|14.0|0|0.0|0
0|2020-04-16|547.0|0|14.0|0|0.0|0
0|2020-04-17|564.0|0|15.0|0|0.0|0
0|2020-04-18|585.0|0|15.0|0|0.0|0
0|2020-04-19|592.0|0|16.0|0|0.0|0
0|2020-04-20|593.0|0|16.0|0|0.0|0
0|2020-04-21|598.0|0|17.0|0|0.0|0
0|2020-04-22|619.0|0|18.0|0|0.0|0
0|2020-04-23|661.0|0|19.0|0|0.0|0
0|2020-04-24|680.0|0|19.0|0|0.0|0
0|2020-04-25|680.0|0|19.0|0|0.0|0
0|2020-04-26|702.0|0|20.0|0|0.0|0
0|2020-04-27|713.0|0|20.0|0|0.0|0
0|2020-04-28|725.0|0|20.0|0|0.0|0
0|2020-04-29|738.0|0|20.0|0|0.0|0
0|2020-04-30|748.0|0|20.0|0|0.0|0
0|2020-05-01|765.0|0|21.0|0|0.0|0
0|2020-05-02|786.0|0|22.0|0|0.0|0
0|2020-05-03|799.0|0|22.0|0|0.0|0
0|2020-05-04|803.0|0|22.0|0|0.0|0
0|2020-05-05|806.0|0|22.0|0|0.0|0
0|2020-05-06|832.0|0|22.0|0|0.0|0
0|2020-05-07|846.0|0|22.0|0|0.0|0
0|2020-05-08|872.0|0|23.0|0|0.0|0
0|2020-05-09|902.0|0|25.0|0|0.0|0
0|2020-05-10|914.0|0|25.0|0|0.0|0
0|2020-05-11|914.0|0|25.0|0|0.0|0
0|2020-05-12|946.0|0|25.0|0|0.0|0
0|2020-05-13|968.0|0|25.0|0|0.0|0
