|dates|Ellis_Texas_UnitedStates.JHU_ConfirmedCases.data|Ellis_Texas_UnitedStates.JHU_ConfirmedCases.missing|Ellis_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Ellis_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Ellis_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Ellis_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|3.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|3.0|0|0.0|0|0.0|0
0|2020-03-24|6.0|0|0.0|0|0.0|0
0|2020-03-25|7.0|0|0.0|0|0.0|0
0|2020-03-26|7.0|0|0.0|0|0.0|0
0|2020-03-27|10.0|0|0.0|0|0.0|0
0|2020-03-28|13.0|0|0.0|0|0.0|0
0|2020-03-29|13.0|0|0.0|0|0.0|0
0|2020-03-30|15.0|0|0.0|0|0.0|0
0|2020-03-31|20.0|0|0.0|0|0.0|0
0|2020-04-01|20.0|0|0.0|0|0.0|0
0|2020-04-02|26.0|0|0.0|0|0.0|0
0|2020-04-03|27.0|0|1.0|0|0.0|0
0|2020-04-04|29.0|0|2.0|0|0.0|0
0|2020-04-05|32.0|0|2.0|0|0.0|0
0|2020-04-06|29.0|0|2.0|0|0.0|0
0|2020-04-07|35.0|0|2.0|0|0.0|0
0|2020-04-08|41.0|0|2.0|0|0.0|0
0|2020-04-09|50.0|0|2.0|0|0.0|0
0|2020-04-10|58.0|0|2.0|0|0.0|0
0|2020-04-11|66.0|0|2.0|0|0.0|0
0|2020-04-12|66.0|0|2.0|0|0.0|0
0|2020-04-13|66.0|0|2.0|0|0.0|0
0|2020-04-14|72.0|0|2.0|0|0.0|0
0|2020-04-15|76.0|0|3.0|0|0.0|0
0|2020-04-16|81.0|0|3.0|0|0.0|0
0|2020-04-17|82.0|0|3.0|0|0.0|0
0|2020-04-18|83.0|0|3.0|0|0.0|0
0|2020-04-19|83.0|0|3.0|0|0.0|0
0|2020-04-20|90.0|0|3.0|0|0.0|0
0|2020-04-21|100.0|0|4.0|0|0.0|0
0|2020-04-22|110.0|0|4.0|0|0.0|0
0|2020-04-23|111.0|0|4.0|0|0.0|0
0|2020-04-24|121.0|0|4.0|0|0.0|0
0|2020-04-25|127.0|0|5.0|0|0.0|0
0|2020-04-26|127.0|0|5.0|0|0.0|0
0|2020-04-27|133.0|0|5.0|0|0.0|0
0|2020-04-28|133.0|0|5.0|0|0.0|0
0|2020-04-29|143.0|0|6.0|0|0.0|0
0|2020-04-30|148.0|0|6.0|0|0.0|0
0|2020-05-01|148.0|0|6.0|0|0.0|0
0|2020-05-02|166.0|0|6.0|0|0.0|0
0|2020-05-03|166.0|0|6.0|0|0.0|0
0|2020-05-04|169.0|0|6.0|0|0.0|0
0|2020-05-05|176.0|0|6.0|0|0.0|0
0|2020-05-06|184.0|0|9.0|0|0.0|0
0|2020-05-07|188.0|0|10.0|0|0.0|0
0|2020-05-08|193.0|0|11.0|0|0.0|0
0|2020-05-09|202.0|0|11.0|0|0.0|0
0|2020-05-10|202.0|0|11.0|0|0.0|0
0|2020-05-11|202.0|0|11.0|0|0.0|0
0|2020-05-12|216.0|0|11.0|0|0.0|0
0|2020-05-13|221.0|0|11.0|0|0.0|0
