|dates|Hennepin_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Hennepin_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Hennepin_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Hennepin_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Hennepin_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Hennepin_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|6.0|0|0.0|0|0.0|0
0|2020-03-15|6.0|0|0.0|0|0.0|0
0|2020-03-16|22.0|0|0.0|0|0.0|0
0|2020-03-17|24.0|0|0.0|0|0.0|0
0|2020-03-18|28.0|0|0.0|0|0.0|0
0|2020-03-19|32.0|0|0.0|0|0.0|0
0|2020-03-20|45.0|0|0.0|0|0.0|0
0|2020-03-21|52.0|0|0.0|0|0.0|0
0|2020-03-22|57.0|0|0.0|0|0.0|0
0|2020-03-23|89.0|0|0.0|0|0.0|0
0|2020-03-24|103.0|0|0.0|0|0.0|0
0|2020-03-25|111.0|0|0.0|0|0.0|0
0|2020-03-26|128.0|0|0.0|0|0.0|0
0|2020-03-27|141.0|0|0.0|0|0.0|0
0|2020-03-28|152.0|0|2.0|0|0.0|0
0|2020-03-29|171.0|0|2.0|0|0.0|0
0|2020-03-30|190.0|0|5.0|0|0.0|0
0|2020-03-31|204.0|0|5.0|0|0.0|0
0|2020-04-01|218.0|0|5.0|0|0.0|0
0|2020-04-02|235.0|0|6.0|0|0.0|0
0|2020-04-03|242.0|0|6.0|0|0.0|0
0|2020-04-04|252.0|0|9.0|0|0.0|0
0|2020-04-05|267.0|0|11.0|0|0.0|0
0|2020-04-06|280.0|0|14.0|0|0.0|0
0|2020-04-07|310.0|0|16.0|0|0.0|0
0|2020-04-08|344.0|0|18.0|0|0.0|0
0|2020-04-09|375.0|0|25.0|0|0.0|0
0|2020-04-10|415.0|0|27.0|0|0.0|0
0|2020-04-11|464.0|0|30.0|0|0.0|0
0|2020-04-12|557.0|0|34.0|0|0.0|0
0|2020-04-13|557.0|0|34.0|0|0.0|0
0|2020-04-14|558.0|0|40.0|0|0.0|0
0|2020-04-15|651.0|0|46.0|0|0.0|0
0|2020-04-16|651.0|0|46.0|0|0.0|0
0|2020-04-17|806.0|0|61.0|0|0.0|0
0|2020-04-18|875.0|0|69.0|0|0.0|0
0|2020-04-19|924.0|0|75.0|0|0.0|0
0|2020-04-20|975.0|0|80.0|0|0.0|0
0|2020-04-21|1013.0|0|95.0|0|0.0|0
0|2020-04-22|1073.0|0|113.0|0|0.0|0
0|2020-04-23|1132.0|0|123.0|0|0.0|0
0|2020-04-24|1200.0|0|138.0|0|0.0|0
0|2020-04-25|1287.0|0|155.0|0|0.0|0
0|2020-04-26|1332.0|0|177.0|0|0.0|0
0|2020-04-27|1416.0|0|188.0|0|0.0|0
0|2020-04-28|1524.0|0|193.0|0|0.0|0
0|2020-04-29|1633.0|0|209.0|0|0.0|0
0|2020-04-30|1738.0|0|225.0|0|0.0|0
0|2020-05-01|1829.0|0|243.0|0|0.0|0
0|2020-05-02|1980.0|0|259.0|0|0.0|0
0|2020-05-03|2151.0|0|277.0|0|0.0|0
0|2020-05-04|2298.0|0|284.0|0|0.0|0
0|2020-05-05|2519.0|0|303.0|0|0.0|0
0|2020-05-06|2764.0|0|325.0|0|0.0|0
0|2020-05-07|2962.0|0|342.0|0|0.0|0
0|2020-05-08|3153.0|0|362.0|0|0.0|0
0|2020-05-09|3379.0|0|374.0|0|0.0|0
0|2020-05-10|3558.0|0|389.0|0|0.0|0
0|2020-05-11|3558.0|0|389.0|0|0.0|0
0|2020-05-12|4033.0|0|412.0|0|0.0|0
0|2020-05-13|4183.0|0|426.0|0|0.0|0
