|dates|Marion_Ohio_UnitedStates.JHU_ConfirmedCases.data|Marion_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Marion_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Marion_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Marion_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Marion_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|3.0|0|0.0|0|0.0|0
0|2020-03-24|4.0|0|0.0|0|0.0|0
0|2020-03-25|4.0|0|0.0|0|0.0|0
0|2020-03-26|4.0|0|0.0|0|0.0|0
0|2020-03-27|5.0|0|0.0|0|0.0|0
0|2020-03-28|5.0|0|0.0|0|0.0|0
0|2020-03-29|6.0|0|0.0|0|0.0|0
0|2020-03-30|7.0|0|0.0|0|0.0|0
0|2020-03-31|8.0|0|0.0|0|0.0|0
0|2020-04-01|9.0|0|0.0|0|0.0|0
0|2020-04-02|10.0|0|0.0|0|0.0|0
0|2020-04-03|11.0|0|0.0|0|0.0|0
0|2020-04-04|12.0|0|0.0|0|0.0|0
0|2020-04-05|19.0|0|0.0|0|0.0|0
0|2020-04-06|25.0|0|0.0|0|0.0|0
0|2020-04-07|28.0|0|0.0|0|0.0|0
0|2020-04-08|32.0|0|0.0|0|0.0|0
0|2020-04-09|40.0|0|0.0|0|0.0|0
0|2020-04-10|42.0|0|0.0|0|0.0|0
0|2020-04-11|49.0|0|0.0|0|0.0|0
0|2020-04-12|53.0|0|0.0|0|0.0|0
0|2020-04-13|91.0|0|0.0|0|0.0|0
0|2020-04-14|110.0|0|0.0|0|0.0|0
0|2020-04-15|164.0|0|0.0|0|0.0|0
0|2020-04-16|276.0|0|1.0|0|0.0|0
0|2020-04-17|428.0|0|1.0|0|0.0|0
0|2020-04-18|983.0|0|1.0|0|0.0|0
0|2020-04-19|1834.0|0|1.0|0|0.0|0
0|2020-04-20|2073.0|0|1.0|0|0.0|0
0|2020-04-21|2132.0|0|1.0|0|0.0|0
0|2020-04-22|2137.0|0|3.0|0|0.0|0
0|2020-04-23|2161.0|0|3.0|0|0.0|0
0|2020-04-24|2169.0|0|4.0|0|0.0|0
0|2020-04-25|2172.0|0|4.0|0|0.0|0
0|2020-04-26|2178.0|0|4.0|0|0.0|0
0|2020-04-27|2188.0|0|4.0|0|0.0|0
0|2020-04-28|2191.0|0|4.0|0|0.0|0
0|2020-04-29|2196.0|0|4.0|0|0.0|0
0|2020-04-30|2196.0|0|4.0|0|0.0|0
0|2020-05-01|2276.0|0|4.0|0|0.0|0
0|2020-05-02|2294.0|0|4.0|0|0.0|0
0|2020-05-03|2329.0|0|4.0|0|0.0|0
0|2020-05-04|2332.0|0|4.0|0|0.0|0
0|2020-05-05|2335.0|0|9.0|0|0.0|0
0|2020-05-06|2347.0|0|13.0|0|0.0|0
0|2020-05-07|2350.0|0|13.0|0|0.0|0
0|2020-05-08|2366.0|0|13.0|0|0.0|0
0|2020-05-09|2381.0|0|13.0|0|0.0|0
0|2020-05-10|2387.0|0|13.0|0|0.0|0
0|2020-05-11|2387.0|0|13.0|0|0.0|0
0|2020-05-12|2412.0|0|14.0|0|0.0|0
0|2020-05-13|2419.0|0|15.0|0|0.0|0
