|dates|Glynn_Georgia_UnitedStates.JHU_ConfirmedCases.data|Glynn_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Glynn_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Glynn_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Glynn_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Glynn_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|4.0|0|0.0|0|0.0|0
0|2020-03-24|5.0|0|0.0|0|0.0|0
0|2020-03-25|5.0|0|0.0|0|0.0|0
0|2020-03-26|5.0|0|0.0|0|0.0|0
0|2020-03-27|6.0|0|0.0|0|0.0|0
0|2020-03-28|7.0|0|0.0|0|0.0|0
0|2020-03-29|8.0|0|0.0|0|0.0|0
0|2020-03-30|10.0|0|0.0|0|0.0|0
0|2020-03-31|17.0|0|0.0|0|0.0|0
0|2020-04-01|18.0|0|0.0|0|0.0|0
0|2020-04-02|20.0|0|0.0|0|0.0|0
0|2020-04-03|23.0|0|0.0|0|0.0|0
0|2020-04-04|27.0|0|0.0|0|0.0|0
0|2020-04-05|29.0|0|0.0|0|0.0|0
0|2020-04-06|29.0|0|0.0|0|0.0|0
0|2020-04-07|29.0|0|0.0|0|0.0|0
0|2020-04-08|30.0|0|0.0|0|0.0|0
0|2020-04-09|31.0|0|0.0|0|0.0|0
0|2020-04-10|32.0|0|0.0|0|0.0|0
0|2020-04-11|33.0|0|0.0|0|0.0|0
0|2020-04-12|33.0|0|0.0|0|0.0|0
0|2020-04-13|38.0|0|0.0|0|0.0|0
0|2020-04-14|40.0|0|0.0|0|0.0|0
0|2020-04-15|41.0|0|0.0|0|0.0|0
0|2020-04-16|44.0|0|0.0|0|0.0|0
0|2020-04-17|46.0|0|0.0|0|0.0|0
0|2020-04-18|48.0|0|0.0|0|0.0|0
0|2020-04-19|49.0|0|0.0|0|0.0|0
0|2020-04-20|49.0|0|0.0|0|0.0|0
0|2020-04-21|49.0|0|0.0|0|0.0|0
0|2020-04-22|51.0|0|0.0|0|0.0|0
0|2020-04-23|51.0|0|1.0|0|0.0|0
0|2020-04-24|52.0|0|1.0|0|0.0|0
0|2020-04-25|51.0|0|1.0|0|0.0|0
0|2020-04-26|51.0|0|1.0|0|0.0|0
0|2020-04-27|51.0|0|1.0|0|0.0|0
0|2020-04-28|55.0|0|1.0|0|0.0|0
0|2020-04-29|55.0|0|1.0|0|0.0|0
0|2020-04-30|55.0|0|1.0|0|0.0|0
0|2020-05-01|58.0|0|1.0|0|0.0|0
0|2020-05-02|59.0|0|1.0|0|0.0|0
0|2020-05-03|59.0|0|1.0|0|0.0|0
0|2020-05-04|59.0|0|1.0|0|0.0|0
0|2020-05-05|60.0|0|1.0|0|0.0|0
0|2020-05-06|68.0|0|1.0|0|0.0|0
0|2020-05-07|71.0|0|1.0|0|0.0|0
0|2020-05-08|72.0|0|1.0|0|0.0|0
0|2020-05-09|72.0|0|1.0|0|0.0|0
0|2020-05-10|73.0|0|1.0|0|0.0|0
0|2020-05-11|73.0|0|1.0|0|0.0|0
0|2020-05-12|74.0|0|1.0|0|0.0|0
0|2020-05-13|75.0|0|1.0|0|0.0|0
