|dates|Kent_Delaware_UnitedStates.JHU_ConfirmedCases.data|Kent_Delaware_UnitedStates.JHU_ConfirmedCases.missing|Kent_Delaware_UnitedStates.JHU_ConfirmedDeaths.data|Kent_Delaware_UnitedStates.JHU_ConfirmedDeaths.missing|Kent_Delaware_UnitedStates.JHU_ConfirmedRecoveries.data|Kent_Delaware_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|4.0|0|0.0|0|0.0|0
0|2020-03-20|5.0|0|0.0|0|0.0|0
0|2020-03-21|5.0|0|0.0|0|0.0|0
0|2020-03-22|5.0|0|0.0|0|0.0|0
0|2020-03-23|6.0|0|0.0|0|0.0|0
0|2020-03-24|10.0|0|0.0|0|0.0|0
0|2020-03-25|14.0|0|0.0|0|0.0|0
0|2020-03-26|17.0|0|0.0|0|0.0|0
0|2020-03-27|21.0|0|0.0|0|0.0|0
0|2020-03-28|25.0|0|2.0|0|0.0|0
0|2020-03-29|25.0|0|3.0|0|0.0|0
0|2020-03-30|27.0|0|3.0|0|0.0|0
0|2020-03-31|34.0|0|3.0|0|0.0|0
0|2020-04-01|41.0|0|3.0|0|0.0|0
0|2020-04-02|43.0|0|2.0|0|0.0|0
0|2020-04-03|54.0|0|2.0|0|0.0|0
0|2020-04-04|68.0|0|2.0|0|0.0|0
0|2020-04-05|86.0|0|2.0|0|0.0|0
0|2020-04-06|128.0|0|3.0|0|0.0|0
0|2020-04-07|147.0|0|4.0|0|0.0|0
0|2020-04-08|201.0|0|4.0|0|0.0|0
0|2020-04-09|214.0|0|4.0|0|0.0|0
0|2020-04-10|230.0|0|4.0|0|0.0|0
0|2020-04-11|255.0|0|4.0|0|0.0|0
0|2020-04-12|281.0|0|4.0|0|0.0|0
0|2020-04-13|288.0|0|6.0|0|0.0|0
0|2020-04-14|329.0|0|7.0|0|0.0|0
0|2020-04-15|345.0|0|7.0|0|0.0|0
0|2020-04-16|352.0|0|9.0|0|0.0|0
0|2020-04-17|384.0|0|9.0|0|0.0|0
0|2020-04-18|417.0|0|10.0|0|0.0|0
0|2020-04-19|417.0|0|10.0|0|0.0|0
0|2020-04-20|430.0|0|13.0|0|0.0|0
0|2020-04-21|459.0|0|14.0|0|0.0|0
0|2020-04-22|503.0|0|15.0|0|0.0|0
0|2020-04-23|539.0|0|15.0|0|0.0|0
0|2020-04-24|558.0|0|15.0|0|0.0|0
0|2020-04-25|579.0|0|18.0|0|0.0|0
0|2020-04-26|625.0|0|22.0|0|0.0|0
0|2020-04-27|652.0|0|23.0|0|0.0|0
0|2020-04-28|728.0|0|23.0|0|0.0|0
0|2020-04-29|743.0|0|25.0|0|0.0|0
0|2020-04-30|759.0|0|26.0|0|0.0|0
0|2020-05-01|773.0|0|27.0|0|0.0|0
0|2020-05-02|793.0|0|29.0|0|0.0|0
0|2020-05-03|821.0|0|30.0|0|0.0|0
0|2020-05-04|833.0|0|30.0|0|0.0|0
0|2020-05-05|847.0|0|32.0|0|0.0|0
0|2020-05-06|891.0|0|33.0|0|0.0|0
0|2020-05-07|945.0|0|34.0|0|0.0|0
0|2020-05-08|963.0|0|36.0|0|0.0|0
0|2020-05-09|985.0|0|38.0|0|0.0|0
0|2020-05-10|985.0|0|38.0|0|0.0|0
0|2020-05-11|985.0|0|38.0|0|0.0|0
0|2020-05-12|1060.0|0|43.0|0|0.0|0
0|2020-05-13|1084.0|0|45.0|0|0.0|0
