|dates|Washington_Texas_UnitedStates.JHU_ConfirmedCases.data|Washington_Texas_UnitedStates.JHU_ConfirmedCases.missing|Washington_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|3.0|0|0.0|0|0.0|0
0|2020-03-28|6.0|0|0.0|0|0.0|0
0|2020-03-29|6.0|0|0.0|0|0.0|0
0|2020-03-30|8.0|0|0.0|0|0.0|0
0|2020-03-31|9.0|0|0.0|0|0.0|0
0|2020-04-01|17.0|0|0.0|0|0.0|0
0|2020-04-02|17.0|0|0.0|0|0.0|0
0|2020-04-03|17.0|0|1.0|0|0.0|0
0|2020-04-04|17.0|0|1.0|0|0.0|0
0|2020-04-05|17.0|0|1.0|0|0.0|0
0|2020-04-06|19.0|0|1.0|0|0.0|0
0|2020-04-07|21.0|0|1.0|0|0.0|0
0|2020-04-08|24.0|0|1.0|0|0.0|0
0|2020-04-09|28.0|0|1.0|0|0.0|0
0|2020-04-10|34.0|0|1.0|0|0.0|0
0|2020-04-11|36.0|0|1.0|0|0.0|0
0|2020-04-12|37.0|0|2.0|0|0.0|0
0|2020-04-13|37.0|0|2.0|0|0.0|0
0|2020-04-14|37.0|0|2.0|0|0.0|0
0|2020-04-15|44.0|0|3.0|0|0.0|0
0|2020-04-16|46.0|0|3.0|0|0.0|0
0|2020-04-17|49.0|0|4.0|0|0.0|0
0|2020-04-18|50.0|0|4.0|0|0.0|0
0|2020-04-19|52.0|0|4.0|0|0.0|0
0|2020-04-20|61.0|0|4.0|0|0.0|0
0|2020-04-21|68.0|0|6.0|0|0.0|0
0|2020-04-22|71.0|0|6.0|0|0.0|0
0|2020-04-23|78.0|0|11.0|0|0.0|0
0|2020-04-24|78.0|0|11.0|0|0.0|0
0|2020-04-25|103.0|0|11.0|0|0.0|0
0|2020-04-26|113.0|0|11.0|0|0.0|0
0|2020-04-27|113.0|0|11.0|0|0.0|0
0|2020-04-28|136.0|0|11.0|0|0.0|0
0|2020-04-29|140.0|0|14.0|0|0.0|0
0|2020-04-30|142.0|0|15.0|0|0.0|0
0|2020-05-01|144.0|0|15.0|0|0.0|0
0|2020-05-02|145.0|0|15.0|0|0.0|0
0|2020-05-03|145.0|0|18.0|0|0.0|0
0|2020-05-04|145.0|0|18.0|0|0.0|0
0|2020-05-05|147.0|0|18.0|0|0.0|0
0|2020-05-06|150.0|0|18.0|0|0.0|0
0|2020-05-07|153.0|0|18.0|0|0.0|0
0|2020-05-08|156.0|0|18.0|0|0.0|0
0|2020-05-09|164.0|0|18.0|0|0.0|0
0|2020-05-10|164.0|0|18.0|0|0.0|0
0|2020-05-11|164.0|0|18.0|0|0.0|0
0|2020-05-12|170.0|0|22.0|0|0.0|0
0|2020-05-13|175.0|0|22.0|0|0.0|0
