|dates|Lafayette_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Lafayette_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Lafayette_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Lafayette_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Lafayette_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Lafayette_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|5.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|0.0|0|0.0|0
0|2020-03-24|8.0|0|0.0|0|0.0|0
0|2020-03-25|8.0|0|0.0|0|0.0|0
0|2020-03-26|10.0|0|0.0|0|0.0|0
0|2020-03-27|11.0|0|0.0|0|0.0|0
0|2020-03-28|11.0|0|0.0|0|0.0|0
0|2020-03-29|13.0|0|0.0|0|0.0|0
0|2020-03-30|13.0|0|0.0|0|0.0|0
0|2020-03-31|15.0|0|1.0|0|0.0|0
0|2020-04-01|15.0|0|1.0|0|0.0|0
0|2020-04-02|16.0|0|1.0|0|0.0|0
0|2020-04-03|21.0|0|1.0|0|0.0|0
0|2020-04-04|21.0|0|1.0|0|0.0|0
0|2020-04-05|22.0|0|1.0|0|0.0|0
0|2020-04-06|22.0|0|1.0|0|0.0|0
0|2020-04-07|25.0|0|1.0|0|0.0|0
0|2020-04-08|26.0|0|1.0|0|0.0|0
0|2020-04-09|26.0|0|1.0|0|0.0|0
0|2020-04-10|28.0|0|1.0|0|0.0|0
0|2020-04-11|29.0|0|1.0|0|0.0|0
0|2020-04-12|29.0|0|1.0|0|0.0|0
0|2020-04-13|30.0|0|1.0|0|0.0|0
0|2020-04-14|33.0|0|2.0|0|0.0|0
0|2020-04-15|36.0|0|2.0|0|0.0|0
0|2020-04-16|39.0|0|2.0|0|0.0|0
0|2020-04-17|39.0|0|2.0|0|0.0|0
0|2020-04-18|40.0|0|3.0|0|0.0|0
0|2020-04-19|64.0|0|3.0|0|0.0|0
0|2020-04-20|67.0|0|3.0|0|0.0|0
0|2020-04-21|68.0|0|3.0|0|0.0|0
0|2020-04-22|70.0|0|3.0|0|0.0|0
0|2020-04-23|81.0|0|3.0|0|0.0|0
0|2020-04-24|83.0|0|3.0|0|0.0|0
0|2020-04-25|87.0|0|3.0|0|0.0|0
0|2020-04-26|88.0|0|3.0|0|0.0|0
0|2020-04-27|88.0|0|3.0|0|0.0|0
0|2020-04-28|88.0|0|3.0|0|0.0|0
0|2020-04-29|88.0|0|3.0|0|0.0|0
0|2020-04-30|89.0|0|3.0|0|0.0|0
0|2020-05-01|89.0|0|3.0|0|0.0|0
0|2020-05-02|89.0|0|3.0|0|0.0|0
0|2020-05-03|91.0|0|3.0|0|0.0|0
0|2020-05-04|93.0|0|3.0|0|0.0|0
0|2020-05-05|96.0|0|3.0|0|0.0|0
0|2020-05-06|96.0|0|3.0|0|0.0|0
0|2020-05-07|96.0|0|3.0|0|0.0|0
0|2020-05-08|98.0|0|3.0|0|0.0|0
0|2020-05-09|98.0|0|3.0|0|0.0|0
0|2020-05-10|98.0|0|3.0|0|0.0|0
0|2020-05-11|98.0|0|3.0|0|0.0|0
0|2020-05-12|101.0|0|3.0|0|0.0|0
0|2020-05-13|102.0|0|3.0|0|0.0|0
