|dates|Wyandotte_Kansas_UnitedStates.JHU_ConfirmedCases.data|Wyandotte_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Wyandotte_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Wyandotte_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Wyandotte_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Wyandotte_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|1.0|0|0.0|0
0|2020-03-14|1.0|0|1.0|0|0.0|0
0|2020-03-15|1.0|0|1.0|0|0.0|0
0|2020-03-16|1.0|0|1.0|0|0.0|0
0|2020-03-17|4.0|0|1.0|0|0.0|0
0|2020-03-18|4.0|0|1.0|0|0.0|0
0|2020-03-19|8.0|0|1.0|0|0.0|0
0|2020-03-20|9.0|0|1.0|0|0.0|0
0|2020-03-21|13.0|0|1.0|0|0.0|0
0|2020-03-22|14.0|0|1.0|0|0.0|0
0|2020-03-23|16.0|0|1.0|0|0.0|0
0|2020-03-24|22.0|0|1.0|0|0.0|0
0|2020-03-25|27.0|0|2.0|0|0.0|0
0|2020-03-26|34.0|0|2.0|0|0.0|0
0|2020-03-27|43.0|0|3.0|0|0.0|0
0|2020-03-28|53.0|0|3.0|0|0.0|0
0|2020-03-29|55.0|0|4.0|0|0.0|0
0|2020-03-30|67.0|0|4.0|0|0.0|0
0|2020-03-31|79.0|0|4.0|0|0.0|0
0|2020-04-01|93.0|0|4.0|0|0.0|0
0|2020-04-02|106.0|0|4.0|0|0.0|0
0|2020-04-03|137.0|0|6.0|0|0.0|0
0|2020-04-04|149.0|0|6.0|0|0.0|0
0|2020-04-05|158.0|0|6.0|0|0.0|0
0|2020-04-06|186.0|0|6.0|0|0.0|0
0|2020-04-07|195.0|0|10.0|0|0.0|0
0|2020-04-08|245.0|0|12.0|0|0.0|0
0|2020-04-09|272.0|0|13.0|0|0.0|0
0|2020-04-10|272.0|0|13.0|0|0.0|0
0|2020-04-11|315.0|0|20.0|0|0.0|0
0|2020-04-12|332.0|0|24.0|0|0.0|0
0|2020-04-13|337.0|0|28.0|0|0.0|0
0|2020-04-14|345.0|0|30.0|0|0.0|0
0|2020-04-15|363.0|0|31.0|0|0.0|0
0|2020-04-16|379.0|0|34.0|0|0.0|0
0|2020-04-17|400.0|0|35.0|0|0.0|0
0|2020-04-18|412.0|0|35.0|0|0.0|0
0|2020-04-19|417.0|0|37.0|0|0.0|0
0|2020-04-20|427.0|0|44.0|0|0.0|0
0|2020-04-21|433.0|0|45.0|0|0.0|0
0|2020-04-22|473.0|0|47.0|0|0.0|0
0|2020-04-23|490.0|0|47.0|0|0.0|0
0|2020-04-24|527.0|0|49.0|0|0.0|0
0|2020-04-25|555.0|0|50.0|0|0.0|0
0|2020-04-26|565.0|0|51.0|0|0.0|0
0|2020-04-27|573.0|0|53.0|0|0.0|0
0|2020-04-28|585.0|0|53.0|0|0.0|0
0|2020-04-29|619.0|0|55.0|0|0.0|0
0|2020-04-30|677.0|0|55.0|0|0.0|0
0|2020-05-01|710.0|0|55.0|0|0.0|0
0|2020-05-02|762.0|0|55.0|0|0.0|0
0|2020-05-03|826.0|0|55.0|0|0.0|0
0|2020-05-04|879.0|0|61.0|0|0.0|0
0|2020-05-05|896.0|0|64.0|0|0.0|0
0|2020-05-06|910.0|0|64.0|0|0.0|0
0|2020-05-07|942.0|0|64.0|0|0.0|0
0|2020-05-08|1000.0|0|64.0|0|0.0|0
0|2020-05-09|1045.0|0|64.0|0|0.0|0
0|2020-05-10|1078.0|0|64.0|0|0.0|0
0|2020-05-11|1078.0|0|64.0|0|0.0|0
0|2020-05-12|1086.0|0|65.0|0|0.0|0
0|2020-05-13|1098.0|0|66.0|0|0.0|0
