|dates|Benton_Washington_UnitedStates.JHU_ConfirmedCases.data|Benton_Washington_UnitedStates.JHU_ConfirmedCases.missing|Benton_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Benton_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Benton_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Benton_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|1.0|0|0.0|0
0|2020-03-21|7.0|0|2.0|0|0.0|0
0|2020-03-22|7.0|0|2.0|0|0.0|0
0|2020-03-23|9.0|0|3.0|0|0.0|0
0|2020-03-24|9.0|0|3.0|0|0.0|0
0|2020-03-25|12.0|0|3.0|0|0.0|0
0|2020-03-26|19.0|0|4.0|0|0.0|0
0|2020-03-27|42.0|0|4.0|0|0.0|0
0|2020-03-28|42.0|0|5.0|0|0.0|0
0|2020-03-29|56.0|0|5.0|0|0.0|0
0|2020-03-30|102.0|0|5.0|0|0.0|0
0|2020-03-31|89.0|0|6.0|0|0.0|0
0|2020-04-01|108.0|0|7.0|0|0.0|0
0|2020-04-02|130.0|0|9.0|0|0.0|0
0|2020-04-03|136.0|0|13.0|0|0.0|0
0|2020-04-04|151.0|0|13.0|0|0.0|0
0|2020-04-05|164.0|0|13.0|0|0.0|0
0|2020-04-06|175.0|0|17.0|0|0.0|0
0|2020-04-07|176.0|0|19.0|0|0.0|0
0|2020-04-08|179.0|0|19.0|0|0.0|0
0|2020-04-09|215.0|0|25.0|0|0.0|0
0|2020-04-10|233.0|0|25.0|0|0.0|0
0|2020-04-11|244.0|0|25.0|0|0.0|0
0|2020-04-12|249.0|0|25.0|0|0.0|0
0|2020-04-13|259.0|0|27.0|0|0.0|0
0|2020-04-14|266.0|0|29.0|0|0.0|0
0|2020-04-15|266.0|0|29.0|0|0.0|0
0|2020-04-16|283.0|0|34.0|0|0.0|0
0|2020-04-17|295.0|0|34.0|0|0.0|0
0|2020-04-18|306.0|0|34.0|0|0.0|0
0|2020-04-19|313.0|0|34.0|0|0.0|0
0|2020-04-20|314.0|0|34.0|0|0.0|0
0|2020-04-21|423.0|0|34.0|0|0.0|0
0|2020-04-22|423.0|0|35.0|0|0.0|0
0|2020-04-23|365.0|0|36.0|0|0.0|0
0|2020-04-24|383.0|0|36.0|0|0.0|0
0|2020-04-25|399.0|0|37.0|0|0.0|0
0|2020-04-26|405.0|0|37.0|0|0.0|0
0|2020-04-27|409.0|0|38.0|0|0.0|0
0|2020-04-28|415.0|0|39.0|0|0.0|0
0|2020-04-29|422.0|0|40.0|0|0.0|0
0|2020-04-30|430.0|0|41.0|0|0.0|0
0|2020-05-01|461.0|0|41.0|0|0.0|0
0|2020-05-02|494.0|0|43.0|0|0.0|0
0|2020-05-03|518.0|0|44.0|0|0.0|0
0|2020-05-04|532.0|0|44.0|0|0.0|0
0|2020-05-05|537.0|0|46.0|0|0.0|0
0|2020-05-06|548.0|0|46.0|0|0.0|0
0|2020-05-07|550.0|0|47.0|0|0.0|0
0|2020-05-08|559.0|0|48.0|0|0.0|0
0|2020-05-09|575.0|0|51.0|0|0.0|0
0|2020-05-10|577.0|0|51.0|0|0.0|0
0|2020-05-11|577.0|0|51.0|0|0.0|0
0|2020-05-12|588.0|0|53.0|0|0.0|0
0|2020-05-13|595.0|0|53.0|0|0.0|0
