|dates|Victoria_Texas_UnitedStates.JHU_ConfirmedCases.data|Victoria_Texas_UnitedStates.JHU_ConfirmedCases.missing|Victoria_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Victoria_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Victoria_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Victoria_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|3.0|0|0.0|0|0.0|0
0|2020-03-28|3.0|0|0.0|0|0.0|0
0|2020-03-29|3.0|0|0.0|0|0.0|0
0|2020-03-30|6.0|0|0.0|0|0.0|0
0|2020-03-31|15.0|0|0.0|0|0.0|0
0|2020-04-01|16.0|0|0.0|0|0.0|0
0|2020-04-02|20.0|0|0.0|0|0.0|0
0|2020-04-03|27.0|0|0.0|0|0.0|0
0|2020-04-04|32.0|0|0.0|0|0.0|0
0|2020-04-05|32.0|0|0.0|0|0.0|0
0|2020-04-06|35.0|0|0.0|0|0.0|0
0|2020-04-07|50.0|0|0.0|0|0.0|0
0|2020-04-08|59.0|0|0.0|0|0.0|0
0|2020-04-09|66.0|0|0.0|0|0.0|0
0|2020-04-10|73.0|0|0.0|0|0.0|0
0|2020-04-11|76.0|0|0.0|0|0.0|0
0|2020-04-12|77.0|0|0.0|0|0.0|0
0|2020-04-13|81.0|0|0.0|0|0.0|0
0|2020-04-14|87.0|0|0.0|0|0.0|0
0|2020-04-15|89.0|0|1.0|0|0.0|0
0|2020-04-16|89.0|0|1.0|0|0.0|0
0|2020-04-17|89.0|0|1.0|0|0.0|0
0|2020-04-18|89.0|0|1.0|0|0.0|0
0|2020-04-19|93.0|0|1.0|0|0.0|0
0|2020-04-20|93.0|0|1.0|0|0.0|0
0|2020-04-21|95.0|0|1.0|0|0.0|0
0|2020-04-22|96.0|0|1.0|0|0.0|0
0|2020-04-23|105.0|0|2.0|0|0.0|0
0|2020-04-24|105.0|0|2.0|0|0.0|0
0|2020-04-25|114.0|0|2.0|0|0.0|0
0|2020-04-26|117.0|0|2.0|0|0.0|0
0|2020-04-27|121.0|0|2.0|0|0.0|0
0|2020-04-28|127.0|0|3.0|0|0.0|0
0|2020-04-29|127.0|0|3.0|0|0.0|0
0|2020-04-30|132.0|0|3.0|0|0.0|0
0|2020-05-01|137.0|0|3.0|0|0.0|0
0|2020-05-02|139.0|0|5.0|0|0.0|0
0|2020-05-03|139.0|0|5.0|0|0.0|0
0|2020-05-04|139.0|0|5.0|0|0.0|0
0|2020-05-05|143.0|0|5.0|0|0.0|0
0|2020-05-06|146.0|0|5.0|0|0.0|0
0|2020-05-07|146.0|0|5.0|0|0.0|0
0|2020-05-08|146.0|0|5.0|0|0.0|0
0|2020-05-09|148.0|0|5.0|0|0.0|0
0|2020-05-10|150.0|0|5.0|0|0.0|0
0|2020-05-11|150.0|0|5.0|0|0.0|0
0|2020-05-12|150.0|0|6.0|0|0.0|0
0|2020-05-13|150.0|0|6.0|0|0.0|0
