|dates|Kane_Illinois_UnitedStates.JHU_ConfirmedCases.data|Kane_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Kane_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Kane_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Kane_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Kane_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|3.0|0|0.0|0|0.0|0
0|2020-03-15|3.0|0|0.0|0|0.0|0
0|2020-03-16|4.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|4.0|0|0.0|0|0.0|0
0|2020-03-19|6.0|0|0.0|0|0.0|0
0|2020-03-20|6.0|0|0.0|0|0.0|0
0|2020-03-21|8.0|0|0.0|0|0.0|0
0|2020-03-22|13.0|0|0.0|0|0.0|0
0|2020-03-23|18.0|0|0.0|0|0.0|0
0|2020-03-24|24.0|0|0.0|0|0.0|0
0|2020-03-25|38.0|0|1.0|0|0.0|0
0|2020-03-26|38.0|0|1.0|0|0.0|0
0|2020-03-27|75.0|0|2.0|0|0.0|0
0|2020-03-28|90.0|0|4.0|0|0.0|0
0|2020-03-29|100.0|0|6.0|0|0.0|0
0|2020-03-30|113.0|0|6.0|0|0.0|0
0|2020-03-31|128.0|0|7.0|0|0.0|0
0|2020-04-01|142.0|0|8.0|0|0.0|0
0|2020-04-02|154.0|0|8.0|0|0.0|0
0|2020-04-03|176.0|0|9.0|0|0.0|0
0|2020-04-04|207.0|0|12.0|0|0.0|0
0|2020-04-05|220.0|0|15.0|0|0.0|0
0|2020-04-06|234.0|0|15.0|0|0.0|0
0|2020-04-07|234.0|0|15.0|0|0.0|0
0|2020-04-08|296.0|0|19.0|0|0.0|0
0|2020-04-09|296.0|0|19.0|0|0.0|0
0|2020-04-10|339.0|0|22.0|0|0.0|0
0|2020-04-11|376.0|0|22.0|0|0.0|0
0|2020-04-12|403.0|0|23.0|0|0.0|0
0|2020-04-13|421.0|0|24.0|0|0.0|0
0|2020-04-14|448.0|0|24.0|0|0.0|0
0|2020-04-15|463.0|0|24.0|0|0.0|0
0|2020-04-16|490.0|0|25.0|0|0.0|0
0|2020-04-17|538.0|0|28.0|0|0.0|0
0|2020-04-18|582.0|0|29.0|0|0.0|0
0|2020-04-19|605.0|0|30.0|0|0.0|0
0|2020-04-20|638.0|0|31.0|0|0.0|0
0|2020-04-21|684.0|0|33.0|0|0.0|0
0|2020-04-22|764.0|0|37.0|0|0.0|0
0|2020-04-23|863.0|0|39.0|0|0.0|0
0|2020-04-24|962.0|0|39.0|0|0.0|0
0|2020-04-25|1049.0|0|38.0|0|0.0|0
0|2020-04-26|1109.0|0|39.0|0|0.0|0
0|2020-04-27|1185.0|0|39.0|0|0.0|0
0|2020-04-28|1308.0|0|41.0|0|0.0|0
0|2020-04-29|1412.0|0|45.0|0|0.0|0
0|2020-04-30|1526.0|0|48.0|0|0.0|0
0|2020-05-01|1677.0|0|52.0|0|0.0|0
0|2020-05-02|1803.0|0|54.0|0|0.0|0
0|2020-05-03|1935.0|0|57.0|0|0.0|0
0|2020-05-04|2115.0|0|57.0|0|0.0|0
0|2020-05-05|2206.0|0|65.0|0|0.0|0
0|2020-05-06|2331.0|0|74.0|0|0.0|0
0|2020-05-07|2498.0|0|77.0|0|0.0|0
0|2020-05-08|2668.0|0|84.0|0|0.0|0
0|2020-05-09|2818.0|0|88.0|0|0.0|0
0|2020-05-10|3003.0|0|89.0|0|0.0|0
0|2020-05-11|3003.0|0|89.0|0|0.0|0
0|2020-05-12|3592.0|0|93.0|0|0.0|0
0|2020-05-13|3744.0|0|98.0|0|0.0|0
