|dates|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedCases.data|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|2.0|0|0.0|0|0.0|0
0|2020-03-11|2.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|2.0|0|0.0|0|0.0|0
0|2020-03-15|4.0|0|0.0|0|0.0|0
0|2020-03-16|5.0|0|0.0|0|0.0|0
0|2020-03-17|7.0|0|0.0|0|0.0|0
0|2020-03-18|7.0|0|0.0|0|0.0|0
0|2020-03-19|12.0|0|0.0|0|0.0|0
0|2020-03-20|23.0|0|0.0|0|0.0|0
0|2020-03-21|23.0|0|1.0|0|0.0|0
0|2020-03-22|27.0|0|1.0|0|0.0|0
0|2020-03-23|34.0|0|1.0|0|0.0|0
0|2020-03-24|45.0|0|1.0|0|0.0|0
0|2020-03-25|48.0|0|1.0|0|0.0|0
0|2020-03-26|75.0|0|1.0|0|0.0|0
0|2020-03-27|102.0|0|1.0|0|0.0|0
0|2020-03-28|129.0|0|1.0|0|0.0|0
0|2020-03-29|143.0|0|1.0|0|0.0|0
0|2020-03-30|158.0|0|1.0|0|0.0|0
0|2020-03-31|238.0|0|2.0|0|0.0|0
0|2020-04-01|250.0|0|4.0|0|0.0|0
0|2020-04-02|282.0|0|6.0|0|0.0|0
0|2020-04-03|329.0|0|8.0|0|0.0|0
0|2020-04-04|364.0|0|8.0|0|0.0|0
0|2020-04-05|408.0|0|8.0|0|0.0|0
0|2020-04-06|443.0|0|10.0|0|0.0|0
0|2020-04-07|525.0|0|10.0|0|0.0|0
0|2020-04-08|565.0|0|15.0|0|0.0|0
0|2020-04-09|603.0|0|17.0|0|0.0|0
0|2020-04-10|646.0|0|17.0|0|0.0|0
0|2020-04-11|675.0|0|18.0|0|0.0|0
0|2020-04-12|690.0|0|18.0|0|0.0|0
0|2020-04-13|739.0|0|22.0|0|0.0|0
0|2020-04-14|815.0|0|29.0|0|0.0|0
0|2020-04-15|852.0|0|29.0|0|0.0|0
0|2020-04-16|896.0|0|32.0|0|0.0|0
0|2020-04-17|1017.0|0|36.0|0|0.0|0
0|2020-04-18|1050.0|0|36.0|0|0.0|0
0|2020-04-19|1099.0|0|38.0|0|0.0|0
0|2020-04-20|1181.0|0|42.0|0|0.0|0
0|2020-04-21|1222.0|0|42.0|0|0.0|0
0|2020-04-22|1273.0|0|46.0|0|0.0|0
0|2020-04-23|1351.0|0|46.0|0|0.0|0
0|2020-04-24|1382.0|0|46.0|0|0.0|0
0|2020-04-25|1460.0|0|46.0|0|0.0|0
0|2020-04-26|1504.0|0|47.0|0|0.0|0
0|2020-04-27|1545.0|0|52.0|0|0.0|0
0|2020-04-28|1603.0|0|54.0|0|0.0|0
0|2020-04-29|1720.0|0|55.0|0|0.0|0
0|2020-04-30|1787.0|0|57.0|0|0.0|0
0|2020-05-01|1846.0|0|58.0|0|0.0|0
0|2020-05-02|1934.0|0|58.0|0|0.0|0
0|2020-05-03|1976.0|0|58.0|0|0.0|0
0|2020-05-04|2056.0|0|65.0|0|0.0|0
0|2020-05-05|2102.0|0|77.0|0|0.0|0
0|2020-05-06|2222.0|0|81.0|0|0.0|0
0|2020-05-07|2253.0|0|84.0|0|0.0|0
0|2020-05-08|2323.0|0|87.0|0|0.0|0
0|2020-05-09|2403.0|0|87.0|0|0.0|0
0|2020-05-10|2447.0|0|87.0|0|0.0|0
0|2020-05-11|2447.0|0|87.0|0|0.0|0
0|2020-05-12|2496.0|0|101.0|0|0.0|0
0|2020-05-13|2510.0|0|101.0|0|0.0|0
