|dates|Pickaway_Ohio_UnitedStates.JHU_ConfirmedCases.data|Pickaway_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Pickaway_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Pickaway_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Pickaway_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Pickaway_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|2.0|0|0.0|0|0.0|0
0|2020-03-27|2.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|4.0|0|0.0|0|0.0|0
0|2020-03-30|5.0|0|0.0|0|0.0|0
0|2020-03-31|12.0|0|0.0|0|0.0|0
0|2020-04-01|12.0|0|0.0|0|0.0|0
0|2020-04-02|11.0|0|0.0|0|0.0|0
0|2020-04-03|13.0|0|0.0|0|0.0|0
0|2020-04-04|20.0|0|0.0|0|0.0|0
0|2020-04-05|29.0|0|0.0|0|0.0|0
0|2020-04-06|29.0|0|0.0|0|0.0|0
0|2020-04-07|31.0|0|0.0|0|0.0|0
0|2020-04-08|35.0|0|0.0|0|0.0|0
0|2020-04-09|39.0|0|0.0|0|0.0|0
0|2020-04-10|44.0|0|0.0|0|0.0|0
0|2020-04-11|51.0|0|0.0|0|0.0|0
0|2020-04-12|58.0|0|0.0|0|0.0|0
0|2020-04-13|83.0|0|0.0|0|0.0|0
0|2020-04-14|97.0|0|0.0|0|0.0|0
0|2020-04-15|172.0|0|0.0|0|0.0|0
0|2020-04-16|196.0|0|4.0|0|0.0|0
0|2020-04-17|253.0|0|4.0|0|0.0|0
0|2020-04-18|302.0|0|4.0|0|0.0|0
0|2020-04-19|477.0|0|4.0|0|0.0|0
0|2020-04-20|1246.0|0|5.0|0|0.0|0
0|2020-04-21|1635.0|0|5.0|0|0.0|0
0|2020-04-22|1658.0|0|5.0|0|0.0|0
0|2020-04-23|1661.0|0|5.0|0|0.0|0
0|2020-04-24|1659.0|0|5.0|0|0.0|0
0|2020-04-25|1662.0|0|5.0|0|0.0|0
0|2020-04-26|1662.0|0|5.0|0|0.0|0
0|2020-04-27|1698.0|0|5.0|0|0.0|0
0|2020-04-28|1706.0|0|7.0|0|0.0|0
0|2020-04-29|1722.0|0|20.0|0|0.0|0
0|2020-04-30|1732.0|0|21.0|0|0.0|0
0|2020-05-01|1731.0|0|22.0|0|0.0|0
0|2020-05-02|1724.0|0|22.0|0|0.0|0
0|2020-05-03|1729.0|0|22.0|0|0.0|0
0|2020-05-04|1828.0|0|22.0|0|0.0|0
0|2020-05-05|1831.0|0|22.0|0|0.0|0
0|2020-05-06|1836.0|0|22.0|0|0.0|0
0|2020-05-07|1841.0|0|23.0|0|0.0|0
0|2020-05-08|1842.0|0|23.0|0|0.0|0
0|2020-05-09|1844.0|0|23.0|0|0.0|0
0|2020-05-10|1845.0|0|23.0|0|0.0|0
0|2020-05-11|1845.0|0|23.0|0|0.0|0
0|2020-05-12|1955.0|0|24.0|0|0.0|0
0|2020-05-13|1958.0|0|25.0|0|0.0|0
