|dates|Polk_Florida_UnitedStates.JHU_ConfirmedCases.data|Polk_Florida_UnitedStates.JHU_ConfirmedCases.missing|Polk_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Polk_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Polk_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Polk_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|4.0|0|0.0|0|0.0|0
0|2020-03-20|9.0|0|0.0|0|0.0|0
0|2020-03-21|10.0|0|0.0|0|0.0|0
0|2020-03-22|11.0|0|0.0|0|0.0|0
0|2020-03-23|13.0|0|0.0|0|0.0|0
0|2020-03-24|13.0|0|0.0|0|0.0|0
0|2020-03-25|14.0|0|0.0|0|0.0|0
0|2020-03-26|17.0|0|0.0|0|0.0|0
0|2020-03-27|26.0|0|0.0|0|0.0|0
0|2020-03-28|34.0|0|0.0|0|0.0|0
0|2020-03-29|39.0|0|0.0|0|0.0|0
0|2020-03-30|55.0|0|0.0|0|0.0|0
0|2020-03-31|73.0|0|1.0|0|0.0|0
0|2020-04-01|76.0|0|1.0|0|0.0|0
0|2020-04-02|103.0|0|2.0|0|0.0|0
0|2020-04-03|126.0|0|2.0|0|0.0|0
0|2020-04-04|142.0|0|4.0|0|0.0|0
0|2020-04-05|157.0|0|4.0|0|0.0|0
0|2020-04-06|176.0|0|4.0|0|0.0|0
0|2020-04-07|197.0|0|5.0|0|0.0|0
0|2020-04-08|206.0|0|5.0|0|0.0|0
0|2020-04-09|212.0|0|6.0|0|0.0|0
0|2020-04-10|237.0|0|8.0|0|0.0|0
0|2020-04-11|242.0|0|8.0|0|0.0|0
0|2020-04-12|254.0|0|8.0|0|0.0|0
0|2020-04-13|270.0|0|9.0|0|0.0|0
0|2020-04-14|279.0|0|10.0|0|0.0|0
0|2020-04-15|286.0|0|10.0|0|0.0|0
0|2020-04-16|304.0|0|11.0|0|0.0|0
0|2020-04-17|316.0|0|12.0|0|0.0|0
0|2020-04-18|320.0|0|12.0|0|0.0|0
0|2020-04-19|326.0|0|12.0|0|0.0|0
0|2020-04-20|335.0|0|14.0|0|0.0|0
0|2020-04-21|356.0|0|15.0|0|0.0|0
0|2020-04-22|361.0|0|15.0|0|0.0|0
0|2020-04-23|379.0|0|17.0|0|0.0|0
0|2020-04-24|393.0|0|18.0|0|0.0|0
0|2020-04-25|400.0|0|18.0|0|0.0|0
0|2020-04-26|410.0|0|18.0|0|0.0|0
0|2020-04-27|441.0|0|18.0|0|0.0|0
0|2020-04-28|457.0|0|20.0|0|0.0|0
0|2020-04-29|468.0|0|22.0|0|0.0|0
0|2020-04-30|483.0|0|23.0|0|0.0|0
0|2020-05-01|500.0|0|24.0|0|0.0|0
0|2020-05-02|514.0|0|26.0|0|0.0|0
0|2020-05-03|523.0|0|26.0|0|0.0|0
0|2020-05-04|536.0|0|26.0|0|0.0|0
0|2020-05-05|547.0|0|28.0|0|0.0|0
0|2020-05-06|564.0|0|30.0|0|0.0|0
0|2020-05-07|594.0|0|30.0|0|0.0|0
0|2020-05-08|601.0|0|31.0|0|0.0|0
0|2020-05-09|623.0|0|33.0|0|0.0|0
0|2020-05-10|636.0|0|33.0|0|0.0|0
0|2020-05-11|636.0|0|33.0|0|0.0|0
0|2020-05-12|675.0|0|35.0|0|0.0|0
0|2020-05-13|687.0|0|36.0|0|0.0|0
