|dates|Yolo_California_UnitedStates.JHU_ConfirmedCases.data|Yolo_California_UnitedStates.JHU_ConfirmedCases.missing|Yolo_California_UnitedStates.JHU_ConfirmedDeaths.data|Yolo_California_UnitedStates.JHU_ConfirmedDeaths.missing|Yolo_California_UnitedStates.JHU_ConfirmedRecoveries.data|Yolo_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|1.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|2.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|4.0|0|0.0|0|0.0|0
0|2020-03-18|4.0|0|0.0|0|0.0|0
0|2020-03-19|5.0|0|0.0|0|0.0|0
0|2020-03-20|5.0|0|0.0|0|0.0|0
0|2020-03-21|6.0|0|0.0|0|0.0|0
0|2020-03-22|6.0|0|0.0|0|0.0|0
0|2020-03-23|6.0|0|1.0|0|0.0|0
0|2020-03-24|8.0|0|1.0|0|0.0|0
0|2020-03-25|10.0|0|1.0|0|0.0|0
0|2020-03-26|11.0|0|1.0|0|0.0|0
0|2020-03-27|13.0|0|1.0|0|0.0|0
0|2020-03-28|16.0|0|1.0|0|0.0|0
0|2020-03-29|16.0|0|1.0|0|0.0|0
0|2020-03-30|16.0|0|1.0|0|0.0|0
0|2020-03-31|24.0|0|1.0|0|0.0|0
0|2020-04-01|25.0|0|1.0|0|0.0|0
0|2020-04-02|28.0|0|1.0|0|0.0|0
0|2020-04-03|33.0|0|1.0|0|0.0|0
0|2020-04-04|37.0|0|1.0|0|0.0|0
0|2020-04-05|37.0|0|1.0|0|0.0|0
0|2020-04-06|37.0|0|1.0|0|0.0|0
0|2020-04-07|50.0|0|1.0|0|0.0|0
0|2020-04-08|56.0|0|2.0|0|0.0|0
0|2020-04-09|67.0|0|2.0|0|0.0|0
0|2020-04-10|71.0|0|3.0|0|0.0|0
0|2020-04-11|75.0|0|3.0|0|0.0|0
0|2020-04-12|88.0|0|3.0|0|0.0|0
0|2020-04-13|93.0|0|3.0|0|0.0|0
0|2020-04-14|101.0|0|4.0|0|0.0|0
0|2020-04-15|102.0|0|4.0|0|0.0|0
0|2020-04-16|116.0|0|7.0|0|0.0|0
0|2020-04-17|125.0|0|7.0|0|0.0|0
0|2020-04-18|126.0|0|8.0|0|0.0|0
0|2020-04-19|137.0|0|8.0|0|0.0|0
0|2020-04-20|137.0|0|9.0|0|0.0|0
0|2020-04-21|142.0|0|10.0|0|0.0|0
0|2020-04-22|146.0|0|10.0|0|0.0|0
0|2020-04-23|151.0|0|12.0|0|0.0|0
0|2020-04-24|157.0|0|13.0|0|0.0|0
0|2020-04-25|157.0|0|13.0|0|0.0|0
0|2020-04-26|161.0|0|13.0|0|0.0|0
0|2020-04-27|161.0|0|14.0|0|0.0|0
0|2020-04-28|162.0|0|16.0|0|0.0|0
0|2020-04-29|163.0|0|16.0|0|0.0|0
0|2020-04-30|164.0|0|16.0|0|0.0|0
0|2020-05-01|169.0|0|16.0|0|0.0|0
0|2020-05-02|169.0|0|16.0|0|0.0|0
0|2020-05-03|171.0|0|17.0|0|0.0|0
0|2020-05-04|171.0|0|19.0|0|0.0|0
0|2020-05-05|171.0|0|19.0|0|0.0|0
0|2020-05-06|172.0|0|20.0|0|0.0|0
0|2020-05-07|172.0|0|20.0|0|0.0|0
0|2020-05-08|172.0|0|20.0|0|0.0|0
0|2020-05-09|172.0|0|20.0|0|0.0|0
0|2020-05-10|172.0|0|20.0|0|0.0|0
0|2020-05-11|172.0|0|20.0|0|0.0|0
0|2020-05-12|177.0|0|22.0|0|0.0|0
0|2020-05-13|177.0|0|22.0|0|0.0|0
