|dates|Kalawao_Hawaii_UnitedStates.JHU_ConfirmedCases.data|Kalawao_Hawaii_UnitedStates.JHU_ConfirmedCases.missing|Kalawao_Hawaii_UnitedStates.JHU_ConfirmedDeaths.data|Kalawao_Hawaii_UnitedStates.JHU_ConfirmedDeaths.missing|Kalawao_Hawaii_UnitedStates.JHU_ConfirmedRecoveries.data|Kalawao_Hawaii_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|3.0|0|0.0|0|0.0|0
0|2020-03-11|2.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|4.0|0|0.0|0|0.0|0
0|2020-03-15|6.0|0|0.0|0|0.0|0
0|2020-03-16|8.0|0|0.0|0|0.0|0
0|2020-03-17|10.0|0|0.0|0|0.0|0
0|2020-03-18|15.0|0|0.0|0|0.0|0
0|2020-03-19|25.0|0|0.0|0|0.0|0
0|2020-03-20|36.0|0|0.0|0|0.0|0
0|2020-03-21|36.0|0|0.0|0|0.0|0
0|2020-03-22|53.0|0|0.0|0|0.0|0
0|2020-03-23|56.0|0|0.0|0|0.0|0
0|2020-03-24|90.0|0|1.0|0|0.0|0
0|2020-03-25|91.0|0|0.0|0|0.0|0
0|2020-03-26|95.0|0|0.0|0|0.0|0
0|2020-03-27|106.0|0|0.0|0|0.0|0
0|2020-03-28|149.0|0|0.0|0|0.0|0
0|2020-03-29|149.0|0|0.0|0|0.0|0
0|2020-03-30|175.0|0|0.0|0|0.0|0
0|2020-03-31|204.0|0|0.0|0|0.0|0
0|2020-04-01|224.0|0|1.0|0|0.0|0
0|2020-04-02|256.0|0|1.0|0|0.0|0
0|2020-04-03|319.0|0|3.0|0|0.0|0
0|2020-04-04|351.0|0|3.0|0|0.0|0
0|2020-04-05|371.0|0|4.0|0|0.0|0
0|2020-04-06|387.0|0|5.0|0|0.0|0
0|2020-04-07|410.0|0|5.0|0|0.0|0
0|2020-04-08|410.0|0|5.0|0|0.0|0
0|2020-04-09|442.0|0|6.0|0|0.0|0
0|2020-04-10|442.0|0|6.0|0|0.0|0
0|2020-04-11|465.0|0|8.0|0|0.0|0
0|2020-04-12|499.0|0|9.0|0|0.0|0
0|2020-04-13|504.0|0|9.0|0|0.0|0
0|2020-04-14|513.0|0|9.0|0|0.0|0
0|2020-04-15|526.0|0|9.0|0|0.0|0
0|2020-04-16|530.0|0|9.0|0|0.0|0
0|2020-04-17|541.0|0|9.0|0|0.0|0
0|2020-04-18|574.0|0|9.0|0|0.0|0
0|2020-04-19|580.0|0|10.0|0|0.0|0
0|2020-04-20|584.0|0|10.0|0|0.0|0
0|2020-04-21|586.0|0|10.0|0|0.0|0
0|2020-04-22|592.0|0|12.0|0|0.0|0
0|2020-04-23|596.0|0|12.0|0|0.0|0
0|2020-04-24|601.0|0|13.0|0|0.0|0
0|2020-04-25|605.0|0|13.0|0|0.0|0
0|2020-04-26|606.0|0|14.0|0|0.0|0
0|2020-04-27|607.0|0|16.0|0|0.0|0
0|2020-04-28|609.0|0|16.0|0|0.0|0
0|2020-04-29|613.0|0|16.0|0|0.0|0
0|2020-04-30|618.0|0|16.0|0|0.0|0
0|2020-05-01|619.0|0|16.0|0|0.0|0
0|2020-05-02|620.0|0|16.0|0|0.0|0
0|2020-05-03|620.0|0|17.0|0|0.0|0
0|2020-05-04|621.0|0|17.0|0|0.0|0
0|2020-05-05|625.0|0|17.0|0|0.0|0
0|2020-05-06|625.0|0|17.0|0|0.0|0
0|2020-05-07|625.0|0|17.0|0|0.0|0
0|2020-05-08|625.0|0|17.0|0|0.0|0
0|2020-05-09|625.0|0|17.0|0|0.0|0
0|2020-05-10|625.0|0|17.0|0|0.0|0
0|2020-05-11|625.0|0|17.0|0|0.0|0
0|2020-05-12|625.0|0|17.0|0|0.0|0
0|2020-05-13|625.0|0|17.0|0|0.0|0
