|dates|Cook_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Cook_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Cook_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Cook_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Cook_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Cook_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|1.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|2.0|0|0.0|0|0.0|0
0|2020-03-10|2.0|0|0.0|0|0.0|0
0|2020-03-11|5.0|0|0.0|0|0.0|0
0|2020-03-12|9.0|0|0.0|0|0.0|0
0|2020-03-13|14.0|0|0.0|0|0.0|0
0|2020-03-14|21.0|0|0.0|0|0.0|0
0|2020-03-15|21.0|0|0.0|0|0.0|0
0|2020-03-16|53.0|0|0.0|0|0.0|0
0|2020-03-17|59.0|0|0.0|0|0.0|0
0|2020-03-18|77.0|0|0.0|0|0.0|0
0|2020-03-19|89.0|0|0.0|0|0.0|0
0|2020-03-20|113.0|0|0.0|0|0.0|0
0|2020-03-21|134.0|0|1.0|0|0.0|0
0|2020-03-22|167.0|0|1.0|0|0.0|0
0|2020-03-23|235.0|0|1.0|0|0.0|0
0|2020-03-24|263.0|0|1.0|0|0.0|0
0|2020-03-25|288.0|0|1.0|0|0.0|0
0|2020-03-26|346.0|0|2.0|0|0.0|0
0|2020-03-27|397.0|0|4.0|0|0.0|0
0|2020-03-28|442.0|0|5.0|0|0.0|0
0|2020-03-29|504.0|0|9.0|0|0.0|0
0|2020-03-30|577.0|0|10.0|0|0.0|0
0|2020-03-31|630.0|0|12.0|0|0.0|0
0|2020-04-01|690.0|0|17.0|0|0.0|0
0|2020-04-02|743.0|0|18.0|0|0.0|0
0|2020-04-03|789.0|0|22.0|0|0.0|0
0|2020-04-04|866.0|0|24.0|0|0.0|0
0|2020-04-05|936.0|0|29.0|0|0.0|0
0|2020-04-06|987.0|0|30.0|0|0.0|0
0|2020-04-07|1070.0|0|34.0|0|0.0|0
0|2020-04-08|1155.0|0|39.0|0|0.0|0
0|2020-04-09|1241.0|0|50.0|0|0.0|0
0|2020-04-10|1337.0|0|57.0|0|0.0|0
0|2020-04-11|1428.0|0|64.0|0|0.0|0
0|2020-04-12|1622.0|0|70.0|0|0.0|0
0|2020-04-13|1622.0|0|70.0|0|0.0|0
0|2020-04-14|1696.0|0|79.0|0|0.0|0
0|2020-04-15|1810.0|0|87.0|0|0.0|0
0|2020-04-16|1810.0|0|87.0|0|0.0|0
0|2020-04-17|2071.0|0|111.0|0|0.0|0
0|2020-04-18|2210.0|0|121.0|0|0.0|0
0|2020-04-19|2357.0|0|134.0|0|0.0|0
0|2020-04-20|2471.0|0|143.0|0|0.0|0
0|2020-04-21|2568.0|0|160.0|0|0.0|0
0|2020-04-22|2723.0|0|179.0|0|0.0|0
0|2020-04-23|2943.0|0|200.0|0|0.0|0
0|2020-04-24|3186.0|0|221.0|0|0.0|0
0|2020-04-25|3447.0|0|244.0|0|0.0|0
0|2020-04-26|3603.0|0|272.0|0|0.0|0
0|2020-04-27|3812.0|0|286.0|0|0.0|0
0|2020-04-28|4182.0|0|301.0|0|0.0|0
0|2020-04-29|4645.0|0|319.0|0|0.0|0
0|2020-04-30|5137.0|0|343.0|0|0.0|0
0|2020-05-01|5731.0|0|370.0|0|0.0|0
0|2020-05-02|6233.0|0|394.0|0|0.0|0
0|2020-05-03|6664.0|0|418.0|0|0.0|0
0|2020-05-04|7235.0|0|427.0|0|0.0|0
0|2020-05-05|7852.0|0|455.0|0|0.0|0
0|2020-05-06|7852.0|0|455.0|0|0.0|0
0|2020-05-07|7852.0|0|455.0|0|0.0|0
0|2020-05-08|7852.0|0|455.0|0|0.0|0
0|2020-05-09|7852.0|0|455.0|0|0.0|0
0|2020-05-10|7852.0|0|455.0|0|0.0|0
0|2020-05-11|7852.0|0|455.0|0|0.0|0
0|2020-05-12|7852.0|0|455.0|0|0.0|0
0|2020-05-13|7852.0|0|455.0|0|0.0|0
