|dates|Boone_Illinois_UnitedStates.JHU_ConfirmedCases.data|Boone_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Boone_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Boone_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Boone_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Boone_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|0.0|0|0.0|0|0.0|0
0|2020-03-28|0.0|0|0.0|0|0.0|0
0|2020-03-29|0.0|0|0.0|0|0.0|0
0|2020-03-30|0.0|0|0.0|0|0.0|0
0|2020-03-31|0.0|0|0.0|0|0.0|0
0|2020-04-01|0.0|0|0.0|0|0.0|0
0|2020-04-02|0.0|0|0.0|0|0.0|0
0|2020-04-03|0.0|0|0.0|0|0.0|0
0|2020-04-04|0.0|0|0.0|0|0.0|0
0|2020-04-05|3.0|0|0.0|0|0.0|0
0|2020-04-06|4.0|0|0.0|0|0.0|0
0|2020-04-07|4.0|0|0.0|0|0.0|0
0|2020-04-08|7.0|0|1.0|0|0.0|0
0|2020-04-09|7.0|0|1.0|0|0.0|0
0|2020-04-10|7.0|0|1.0|0|0.0|0
0|2020-04-11|7.0|0|1.0|0|0.0|0
0|2020-04-12|7.0|0|1.0|0|0.0|0
0|2020-04-13|13.0|0|1.0|0|0.0|0
0|2020-04-14|13.0|0|1.0|0|0.0|0
0|2020-04-15|16.0|0|1.0|0|0.0|0
0|2020-04-16|18.0|0|1.0|0|0.0|0
0|2020-04-17|21.0|0|2.0|0|0.0|0
0|2020-04-18|29.0|0|2.0|0|0.0|0
0|2020-04-19|30.0|0|2.0|0|0.0|0
0|2020-04-20|33.0|0|3.0|0|0.0|0
0|2020-04-21|35.0|0|6.0|0|0.0|0
0|2020-04-22|41.0|0|6.0|0|0.0|0
0|2020-04-23|54.0|0|7.0|0|0.0|0
0|2020-04-24|60.0|0|8.0|0|0.0|0
0|2020-04-25|71.0|0|8.0|0|0.0|0
0|2020-04-26|76.0|0|8.0|0|0.0|0
0|2020-04-27|79.0|0|9.0|0|0.0|0
0|2020-04-28|81.0|0|9.0|0|0.0|0
0|2020-04-29|89.0|0|9.0|0|0.0|0
0|2020-04-30|98.0|0|9.0|0|0.0|0
0|2020-05-01|113.0|0|9.0|0|0.0|0
0|2020-05-02|129.0|0|11.0|0|0.0|0
0|2020-05-03|138.0|0|11.0|0|0.0|0
0|2020-05-04|144.0|0|10.0|0|0.0|0
0|2020-05-05|146.0|0|10.0|0|0.0|0
0|2020-05-06|155.0|0|10.0|0|0.0|0
0|2020-05-07|168.0|0|11.0|0|0.0|0
0|2020-05-08|177.0|0|12.0|0|0.0|0
0|2020-05-09|185.0|0|11.0|0|0.0|0
0|2020-05-10|193.0|0|11.0|0|0.0|0
0|2020-05-11|193.0|0|11.0|0|0.0|0
0|2020-05-12|244.0|0|13.0|0|0.0|0
0|2020-05-13|253.0|0|13.0|0|0.0|0
