|dates|Wayne_Michigan_UnitedStates.JHU_ConfirmedCases.data|Wayne_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Wayne_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Wayne_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Wayne_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Wayne_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|6.0|0|0.0|0|0.0|0
0|2020-03-15|8.0|0|0.0|0|0.0|0
0|2020-03-16|14.0|0|0.0|0|0.0|0
0|2020-03-17|14.0|0|0.0|0|0.0|0
0|2020-03-18|23.0|0|1.0|0|0.0|0
0|2020-03-19|44.0|0|1.0|0|0.0|0
0|2020-03-20|67.0|0|1.0|0|0.0|0
0|2020-03-21|102.0|0|1.0|0|0.0|0
0|2020-03-22|477.0|0|5.0|0|0.0|0
0|2020-03-23|638.0|0|8.0|0|0.0|0
0|2020-03-24|876.0|0|13.0|0|0.0|0
0|2020-03-25|1122.0|0|21.0|0|0.0|0
0|2020-03-26|1389.0|0|26.0|0|0.0|0
0|2020-03-27|1810.0|0|37.0|0|0.0|0
0|2020-03-28|2316.0|0|46.0|0|0.0|0
0|2020-03-29|2704.0|0|56.0|0|0.0|0
0|2020-03-30|3195.0|0|83.0|0|0.0|0
0|2020-03-31|3735.0|0|120.0|0|0.0|0
0|2020-04-01|4470.0|0|146.0|0|0.0|0
0|2020-04-02|5069.0|0|194.0|0|0.0|0
0|2020-04-03|6096.0|0|223.0|0|0.0|0
0|2020-04-04|6762.0|0|252.0|0|0.0|0
0|2020-04-05|7518.0|0|293.0|0|0.0|0
0|2020-04-06|8270.0|0|346.0|0|0.0|0
0|2020-04-07|9045.0|0|402.0|0|0.0|0
0|2020-04-08|9626.0|0|446.0|0|0.0|0
0|2020-04-09|10093.0|0|504.0|0|0.0|0
0|2020-04-10|10539.0|0|609.0|0|0.0|0
0|2020-04-11|10951.0|0|652.0|0|0.0|0
0|2020-04-12|11164.0|0|704.0|0|0.0|0
0|2020-04-13|11648.0|0|760.0|0|0.0|0
0|2020-04-14|12209.0|0|820.0|0|0.0|0
0|2020-04-15|12544.0|0|884.0|0|0.0|0
0|2020-04-16|12544.0|0|884.0|0|0.0|0
0|2020-04-17|13233.0|0|1044.0|0|0.0|0
0|2020-04-18|13471.0|0|1070.0|0|0.0|0
0|2020-04-19|13692.0|0|1119.0|0|0.0|0
0|2020-04-20|13912.0|0|1148.0|0|0.0|0
0|2020-04-21|13912.0|0|1148.0|0|0.0|0
0|2020-04-22|14561.0|0|1319.0|0|0.0|0
0|2020-04-23|14994.0|0|1396.0|0|0.0|0
0|2020-04-24|15407.0|0|1443.0|0|0.0|0
0|2020-04-25|15407.0|0|1443.0|0|0.0|0
0|2020-04-26|15748.0|0|1580.0|0|0.0|0
0|2020-04-27|15872.0|0|1622.0|0|0.0|0
0|2020-04-28|16173.0|0|1682.0|0|0.0|0
0|2020-04-29|16494.0|0|1727.0|0|0.0|0
0|2020-04-30|16729.0|0|1782.0|0|0.0|0
0|2020-05-01|16970.0|0|1802.0|0|0.0|0
0|2020-05-02|17106.0|0|1884.0|0|0.0|0
0|2020-05-03|17298.0|0|1893.0|0|0.0|0
0|2020-05-04|17314.0|0|1924.0|0|0.0|0
0|2020-05-05|17391.0|0|1945.0|0|0.0|0
0|2020-05-06|17571.0|0|1973.0|0|0.0|0
0|2020-05-07|17667.0|0|2012.0|0|0.0|0
0|2020-05-08|17824.0|0|2028.0|0|0.0|0
0|2020-05-09|17960.0|0|2082.0|0|0.0|0
0|2020-05-10|18075.0|0|2097.0|0|0.0|0
0|2020-05-11|18075.0|0|2097.0|0|0.0|0
0|2020-05-12|18274.0|0|2140.0|0|0.0|0
0|2020-05-13|18389.0|0|2156.0|0|0.0|0
