|dates|Cuyahoga_Ohio_UnitedStates.JHU_ConfirmedCases.data|Cuyahoga_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Cuyahoga_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Cuyahoga_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Cuyahoga_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Cuyahoga_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|3.0|0|0.0|0|0.0|0
0|2020-03-11|3.0|0|0.0|0|0.0|0
0|2020-03-12|3.0|0|0.0|0|0.0|0
0|2020-03-13|6.0|0|0.0|0|0.0|0
0|2020-03-14|11.0|0|0.0|0|0.0|0
0|2020-03-15|11.0|0|0.0|0|0.0|0
0|2020-03-16|24.0|0|0.0|0|0.0|0
0|2020-03-17|31.0|0|0.0|0|0.0|0
0|2020-03-18|38.0|0|0.0|0|0.0|0
0|2020-03-19|53.0|0|0.0|0|0.0|0
0|2020-03-20|69.0|0|0.0|0|0.0|0
0|2020-03-21|92.0|0|0.0|0|0.0|0
0|2020-03-22|125.0|0|1.0|0|0.0|0
0|2020-03-23|149.0|0|1.0|0|0.0|0
0|2020-03-24|167.0|0|2.0|0|0.0|0
0|2020-03-25|206.0|0|2.0|0|0.0|0
0|2020-03-26|259.0|0|2.0|0|0.0|0
0|2020-03-27|330.0|0|2.0|0|0.0|0
0|2020-03-28|370.0|0|3.0|0|0.0|0
0|2020-03-29|440.0|0|3.0|0|0.0|0
0|2020-03-30|493.0|0|4.0|0|0.0|0
0|2020-03-31|527.0|0|6.0|0|0.0|0
0|2020-04-01|589.0|0|9.0|0|0.0|0
0|2020-04-02|663.0|0|12.0|0|0.0|0
0|2020-04-03|780.0|0|13.0|0|0.0|0
0|2020-04-04|781.0|0|13.0|0|0.0|0
0|2020-04-05|826.0|0|14.0|0|0.0|0
0|2020-04-06|871.0|0|15.0|0|0.0|0
0|2020-04-07|911.0|0|19.0|0|0.0|0
0|2020-04-08|960.0|0|23.0|0|0.0|0
0|2020-04-09|1014.0|0|23.0|0|0.0|0
0|2020-04-10|1052.0|0|23.0|0|0.0|0
0|2020-04-11|1113.0|0|22.0|0|0.0|0
0|2020-04-12|1152.0|0|23.0|0|0.0|0
0|2020-04-13|1197.0|0|24.0|0|0.0|0
0|2020-04-14|1239.0|0|33.0|0|0.0|0
0|2020-04-15|1281.0|0|39.0|0|0.0|0
0|2020-04-16|1331.0|0|42.0|0|0.0|0
0|2020-04-17|1383.0|0|48.0|0|0.0|0
0|2020-04-18|1453.0|0|52.0|0|0.0|0
0|2020-04-19|1466.0|0|53.0|0|0.0|0
0|2020-04-20|1577.0|0|55.0|0|0.0|0
0|2020-04-21|1653.0|0|64.0|0|0.0|0
0|2020-04-22|1713.0|0|79.0|0|0.0|0
0|2020-04-23|1768.0|0|83.0|0|0.0|0
0|2020-04-24|1817.0|0|91.0|0|0.0|0
0|2020-04-25|1867.0|0|91.0|0|0.0|0
0|2020-04-26|1902.0|0|91.0|0|0.0|0
0|2020-04-27|1938.0|0|96.0|0|0.0|0
0|2020-04-28|1984.0|0|109.0|0|0.0|0
0|2020-04-29|2030.0|0|110.0|0|0.0|0
0|2020-04-30|2126.0|0|112.0|0|0.0|0
0|2020-05-01|2217.0|0|115.0|0|0.0|0
0|2020-05-02|2305.0|0|115.0|0|0.0|0
0|2020-05-03|2338.0|0|120.0|0|0.0|0
0|2020-05-04|2398.0|0|121.0|0|0.0|0
0|2020-05-05|2428.0|0|128.0|0|0.0|0
0|2020-05-06|2542.0|0|131.0|0|0.0|0
0|2020-05-07|2591.0|0|136.0|0|0.0|0
0|2020-05-08|2668.0|0|143.0|0|0.0|0
0|2020-05-09|2755.0|0|145.0|0|0.0|0
0|2020-05-10|2795.0|0|146.0|0|0.0|0
0|2020-05-11|2795.0|0|146.0|0|0.0|0
0|2020-05-12|2908.0|0|151.0|0|0.0|0
0|2020-05-13|2979.0|0|153.0|0|0.0|0
