|dates|Kent_RhodeIsland_UnitedStates.JHU_ConfirmedCases.data|Kent_RhodeIsland_UnitedStates.JHU_ConfirmedCases.missing|Kent_RhodeIsland_UnitedStates.JHU_ConfirmedDeaths.data|Kent_RhodeIsland_UnitedStates.JHU_ConfirmedDeaths.missing|Kent_RhodeIsland_UnitedStates.JHU_ConfirmedRecoveries.data|Kent_RhodeIsland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|7.0|0|0.0|0|0.0|0
0|2020-03-23|7.0|0|0.0|0|0.0|0
0|2020-03-24|7.0|0|0.0|0|0.0|0
0|2020-03-25|7.0|0|0.0|0|0.0|0
0|2020-03-26|9.0|0|0.0|0|0.0|0
0|2020-03-27|9.0|0|0.0|0|0.0|0
0|2020-03-28|9.0|0|0.0|0|0.0|0
0|2020-03-29|27.0|0|0.0|0|0.0|0
0|2020-03-30|27.0|0|0.0|0|0.0|0
0|2020-03-31|31.0|0|0.0|0|0.0|0
0|2020-04-01|39.0|0|0.0|0|0.0|0
0|2020-04-02|59.0|0|0.0|0|0.0|0
0|2020-04-03|59.0|0|0.0|0|0.0|0
0|2020-04-04|59.0|0|0.0|0|0.0|0
0|2020-04-05|82.0|0|0.0|0|0.0|0
0|2020-04-06|92.0|0|0.0|0|0.0|0
0|2020-04-07|105.0|0|0.0|0|0.0|0
0|2020-04-08|137.0|0|0.0|0|0.0|0
0|2020-04-09|137.0|0|0.0|0|0.0|0
0|2020-04-10|151.0|0|0.0|0|0.0|0
0|2020-04-11|169.0|0|0.0|0|0.0|0
0|2020-04-12|169.0|0|0.0|0|0.0|0
0|2020-04-13|169.0|0|0.0|0|0.0|0
0|2020-04-14|169.0|0|0.0|0|0.0|0
0|2020-04-15|244.0|0|0.0|0|0.0|0
0|2020-04-16|249.0|0|0.0|0|0.0|0
0|2020-04-17|299.0|0|0.0|0|0.0|0
0|2020-04-18|299.0|0|0.0|0|0.0|0
0|2020-04-19|316.0|0|0.0|0|0.0|0
0|2020-04-20|366.0|0|0.0|0|0.0|0
0|2020-04-21|386.0|0|0.0|0|0.0|0
0|2020-04-22|412.0|0|0.0|0|0.0|0
0|2020-04-23|432.0|0|0.0|0|0.0|0
0|2020-04-24|466.0|0|0.0|0|0.0|0
0|2020-04-25|496.0|0|0.0|0|0.0|0
0|2020-04-26|526.0|0|0.0|0|0.0|0
0|2020-04-27|565.0|0|0.0|0|0.0|0
0|2020-04-28|574.0|0|0.0|0|0.0|0
0|2020-04-29|598.0|0|0.0|0|0.0|0
0|2020-04-30|622.0|0|0.0|0|0.0|0
0|2020-05-01|638.0|0|0.0|0|0.0|0
0|2020-05-02|675.0|0|0.0|0|0.0|0
0|2020-05-03|697.0|0|0.0|0|0.0|0
0|2020-05-04|703.0|0|0.0|0|0.0|0
0|2020-05-05|703.0|0|0.0|0|0.0|0
0|2020-05-06|703.0|0|0.0|0|0.0|0
0|2020-05-07|703.0|0|0.0|0|0.0|0
0|2020-05-08|703.0|0|0.0|0|0.0|0
0|2020-05-09|703.0|0|0.0|0|0.0|0
0|2020-05-10|703.0|0|0.0|0|0.0|0
0|2020-05-11|703.0|0|0.0|0|0.0|0
0|2020-05-12|850.0|0|0.0|0|0.0|0
0|2020-05-13|883.0|0|0.0|0|0.0|0
