|dates|EastBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedCases.data|EastBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|EastBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|EastBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|EastBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|EastBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|5.0|0|0.0|0|0.0|0
0|2020-03-20|7.0|0|0.0|0|0.0|0
0|2020-03-21|18.0|0|0.0|0|0.0|0
0|2020-03-22|18.0|0|0.0|0|0.0|0
0|2020-03-23|43.0|0|2.0|0|0.0|0
0|2020-03-24|58.0|0|2.0|0|0.0|0
0|2020-03-25|75.0|0|3.0|0|0.0|0
0|2020-03-26|105.0|0|4.0|0|0.0|0
0|2020-03-27|124.0|0|4.0|0|0.0|0
0|2020-03-28|153.0|0|4.0|0|0.0|0
0|2020-03-29|164.0|0|7.0|0|0.0|0
0|2020-03-30|188.0|0|9.0|0|0.0|0
0|2020-03-31|228.0|0|9.0|0|0.0|0
0|2020-04-01|244.0|0|10.0|0|0.0|0
0|2020-04-02|325.0|0|11.0|0|0.0|0
0|2020-04-03|389.0|0|13.0|0|0.0|0
0|2020-04-04|621.0|0|14.0|0|0.0|0
0|2020-04-05|656.0|0|22.0|0|0.0|0
0|2020-04-06|816.0|0|25.0|0|0.0|0
0|2020-04-07|892.0|0|31.0|0|0.0|0
0|2020-04-08|935.0|0|33.0|0|0.0|0
0|2020-04-09|1000.0|0|36.0|0|0.0|0
0|2020-04-10|1088.0|0|39.0|0|0.0|0
0|2020-04-11|1158.0|0|45.0|0|0.0|0
0|2020-04-12|1223.0|0|49.0|0|0.0|0
0|2020-04-13|1273.0|0|52.0|0|0.0|0
0|2020-04-14|1295.0|0|58.0|0|0.0|0
0|2020-04-15|1325.0|0|62.0|0|0.0|0
0|2020-04-16|1389.0|0|66.0|0|0.0|0
0|2020-04-17|1424.0|0|66.0|0|0.0|0
0|2020-04-18|1476.0|0|72.0|0|0.0|0
0|2020-04-19|1512.0|0|72.0|0|0.0|0
0|2020-04-20|1534.0|0|74.0|0|0.0|0
0|2020-04-21|1560.0|0|90.0|0|0.0|0
0|2020-04-22|1603.0|0|95.0|0|0.0|0
0|2020-04-23|1636.0|0|100.0|0|0.0|0
0|2020-04-24|1697.0|0|109.0|0|0.0|0
0|2020-04-25|1720.0|0|114.0|0|0.0|0
0|2020-04-26|1739.0|0|120.0|0|0.0|0
0|2020-04-27|1771.0|0|124.0|0|0.0|0
0|2020-04-28|1787.0|0|125.0|0|0.0|0
0|2020-04-29|1830.0|0|129.0|0|0.0|0
0|2020-04-30|1874.0|0|137.0|0|0.0|0
0|2020-05-01|1989.0|0|146.0|0|0.0|0
0|2020-05-02|2054.0|0|148.0|0|0.0|0
0|2020-05-03|2086.0|0|153.0|0|0.0|0
0|2020-05-04|2131.0|0|156.0|0|0.0|0
0|2020-05-05|2175.0|0|163.0|0|0.0|0
0|2020-05-06|2224.0|0|165.0|0|0.0|0
0|2020-05-07|2256.0|0|170.0|0|0.0|0
0|2020-05-08|2284.0|0|171.0|0|0.0|0
0|2020-05-09|2348.0|0|179.0|0|0.0|0
0|2020-05-10|2374.0|0|182.0|0|0.0|0
0|2020-05-11|2398.0|0|188.0|0|0.0|0
0|2020-05-12|2445.0|0|190.0|0|0.0|0
0|2020-05-13|2487.0|0|199.0|0|0.0|0
