|dates|Terrell_Georgia_UnitedStates.JHU_ConfirmedCases.data|Terrell_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Terrell_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Terrell_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Terrell_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Terrell_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|5.0|0|0.0|0|0.0|0
0|2020-03-27|6.0|0|0.0|0|0.0|0
0|2020-03-28|6.0|0|2.0|0|0.0|0
0|2020-03-29|10.0|0|2.0|0|0.0|0
0|2020-03-30|12.0|0|2.0|0|0.0|0
0|2020-03-31|40.0|0|2.0|0|0.0|0
0|2020-04-01|46.0|0|2.0|0|0.0|0
0|2020-04-02|46.0|0|2.0|0|0.0|0
0|2020-04-03|50.0|0|2.0|0|0.0|0
0|2020-04-04|52.0|0|2.0|0|0.0|0
0|2020-04-05|58.0|0|2.0|0|0.0|0
0|2020-04-06|65.0|0|3.0|0|0.0|0
0|2020-04-07|87.0|0|9.0|0|0.0|0
0|2020-04-08|93.0|0|9.0|0|0.0|0
0|2020-04-09|96.0|0|9.0|0|0.0|0
0|2020-04-10|100.0|0|10.0|0|0.0|0
0|2020-04-11|104.0|0|10.0|0|0.0|0
0|2020-04-12|107.0|0|10.0|0|0.0|0
0|2020-04-13|114.0|0|10.0|0|0.0|0
0|2020-04-14|134.0|0|11.0|0|0.0|0
0|2020-04-15|135.0|0|11.0|0|0.0|0
0|2020-04-16|137.0|0|12.0|0|0.0|0
0|2020-04-17|139.0|0|13.0|0|0.0|0
0|2020-04-18|145.0|0|14.0|0|0.0|0
0|2020-04-19|148.0|0|14.0|0|0.0|0
0|2020-04-20|150.0|0|18.0|0|0.0|0
0|2020-04-21|156.0|0|18.0|0|0.0|0
0|2020-04-22|159.0|0|18.0|0|0.0|0
0|2020-04-23|162.0|0|18.0|0|0.0|0
0|2020-04-24|165.0|0|17.0|0|0.0|0
0|2020-04-25|165.0|0|17.0|0|0.0|0
0|2020-04-26|165.0|0|17.0|0|0.0|0
0|2020-04-27|167.0|0|18.0|0|0.0|0
0|2020-04-28|170.0|0|18.0|0|0.0|0
0|2020-04-29|177.0|0|18.0|0|0.0|0
0|2020-04-30|183.0|0|19.0|0|0.0|0
0|2020-05-01|184.0|0|19.0|0|0.0|0
0|2020-05-02|185.0|0|19.0|0|0.0|0
0|2020-05-03|186.0|0|19.0|0|0.0|0
0|2020-05-04|189.0|0|21.0|0|0.0|0
0|2020-05-05|191.0|0|21.0|0|0.0|0
0|2020-05-06|193.0|0|21.0|0|0.0|0
0|2020-05-07|195.0|0|21.0|0|0.0|0
0|2020-05-08|198.0|0|21.0|0|0.0|0
0|2020-05-09|198.0|0|21.0|0|0.0|0
0|2020-05-10|198.0|0|21.0|0|0.0|0
0|2020-05-11|198.0|0|21.0|0|0.0|0
0|2020-05-12|198.0|0|24.0|0|0.0|0
0|2020-05-13|199.0|0|24.0|0|0.0|0
